infra_id,college_id,classrooms,labs,smart_classrooms,library_books,hostel_capacity,internet_speed_mbps,sports_complex,canteen,medical_center,solar_power
INF00076,COL0016,13,1,2,2729,165,270,No,Yes,Yes,No
INF00077,COL0016,13,1,3,2818,170,291,No,Yes,Yes,No
INF00078,COL0016,14,1,4,2989,166,310,No,Yes,Yes,No
INF00079,COL0016,14,1,7,2932,177,350,No,Yes,Yes,Yes
INF00080,COL0016,14,1,8,3168,182,328,No,Yes,Yes,No
INF00081,COL0017,59,12,11,15665,0,330,No,Yes,No,No
INF00082,COL0017,60,12,18,16146,0,360,No,Yes,No,No
INF00083,COL0017,60,12,26,16597,0,371,No,Yes,No,No
INF00084,COL0017,63,13,23,18205,0,372,No,Yes,No,Yes
INF00085,COL0017,67,14,35,19125,0,434,No,Yes,No,Yes
INF00086,COL0018,27,5,5,4822,0,270,No,Yes,No,No
INF00087,COL0018,28,5,7,5031,0,287,No,Yes,No,No
INF00088,COL0018,28,5,12,5142,0,313,No,Yes,No,Yes
INF00089,COL0018,28,5,11,5223,0,301,No,Yes,No,No
INF00090,COL0018,31,6,15,5375,0,339,No,Yes,No,No
INF00091,COL0019,79,11,6,21099,0,150,Yes,Yes,Yes,No
INF00092,COL0019,81,11,12,22254,0,160,Yes,Yes,Yes,No
INF00093,COL0019,83,12,23,22686,0,163,Yes,Yes,Yes,Yes
INF00094,COL0019,88,12,33,24446,0,176,Yes,Yes,Yes,Yes
INF00095,COL0019,88,12,30,23291,0,192,Yes,Yes,Yes,Yes
INF00096,COL0020,74,7,6,28030,1070,390,No,Yes,Yes,No
INF00097,COL0020,76,7,16,28824,1091,407,No,Yes,Yes,Yes
INF00098,COL0020,76,7,16,29157,1108,438,No,Yes,Yes,Yes
INF00099,COL0020,78,7,34,32076,1136,462,No,Yes,Yes,No
INF00100,COL0020,84,8,44,33238,1125,539,No,Yes,Yes,Yes
INF00101,COL0021,13,8,2,4496,182,210,Yes,Yes,Yes,No
INF00102,COL0021,13,8,3,4593,184,223,Yes,Yes,Yes,No
INF00103,COL0021,13,8,6,4977,192,240,Yes,Yes,Yes,No
INF00104,COL0021,14,9,6,4787,190,262,Yes,Yes,Yes,No
INF00105,COL0021,15,9,7,5277,193,273,Yes,Yes,Yes,Yes
INF00106,COL0022,128,15,23,34078,2170,330,Yes,Yes,No,No
INF00107,COL0022,131,15,37,36106,2205,355,Yes,Yes,No,No
INF00108,COL0022,132,15,47,37503,2269,379,Yes,Yes,No,Yes
INF00109,COL0022,138,16,80,37914,2194,408,Yes,Yes,No,No
INF00110,COL0022,142,17,71,37668,2314,420,Yes,Yes,No,Yes
INF00111,COL0023,11,6,2,3755,0,210,No,Yes,No,No
INF00112,COL0023,11,6,3,3969,0,224,No,Yes,No,No
INF00113,COL0023,12,6,4,4143,0,235,No,Yes,No,No
INF00114,COL0023,12,6,7,4108,0,242,No,Yes,No,No
INF00115,COL0023,13,7,7,4145,0,267,No,Yes,No,Yes
INF00116,COL0024,19,3,3,6130,0,330,Yes,Yes,No,No
INF00117,COL0024,20,3,5,6415,0,359,Yes,Yes,No,No
INF00118,COL0024,20,3,6,6622,0,377,Yes,Yes,No,No
INF00119,COL0024,21,3,10,6885,0,391,Yes,Yes,No,No
INF00120,COL0024,21,3,13,6772,0,413,Yes,Yes,No,No
INF00121,COL0025,76,12,14,20153,0,270,No,Yes,No,Yes
INF00122,COL0025,77,12,22,21298,0,297,No,Yes,No,No
INF00123,COL0025,79,13,25,21981,0,319,No,Yes,No,No
INF00124,COL0025,83,13,48,21473,0,339,No,Yes,No,Yes
INF00125,COL0025,82,13,38,23478,0,345,No,Yes,No,No
INF00126,COL0026,75,7,14,21228,813,150,Yes,Yes,No,No
INF00127,COL0026,76,7,21,21946,829,161,Yes,Yes,No,No
INF00128,COL0026,78,7,34,22415,837,167,Yes,Yes,No,Yes
INF00129,COL0026,81,8,40,25030,885,173,Yes,Yes,No,No
INF00130,COL0026,80,8,48,25256,818,199,Yes,Yes,No,No
INF00131,COL0027,7,1,1,3054,0,210,No,Yes,No,No
INF00132,COL0027,7,1,2,3194,0,221,No,Yes,No,No
INF00133,COL0027,7,1,3,3198,0,231,No,Yes,No,No
INF00134,COL0027,7,1,3,3435,0,272,No,Yes,No,No
INF00135,COL0027,8,1,5,3424,0,284,No,Yes,No,Yes
INF00136,COL0028,34,18,3,11388,649,330,No,No,Yes,No
INF00137,COL0028,34,18,6,11823,662,355,No,No,Yes,No
INF00138,COL0028,36,19,13,11942,650,361,No,No,Yes,No
INF00139,COL0028,37,19,18,12374,697,364,No,No,Yes,No
INF00140,COL0028,37,19,17,12554,673,457,No,No,Yes,Yes
INF00141,COL0029,45,8,4,10194,458,390,No,No,No,No
INF00142,COL0029,47,8,7,10549,471,414,No,No,No,No
INF00143,COL0029,46,8,14,11046,468,467,No,No,No,No
INF00144,COL0029,47,8,14,11843,485,462,No,No,No,No
INF00145,COL0029,50,9,16,12293,465,463,No,No,No,No
INF00146,COL0030,32,17,6,5834,0,330,Yes,Yes,Yes,Yes
INF00147,COL0030,33,17,8,6105,0,340,Yes,Yes,Yes,Yes
INF00148,COL0030,34,18,11,6218,0,358,Yes,Yes,Yes,Yes
INF00149,COL0030,35,19,17,6706,0,393,Yes,Yes,Yes,No
INF00150,COL0030,35,19,16,6771,0,457,Yes,Yes,Yes,Yes
INF00151,COL0031,9,5,2,3846,119,150,No,Yes,Yes,No
INF00152,COL0031,9,5,2,4020,120,160,No,Yes,Yes,No
INF00153,COL0031,9,5,3,4186,124,161,No,Yes,Yes,No
INF00154,COL0031,10,5,5,4409,124,170,No,Yes,Yes,Yes
INF00155,COL0031,10,5,6,4410,125,172,No,Yes,Yes,No
INF00156,COL0032,113,11,20,34051,1684,330,No,Yes,Yes,Yes
INF00157,COL0032,115,11,34,35754,1720,360,No,Yes,Yes,No
INF00158,COL0032,119,12,42,36987,1750,360,No,Yes,Yes,Yes
INF00159,COL0032,117,11,66,37596,1771,413,No,Yes,Yes,No
INF00160,COL0032,129,13,94,41234,1814,426,No,Yes,Yes,Yes
INF00161,COL0033,68,38,5,17563,0,390,No,Yes,Yes,Yes
INF00162,COL0033,70,39,10,18438,0,408,No,Yes,Yes,No
INF00163,COL0033,71,40,18,19279,0,456,No,Yes,Yes,No
INF00164,COL0033,71,39,19,18949,0,476,No,Yes,Yes,No
INF00165,COL0033,73,41,39,20333,0,485,No,Yes,Yes,Yes
INF00166,COL0034,70,26,13,18872,572,150,Yes,Yes,No,Yes
INF00167,COL0034,71,26,19,19255,575,162,Yes,Yes,No,Yes
INF00168,COL0034,74,28,28,20885,574,176,Yes,Yes,No,No
INF00169,COL0034,72,27,26,22090,602,191,Yes,Yes,No,Yes
INF00170,COL0034,79,29,44,20730,594,169,Yes,Yes,No,No
INF00171,COL0035,87,49,7,28885,0,210,No,Yes,Yes,No
INF00172,COL0035,88,50,16,29594,0,224,No,Yes,Yes,No
INF00173,COL0035,91,51,29,31933,0,247,No,Yes,Yes,Yes
INF00174,COL0035,91,51,28,32706,0,262,No,Yes,Yes,No
INF00175,COL0035,92,52,52,33479,0,280,No,Yes,Yes,No
INF00176,COL0036,52,10,9,13763,444,150,No,Yes,No,No
INF00177,COL0036,53,10,15,14070,445,163,No,Yes,No,No
INF00178,COL0036,56,11,22,14872,459,169,No,Yes,No,No
INF00179,COL0036,58,11,27,15926,457,184,No,Yes,No,No
INF00180,COL0036,55,11,24,15092,462,206,No,Yes,No,No
INF00181,COL0037,6,1,1,2211,58,270,No,Yes,No,No
INF00182,COL0037,6,1,1,2315,59,283,No,Yes,No,No
INF00183,COL0037,6,1,3,2358,58,308,No,Yes,No,No
INF00184,COL0037,7,1,4,2448,63,328,No,Yes,No,Yes
INF00185,COL0037,7,1,5,2676,64,353,No,Yes,No,No
INF00186,COL0038,32,5,6,10012,321,210,Yes,Yes,No,No
INF00187,COL0038,32,5,10,10547,321,229,Yes,Yes,No,No
INF00188,COL0038,34,5,11,10714,337,227,Yes,Yes,No,No
INF00189,COL0038,35,6,14,11139,341,247,Yes,Yes,No,Yes
INF00190,COL0038,35,5,18,12012,342,262,Yes,Yes,No,Yes
INF00191,COL0039,90,12,7,33692,1027,210,No,Yes,No,No
INF00192,COL0039,92,12,18,35544,1030,224,No,Yes,No,No
INF00193,COL0039,96,13,24,37097,1083,231,No,Yes,No,Yes
INF00194,COL0039,96,13,47,36611,1059,249,No,Yes,No,Yes
INF00195,COL0039,94,13,45,37658,1073,294,No,Yes,No,Yes
INF00196,COL0040,26,15,5,8936,457,270,Yes,Yes,Yes,No
INF00197,COL0040,27,16,8,9375,459,288,Yes,Yes,Yes,No
INF00198,COL0040,27,16,8,9594,470,316,Yes,Yes,Yes,Yes
INF00199,COL0040,29,17,15,9490,467,324,Yes,Yes,Yes,Yes
INF00200,COL0040,28,16,17,9995,493,334,Yes,Yes,Yes,Yes
INF00201,COL0041,13,5,2,7037,189,450,No,Yes,No,No
INF00202,COL0041,13,5,4,7395,191,487,No,Yes,No,Yes
INF00203,COL0041,14,5,6,7417,194,526,No,Yes,No,No
INF00204,COL0041,14,5,8,7513,197,564,No,Yes,No,Yes
INF00205,COL0041,14,5,7,7647,201,622,No,Yes,No,No
INF00206,COL0042,13,1,1,5939,138,210,No,Yes,No,No
INF00207,COL0042,14,1,3,6176,140,230,No,Yes,No,No
INF00208,COL0042,14,1,3,6463,143,247,No,Yes,No,No
INF00209,COL0042,13,1,5,6514,143,255,No,Yes,No,No
INF00210,COL0042,14,1,5,7241,155,256,No,Yes,No,Yes
INF00211,COL0043,27,16,5,6161,0,390,No,Yes,No,Yes
INF00212,COL0043,27,16,8,6374,0,412,No,Yes,No,No
INF00213,COL0043,29,17,12,6875,0,434,No,Yes,No,No
INF00214,COL0043,29,17,14,6825,0,478,No,Yes,No,Yes
INF00215,COL0043,28,17,18,7146,0,479,No,Yes,No,No
INF00216,COL0044,61,7,11,14841,468,150,No,Yes,No,No
INF00217,COL0044,63,7,17,15344,476,155,No,Yes,No,No
INF00218,COL0044,65,7,27,16536,490,172,No,Yes,No,No
INF00219,COL0044,63,7,26,15979,469,188,No,Yes,No,No
INF00220,COL0044,66,8,45,17338,473,194,No,Yes,No,Yes
INF00221,COL0045,12,2,2,5895,202,330,No,No,Yes,No
INF00222,COL0045,12,2,4,6115,202,361,No,No,Yes,Yes
INF00223,COL0045,12,2,4,6283,206,383,No,No,Yes,No
INF00224,COL0045,13,2,7,6426,212,404,No,No,Yes,Yes
INF00225,COL0045,13,2,8,6841,225,385,No,No,Yes,Yes
INF00226,COL0046,73,12,13,21716,578,330,Yes,Yes,No,No
INF00227,COL0046,75,12,22,22402,586,362,Yes,Yes,No,No
INF00228,COL0046,77,13,27,22711,593,353,Yes,Yes,No,No
INF00229,COL0046,77,13,39,23834,616,409,Yes,Yes,No,No
INF00230,COL0046,84,14,39,24741,600,421,Yes,Yes,No,Yes
INF00231,COL0047,22,2,4,4269,346,150,No,Yes,No,No
INF00232,COL0047,23,2,6,4407,356,155,No,Yes,No,No
INF00233,COL0047,24,2,8,4560,356,160,No,Yes,No,No
INF00234,COL0047,24,2,11,4800,359,190,No,Yes,No,No
INF00235,COL0047,25,2,17,4860,370,185,No,Yes,No,Yes
INF00236,COL0048,35,13,6,9195,295,270,Yes,Yes,No,No
INF00237,COL0048,36,13,10,9563,296,279,Yes,Yes,No,Yes
INF00238,COL0048,37,14,14,10009,301,306,Yes,Yes,No,No
INF00239,COL0048,37,14,22,10562,304,311,Yes,Yes,No,No
INF00240,COL0048,39,14,25,10372,308,364,Yes,Yes,No,Yes
INF00241,COL0049,67,33,12,23414,0,150,No,Yes,Yes,No
INF00242,COL0049,69,34,18,24471,0,161,No,Yes,Yes,No
INF00243,COL0049,69,34,28,24410,0,179,No,Yes,Yes,Yes
INF00244,COL0049,69,34,30,25244,0,185,No,Yes,Yes,Yes
INF00245,COL0049,76,37,54,28557,0,199,No,Yes,Yes,Yes
INF00246,COL0050,82,9,15,15912,1246,150,Yes,Yes,Yes,No
INF00247,COL0050,84,9,21,16387,1254,160,Yes,Yes,Yes,No
INF00248,COL0050,85,9,29,16812,1270,174,Yes,Yes,Yes,Yes
INF00249,COL0050,91,10,50,17389,1322,167,Yes,Yes,Yes,Yes
INF00250,COL0050,95,10,65,19615,1289,202,Yes,Yes,Yes,Yes
INF00251,COL0051,77,9,6,20277,0,90,No,Yes,Yes,No
INF00252,COL0051,78,9,15,21113,0,97,No,Yes,Yes,Yes
INF00253,COL0051,80,9,25,21251,0,105,No,Yes,Yes,Yes
INF00254,COL0051,83,10,40,22484,0,116,No,Yes,Yes,No
INF00255,COL0051,84,10,32,25026,0,109,No,Yes,Yes,No
INF00256,COL0052,16,6,1,7248,165,270,No,Yes,No,No
INF00257,COL0052,17,6,4,7661,165,295,No,Yes,No,No
INF00258,COL0052,16,6,6,7703,170,324,No,Yes,No,No
INF00259,COL0052,18,7,8,8090,167,305,No,Yes,No,Yes
INF00260,COL0052,18,7,7,8044,181,358,No,Yes,No,No
INF00261,COL0053,12,1,2,5308,192,270,No,Yes,No,No
INF00262,COL0053,12,1,4,5478,192,292,No,Yes,No,No
INF00263,COL0053,13,1,4,5571,197,298,No,Yes,No,No
INF00264,COL0053,13,1,7,5825,208,301,No,Yes,No,Yes
INF00265,COL0053,13,1,6,5846,209,314,No,Yes,No,No
INF00266,COL0054,6,3,1,2425,73,210,No,Yes,Yes,No
INF00267,COL0054,6,3,2,2523,73,225,No,Yes,Yes,No
INF00268,COL0054,6,3,2,2562,73,240,No,Yes,Yes,No
INF00269,COL0054,7,3,3,2720,73,249,No,Yes,Yes,No
INF00270,COL0054,7,3,5,2773,80,283,No,Yes,Yes,No
INF00271,COL0055,6,3,1,2034,50,270,No,No,Yes,No
INF00272,COL0055,6,3,2,2145,51,295,No,No,Yes,No
INF00273,COL0055,6,3,2,2222,51,299,No,No,Yes,No
INF00274,COL0055,6,3,3,2210,50,294,No,No,Yes,Yes
INF00275,COL0055,7,3,4,2370,51,365,No,No,Yes,Yes
INF00276,COL0056,39,23,7,10805,611,270,No,Yes,No,No
INF00277,COL0056,39,23,12,11195,615,283,No,Yes,No,No
INF00278,COL0056,40,24,15,11487,638,317,No,Yes,No,No
INF00279,COL0056,42,25,22,11869,619,311,No,Yes,No,No
INF00280,COL0056,42,25,22,11775,676,374,No,Yes,No,No
INF00281,COL0057,60,27,11,17460,666,270,No,Yes,No,No
INF00282,COL0057,61,28,18,18372,677,295,No,Yes,No,No
INF00283,COL0057,63,28,20,18498,692,294,No,Yes,No,No
INF00284,COL0057,66,30,25,20026,682,305,No,Yes,No,No
INF00285,COL0057,67,30,47,19382,724,360,No,Yes,No,Yes
INF00286,COL0058,14,3,3,4310,113,270,Yes,No,No,No
INF00287,COL0058,14,3,4,4462,114,288,Yes,No,No,No
INF00288,COL0058,15,3,6,4516,116,323,Yes,No,No,No
INF00289,COL0058,16,3,7,4783,115,326,Yes,No,No,Yes
INF00290,COL0058,15,3,11,5054,115,334,Yes,No,No,Yes
INF00291,COL0059,27,15,2,10615,472,270,Yes,Yes,Yes,No
INF00292,COL0059,28,15,6,11057,473,290,Yes,Yes,Yes,Yes
INF00293,COL0059,29,16,10,11607,484,315,Yes,Yes,Yes,No
INF00294,COL0059,28,16,12,11264,488,323,Yes,Yes,Yes,No
INF00295,COL0059,30,17,16,12285,472,339,Yes,Yes,Yes,Yes
INF00296,COL0060,32,5,6,6964,431,330,Yes,Yes,No,No
INF00297,COL0060,33,5,9,7214,436,349,Yes,Yes,No,No
INF00298,COL0060,35,5,12,7624,448,389,Yes,Yes,No,No
INF00299,COL0060,35,5,13,7699,433,398,Yes,Yes,No,Yes
INF00300,COL0060,34,5,20,8005,460,442,Yes,Yes,No,No
INF00301,COL0061,35,5,3,5839,0,330,No,Yes,No,No
INF00302,COL0061,35,5,8,6029,0,362,No,Yes,No,No
INF00303,COL0061,37,5,12,6259,0,353,No,Yes,No,Yes
INF00304,COL0061,37,5,17,6462,0,422,No,Yes,No,No
INF00305,COL0061,40,6,15,7230,0,437,No,Yes,No,No
INF00306,COL0062,76,7,6,26921,1034,270,No,No,No,No
INF00307,COL0062,79,7,14,28191,1037,291,No,No,No,No
INF00308,COL0062,81,7,25,28175,1078,292,No,No,No,No
INF00309,COL0062,83,8,28,28880,1063,295,No,No,No,No
INF00310,COL0062,82,8,30,29882,1103,336,No,No,No,Yes
INF00311,COL0063,15,7,1,6025,142,150,Yes,Yes,No,Yes
INF00312,COL0063,15,7,2,6218,142,160,Yes,Yes,No,Yes
INF00313,COL0063,16,7,4,6303,144,164,Yes,Yes,No,Yes
INF00314,COL0063,16,8,5,6464,154,173,Yes,Yes,No,Yes
INF00315,COL0063,17,8,10,6825,156,182,Yes,Yes,No,Yes
INF00316,COL0064,6,1,1,3648,129,270,Yes,No,Yes,No
INF00317,COL0064,6,1,2,3738,131,289,Yes,No,Yes,No
INF00318,COL0064,6,1,2,4072,134,304,Yes,No,Yes,No
INF00319,COL0064,6,1,3,4225,134,339,Yes,No,Yes,No
INF00320,COL0064,7,1,3,4324,141,356,Yes,No,Yes,Yes
INF00321,COL0065,37,17,7,10139,0,270,Yes,Yes,No,No
INF00322,COL0065,37,17,11,10608,0,285,Yes,Yes,No,No
INF00323,COL0065,38,17,17,11094,0,301,Yes,Yes,No,No
INF00324,COL0065,41,19,19,10760,0,309,Yes,Yes,No,Yes
INF00325,COL0065,41,19,25,11883,0,336,Yes,Yes,No,Yes
INF00326,COL0066,21,10,4,6351,428,270,Yes,Yes,Yes,No
INF00327,COL0066,22,10,6,6589,432,291,Yes,Yes,Yes,No
INF00328,COL0066,22,11,7,7036,445,311,Yes,Yes,Yes,Yes
INF00329,COL0066,23,11,10,6865,450,303,Yes,Yes,Yes,No
INF00330,COL0066,22,11,12,7047,450,351,Yes,Yes,Yes,Yes
INF00331,COL0067,123,13,22,33704,2097,390,No,Yes,Yes,No
INF00332,COL0067,125,13,39,35090,2135,419,No,Yes,Yes,No
INF00333,COL0067,130,14,46,37332,2199,447,No,Yes,Yes,No
INF00334,COL0067,130,14,66,36069,2119,436,No,Yes,Yes,Yes
INF00335,COL0067,131,14,84,39155,2132,482,No,Yes,Yes,Yes
INF00336,COL0068,75,12,14,19589,573,390,No,Yes,No,No
INF00337,COL0068,78,12,25,20377,585,415,No,Yes,No,No
INF00338,COL0068,80,13,30,20502,599,415,No,Yes,No,No
INF00339,COL0068,79,13,39,21160,611,463,No,Yes,No,No
INF00340,COL0068,83,13,38,21514,630,521,No,Yes,No,Yes
INF00341,COL0069,14,1,3,6078,248,150,No,Yes,Yes,No
INF00342,COL0069,15,1,5,6257,252,163,No,Yes,Yes,No
INF00343,COL0069,15,1,6,6402,251,162,No,Yes,Yes,Yes
INF00344,COL0069,14,1,6,6648,255,180,No,Yes,Yes,No
INF00345,COL0069,15,1,8,7399,268,209,No,Yes,Yes,Yes
INF00346,COL0070,32,17,6,13615,368,390,No,Yes,Yes,No
INF00347,COL0070,33,17,9,14133,378,419,No,Yes,Yes,Yes
INF00348,COL0070,34,18,12,15179,389,434,No,Yes,Yes,Yes
INF00349,COL0070,33,18,18,15629,383,485,No,Yes,Yes,No
INF00350,COL0070,35,18,15,15868,387,461,No,Yes,Yes,Yes
INF00351,COL0071,67,12,5,14463,0,270,No,Yes,No,No
INF00352,COL0071,68,12,14,15008,0,278,No,Yes,No,No
INF00353,COL0071,69,12,21,15194,0,311,No,Yes,No,Yes
INF00354,COL0071,75,13,24,16467,0,308,No,Yes,No,No
INF00355,COL0071,77,14,29,16537,0,325,No,Yes,No,No
INF00356,COL0072,78,12,14,19627,1048,150,No,Yes,Yes,No
INF00357,COL0072,79,12,21,20593,1058,156,No,Yes,Yes,No
INF00358,COL0072,80,12,34,21595,1110,162,No,Yes,Yes,Yes
INF00359,COL0072,84,13,30,22336,1116,177,No,Yes,Yes,No
INF00360,COL0072,83,13,46,23353,1059,204,No,Yes,Yes,Yes
INF00361,COL0073,6,3,0,6944,50,150,Yes,Yes,Yes,No
INF00362,COL0073,6,3,1,7227,51,160,Yes,Yes,Yes,No
INF00363,COL0073,6,3,2,7752,50,169,Yes,Yes,Yes,No
INF00364,COL0073,7,3,3,8175,54,195,Yes,Yes,Yes,Yes
INF00365,COL0073,7,3,4,7906,55,197,Yes,Yes,Yes,No
INF00366,COL0074,32,11,3,6512,455,450,Yes,Yes,Yes,No
INF00367,COL0074,33,11,5,6723,458,480,Yes,Yes,Yes,No
INF00368,COL0074,34,12,9,7103,474,530,Yes,Yes,Yes,Yes
INF00369,COL0074,35,12,15,7564,459,496,Yes,Yes,Yes,No
INF00370,COL0074,35,12,18,7355,495,597,Yes,Yes,Yes,Yes
INF00371,COL0075,77,13,14,17064,737,330,No,Yes,No,Yes
INF00372,COL0075,80,13,21,17449,750,356,No,Yes,No,Yes
INF00373,COL0075,81,14,29,18429,753,376,No,Yes,No,Yes
INF00374,COL0075,80,14,40,19568,771,376,No,Yes,No,Yes
INF00375,COL0075,88,15,44,19717,750,405,No,Yes,No,No
INF00376,COL0076,31,5,6,11777,0,210,Yes,Yes,Yes,No
INF00377,COL0076,32,5,8,12391,0,231,Yes,Yes,Yes,No
INF00378,COL0076,32,5,12,12514,0,247,Yes,Yes,Yes,Yes
INF00379,COL0076,33,5,12,12767,0,254,Yes,Yes,Yes,Yes
INF00380,COL0076,35,6,20,13834,0,264,Yes,Yes,Yes,No
INF00381,COL0077,73,14,13,19410,719,150,Yes,Yes,No,No
INF00382,COL0077,75,14,19,20210,730,157,Yes,Yes,No,Yes
INF00383,COL0077,79,15,33,20331,758,178,Yes,Yes,No,No
INF00384,COL0077,80,15,36,22845,725,166,Yes,Yes,No,Yes
INF00385,COL0077,83,16,37,22726,802,186,Yes,Yes,No,Yes
INF00386,COL0078,57,24,10,16342,0,90,No,Yes,Yes,Yes
INF00387,COL0078,58,24,16,16935,0,96,No,Yes,Yes,No
INF00388,COL0078,59,25,21,17342,0,97,No,Yes,Yes,Yes
INF00389,COL0078,62,26,35,18689,0,99,No,Yes,Yes,No
INF00390,COL0078,62,26,28,18298,0,110,No,Yes,Yes,Yes
INF00391,COL0079,37,4,7,13429,0,330,No,Yes,No,Yes
INF00392,COL0079,38,4,12,13768,0,359,No,Yes,No,No
INF00393,COL0079,39,4,16,14592,0,362,No,Yes,No,No
