research_id,college_id,department,publications,citations,patents,funded_projects,research_funding,international_collaborations
RES00099,COL0619,Civil Engineering,1,4,1,0,112000,0
RES00100,COL0997,Information Technology,0,0,2,2,4855000,3
RES00101,COL1387,Marathi,1,6,0,0,0,3
RES00102,COL1580,Child Health Nursing,4,27,0,1,854000,0
RES00103,COL0711,Commerce,0,0,0,2,1724000,0
RES00104,COL0949,Banking & Finance,7,57,0,4,5679000,3
RES00105,COL0528,Computer Engineering,0,0,4,1,1969000,3
RES00106,COL1042,English,1,7,0,3,2089000,0
RES00107,COL0260,Marathi,48,344,2,8,6525000,3
RES00108,COL0050,Mathematics,0,0,0,0,0,0
RES00109,COL0149,Marathi,10,65,0,1,1052000,0
RES00110,COL0659,Computer Engineering,3,17,4,2,6879000,1
RES00111,COL1675,Computer Science,1,9,1,2,2922000,0
RES00112,COL1379,Electronics & Telecommunication,1,6,8,3,6124000,3
RES00113,COL1661,Medicine,1,5,0,4,2547000,1
RES00114,COL0583,Computer Science,1,9,1,0,135000,1
RES00115,COL0197,Civil Engineering,94,448,11,25,73542000,2
RES00116,COL1654,Chemistry,8,41,3,3,5691000,3
RES00117,COL0331,Mechanical Engineering,1,7,4,0,369000,0
RES00118,COL1310,English,17,146,1,5,12520000,2
RES00119,COL0779,Chemistry,1,7,0,1,1530000,2
RES00120,COL1825,Pharmacology,6,27,0,3,2567000,1
RES00121,COL1142,Anatomy,0,0,1,0,103000,3
RES00122,COL0857,English,14,90,2,1,4382000,1
RES00123,COL1677,Chemistry,11,94,1,3,3934000,2
RES00124,COL0132,Physics,2,12,0,2,1875000,1
RES00125,COL0707,Economics,1,8,0,0,0,2
RES00126,COL0989,Mathematics,5,39,1,5,9260000,2
RES00127,COL0111,Accountancy,0,0,2,1,1581000,1
RES00128,COL0171,Business Administration,65,622,6,9,32227000,2
RES00129,COL1745,Building Construction & Materials,5,34,2,2,3907000,3
RES00130,COL1187,Banking & Finance,2,17,1,6,7425000,1
RES00131,COL0789,Accountancy,7,42,3,6,4393000,3
RES00132,COL1177,Computer Engineering,1,8,4,3,7809000,1
RES00133,COL1856,Computer Science,42,370,9,13,36171000,0
RES00134,COL1353,Banking & Finance,21,167,3,9,12013000,2
RES00135,COL1343,Mechanical Engineering,1,5,3,1,1307000,2
RES00136,COL0121,Computer Engineering,29,263,11,2,7531000,1
RES00137,COL0051,Computer Science,8,50,3,4,2950000,2
RES00138,COL0851,Business Administration,3,32,2,5,4459000,1
RES00139,COL0351,Marathi,3,24,2,3,9047000,2
RES00140,COL1851,Medicine,11,64,1,6,3617000,2
RES00141,COL0470,Chemistry,1,5,1,2,3080000,1
RES00142,COL1892,Mechanical Engineering,7,32,1,2,3258000,1
RES00143,COL1742,Chemistry,4,28,4,6,17274000,1
RES00144,COL0246,Pharmacognosy,0,0,0,2,2702000,1
RES00145,COL0617,Commerce,5,35,0,1,835000,2
RES00146,COL1483,Commerce,9,69,4,3,3873000,2
RES00147,COL0489,Mathematics,1,8,0,0,0,1
RES00148,COL0466,Pharmacognosy,2,11,0,1,1148000,0
RES00149,COL0962,Electrical Engineering,2,17,5,4,10248000,2
RES00150,COL1477,Mathematics,21,136,1,7,14806000,0
RES00151,COL1838,Finance,0,0,0,1,2360000,1
RES00152,COL0106,Building Construction & Materials,67,374,3,8,3083000,3
RES00153,COL0190,Criminal Law,13,65,1,3,4651000,0
RES00154,COL0246,Pharmacology,1,3,0,0,0,2
RES00155,COL0467,Electrical Engineering,16,133,6,2,7791000,0
RES00156,COL1009,Chemistry,0,0,0,0,0,2
RES00157,COL0675,Marathi,12,91,0,9,22298000,3
RES00158,COL1696,History,3,23,0,0,0,2
RES00159,COL1275,Mathematics,1,3,0,1,1712000,1
RES00160,COL1286,Commerce,6,29,3,9,3697000,1
RES00161,COL1292,Mathematics,13,77,0,1,2912000,3
RES00162,COL0197,Computer Engineering,0,0,2,2,5832000,4
RES00163,COL1523,Physics,29,198,0,8,15377000,0
RES00164,COL1163,Computer Science,18,103,3,4,6319000,0
RES00165,COL0032,English,5,29,4,4,4950000,2
RES00166,COL1677,Computer Science,28,175,12,10,16477000,1
RES00167,COL0110,Physics,1,8,0,0,0,2
RES00168,COL0091,Marathi,75,311,1,5,12945000,1
RES00169,COL0176,Marathi,3,23,1,3,4514000,0
RES00170,COL0204,Mechanical Engineering,0,0,0,0,0,3
RES00171,COL1136,English,3,20,2,0,324000,1
RES00172,COL1597,Horticulture,0,0,3,2,2688000,2
RES00173,COL1022,Economics,81,466,1,6,17954000,0
RES00174,COL0142,Chemistry,14,123,6,5,16964000,2
RES00175,COL1916,Information Technology,24,159,5,11,11990000,1
RES00176,COL1224,Information Technology,29,256,4,4,12619000,1
RES00177,COL1516,Pharmacognosy,30,259,2,3,8938000,3
RES00178,COL0959,English,2,16,1,2,2039000,1
RES00179,COL1402,Marathi,1,9,1,1,1931000,1
RES00180,COL1689,Commerce,18,50,3,10,19935000,0
RES00181,COL0941,Political Science,1,10,0,0,0,3
RES00182,COL0625,English,2,11,0,2,2220000,0
RES00183,COL0895,Information Technology,1,5,0,0,0,2
RES00184,COL1321,Chemistry,1,5,0,1,2839000,0
RES00185,COL1612,Mathematics,1,9,1,3,4550000,3
RES00186,COL1392,Computer Science,0,0,1,0,153000,2
RES00187,COL1037,Marathi,1,5,0,0,0,1
RES00188,COL1286,Marathi,1,4,0,1,1491000,1
RES00189,COL1621,Economics,15,120,1,4,11741000,0
RES00190,COL0973,Curriculum & Pedagogy,1,11,2,0,563000,2
RES00191,COL1469,Pathology,1,9,0,2,936000,2
RES00192,COL0980,Computer Science,11,68,0,4,6650000,2
RES00193,COL0712,Chemistry,5,16,4,2,2743000,0
RES00194,COL1717,Obstetrics & Gynaecological Nursing,1,8,2,0,351000,2
RES00195,COL1691,Political Science,6,55,4,2,6286000,1
RES00196,COL0541,Physics,1,4,2,0,184000,1
RES00197,COL0537,Pharmaceutics,1,6,3,1,1675000,2
RES00198,COL0677,Commerce,1,4,0,0,0,0
RES00199,COL1096,Mechanical Engineering,2,16,1,1,1599000,1
RES00200,COL0728,Mathematics,2,15,0,2,7027000,1
RES00201,COL0951,Electrical Engineering,6,41,2,1,2710000,0
RES00202,COL1236,Marathi,9,59,1,5,11220000,0
RES00203,COL0501,Physics,51,320,1,10,22259000,1
RES00204,COL0579,Chemistry,11,59,3,8,5105000,2
RES00205,COL0893,Human Resources,1,5,0,0,0,2
RES00206,COL1746,Civil Engineering,3,13,2,3,8198000,2
RES00207,COL1416,Electrical Engineering,17,64,5,6,9963000,1
RES00208,COL0538,History,1,8,2,0,180000,0
RES00209,COL0620,Physics,1,9,0,1,1079000,3
RES00210,COL1364,Chemistry,4,21,2,1,1366000,3
RES00211,COL0077,Commerce,7,26,3,1,2419000,1
RES00212,COL0581,Finance,0,0,0,0,0,1
RES00213,COL1946,Civil Engineering,138,979,3,14,8219000,1
RES00214,COL1254,Physics,8,36,1,2,2399000,0
RES00215,COL1377,Plant Pathology,13,41,0,5,11749000,1
RES00216,COL0737,Building Construction & Materials,1,5,0,1,1216000,3
RES00217,COL0398,Economics,6,45,1,2,2703000,0
RES00218,COL1538,Medicine,6,35,0,3,6797000,2
RES00219,COL0521,Physics,0,0,0,0,0,1
RES00220,COL0347,Operations Management,1,5,0,1,1391000,0
RES00221,COL0813,Mathematics,14,109,1,4,8771000,2
RES00222,COL0164,Mathematics,48,415,0,7,12856000,1
RES00223,COL0142,English,0,0,0,0,0,1
RES00224,COL1578,Chemistry,21,162,8,10,20648000,2
RES00225,COL0015,Physics,40,165,3,12,23601000,0
RES00226,COL0016,Business Analytics,1,5,0,1,1390000,0
RES00227,COL0894,Chemistry,1,8,5,3,10469000,0
RES00228,COL0494,Educational Psychology,1,7,1,1,1166000,3
RES00229,COL1160,Marathi,20,158,2,8,11572000,0
RES00230,COL0839,Marathi,1,7,0,1,3691000,3
RES00231,COL1529,Biochemistry,1,7,2,1,1826000,0
RES00232,COL0675,Mathematics,1,8,0,2,3353000,3
RES00233,COL1748,Mathematics,2,11,0,4,4887000,1
RES00234,COL1633,Physics,11,83,1,10,22036000,2
RES00235,COL0365,Electrical Engineering,6,51,4,1,2400000,3
RES00236,COL1588,Accountancy,1,4,0,3,1247000,0
RES00237,COL0375,Commerce,3,12,2,2,4790000,1
RES00238,COL0668,Pharmacognosy,0,0,2,0,476000,0
RES00239,COL1290,Information Technology,6,30,2,2,4329000,1
RES00240,COL1831,Computer Science,1,8,1,1,3644000,1
RES00241,COL0804,Soil Science,13,67,0,2,1683000,1
RES00242,COL1338,Electronics & Telecommunication,1,6,3,4,6860000,1
RES00243,COL1774,Chemistry,2,10,3,2,1613000,2
RES00244,COL1880,Human Resources,2,16,0,1,2974000,2
RES00245,COL1019,Commerce,0,0,0,1,1207000,1
RES00246,COL1394,Electrical Engineering,15,80,6,3,8361000,3
RES00247,COL1350,Electrical Engineering,20,105,5,7,3271000,1
RES00248,COL1779,Civil Engineering,80,353,3,7,16258000,2
RES00249,COL0285,English,4,39,2,3,9272000,3
RES00250,COL0457,Marathi,24,258,4,5,7060000,4
RES00251,COL1200,Civil Engineering,1,11,1,1,3403000,3
RES00252,COL1826,Criminal Law,1,5,1,1,2118000,1
RES00253,COL0568,History,20,132,2,6,8758000,2
RES00254,COL1076,Mechanical Engineering,3,22,0,3,8746000,3
RES00255,COL0296,Child Health Nursing,4,16,1,4,1491000,0
RES00256,COL0119,Electronics & Telecommunication,2,14,5,1,2134000,1
RES00257,COL0205,Mathematics,1,6,1,1,1048000,0
RES00258,COL1907,Electronics & Telecommunication,4,40,6,2,5549000,4
RES00259,COL0685,Computer Engineering,78,472,5,10,17060000,2
RES00260,COL1781,Mechanical Engineering,4,20,5,8,15762000,0
RES00261,COL1461,Mathematics,1,8,1,2,2490000,3
RES00262,COL1368,Economics,1,5,1,0,156000,1
RES00263,COL0961,Zoology,9,70,2,4,7017000,3
RES00264,COL0728,Economics,9,88,3,5,16558000,2
RES00265,COL0519,Botany,9,97,3,6,21810000,2
RES00266,COL0613,English,6,19,3,5,7223000,1
RES00267,COL1866,English,1,6,1,3,6740000,0
RES00268,COL1060,History,1,9,0,1,1953000,3
RES00269,COL1902,Computer Science,2,12,4,4,7091000,2
RES00270,COL0356,Chemistry,36,307,9,12,14260000,2
RES00271,COL0650,Mathematics,2,17,0,1,1403000,1
RES00272,COL0205,Physics,42,141,2,6,7388000,0
RES00273,COL0835,Physics,25,163,0,10,3920000,0
RES00274,COL0091,Economics,1,6,1,1,1698000,1
RES00275,COL0579,English,1,5,0,0,0,0
RES00276,COL0865,English,1,8,0,0,0,3
RES00277,COL0731,Business Analytics,1,5,1,1,1417000,0
RES00278,COL1918,Medical Surgical Nursing,0,0,1,1,1078000,0
RES00279,COL0562,Community Health Nursing,0,0,0,0,0,3
RES00280,COL1133,Commerce,11,83,0,3,6345000,1
RES00281,COL0994,Chemistry,141,1199,8,12,35522000,1
RES00282,COL0088,English,1,6,4,0,653000,0
RES00283,COL1549,Electrical Engineering,3,15,9,0,1804000,2
RES00284,COL1963,Chemistry,7,48,1,3,4651000,1
RES00285,COL0951,Mechanical Engineering,20,122,2,4,3115000,2
RES00286,COL1570,Marathi,2,17,3,0,859000,2
RES00287,COL0080,Botany,0,0,0,0,0,2
RES00288,COL0245,History,1,4,1,2,2596000,1
RES00289,COL1951,Electrical Engineering,20,162,4,9,21604000,3
RES00290,COL1679,Economics,1,8,0,2,3552000,3
RES00291,COL0628,Computer Engineering,2,9,6,2,2936000,3
RES00292,COL0176,Physics,1,7,2,0,568000,1
RES00293,COL0086,Pharmaceutical Chemistry,3,19,0,1,679000,1
RES00294,COL1244,Pharmaceutics,1,6,3,2,2944000,2
RES00295,COL0117,Chemistry,55,460,4,9,21058000,1
RES00296,COL1353,Accountancy,1,7,0,2,3606000,1
RES00297,COL0307,Commerce,17,145,1,5,2699000,1
RES00298,COL0265,Computer Science,3,22,2,4,6029000,1
RES00299,COL0712,Economics,10,30,1,3,1240000,2
RES00300,COL1156,Pharmaceutical Chemistry,4,27,0,2,4347000,1
RES00301,COL0986,Mathematics,1,7,1,1,1790000,2
RES00302,COL1482,Mechanical Engineering,17,116,6,3,4409000,2
RES00303,COL1209,Electronics & Telecommunication,13,33,9,10,10724000,2
RES00304,COL0459,Marathi,57,348,1,6,12534000,2
RES00305,COL0236,Electrical Engineering,2,15,2,2,1854000,0
RES00306,COL0007,Banking & Finance,3,24,1,1,3183000,1
RES00307,COL1765,Physics,1,5,0,0,0,0
RES00308,COL0062,Chemistry,4,36,2,1,2241000,1
RES00309,COL0977,Community Health Nursing,1,5,1,2,2378000,2
RES00310,COL0969,Information Technology,1,5,1,1,3422000,1
RES00311,COL0658,Civil Engineering,7,40,1,1,782000,1
RES00312,COL0029,Sociology,0,0,0,0,0,1
RES00313,COL0730,Computer Science,50,409,4,7,14038000,2
RES00314,COL1497,Criminal Law,2,6,2,3,2018000,1
RES00315,COL1468,Educational Administration,1,6,1,3,5876000,1
RES00316,COL0326,Economics,35,257,1,6,14252000,0
RES00317,COL1443,Chemistry,0,0,2,0,309000,1
RES00318,COL1540,Marathi,4,37,0,1,1591000,0
RES00319,COL1531,Civil Engineering,0,0,5,1,4978000,1
RES00320,COL0130,Electronics & Telecommunication,14,54,5,2,3043000,0
RES00321,COL0346,Computer Engineering,0,0,1,2,7941000,2
RES00322,COL0221,Zoology,0,0,3,1,1474000,1
RES00323,COL0209,Economics,5,35,2,2,5440000,1
RES00324,COL0279,Mathematics,2,5,2,0,458000,0
RES00325,COL0248,Economics,7,48,0,3,2857000,1
RES00326,COL0800,Banking & Finance,22,183,1,11,21056000,2
RES00327,COL0784,Marathi,1,6,0,0,0,0
RES00328,COL1893,Obstetrics & Gynaecological Nursing,1,6,0,0,0,2
RES00329,COL1479,Building Construction & Materials,6,26,0,4,4675000,4
RES00330,COL1070,Pharmaceutics,2,17,1,6,5380000,1
RES00331,COL1883,Chemistry,1,3,0,1,1399000,0
RES00332,COL0399,Electrical Engineering,1,7,2,2,2952000,1
RES00333,COL1453,Civil Engineering,4,20,1,2,2286000,2
RES00334,COL0594,Information Technology,2,11,0,4,8160000,1
RES00335,COL1703,English,1,5,0,0,0,0
RES00336,COL0999,English,1,5,2,2,2670000,1
RES00337,COL0696,Electronics & Telecommunication,2,19,1,2,5458000,2
RES00338,COL0319,Computer Science,8,42,2,1,1651000,2
RES00339,COL0103,Curriculum & Pedagogy,1,2,2,1,894000,0
RES00340,COL0321,Educational Administration,0,0,0,0,0,2
RES00341,COL0473,Marketing,14,104,3,3,11023000,3
RES00342,COL1373,Botany,9,41,0,4,2017000,0
RES00343,COL0390,Computer Engineering,33,233,1,2,1430000,4
RES00344,COL1574,English,3,13,0,1,698000,2
RES00345,COL0766,Electrical Engineering,3,7,0,4,3181000,0
RES00346,COL0427,Civil Engineering,5,39,0,2,1644000,2
RES00347,COL0007,Economics,0,0,0,0,0,2
RES00348,COL1614,Pharmacology,2,19,0,2,4503000,1
RES00349,COL0896,Chemistry,1,2,2,1,1345000,0
RES00350,COL1012,Educational Psychology,1,3,1,0,140000,1
RES00351,COL1494,Computer Engineering,1,4,2,1,939000,3
RES00352,COL0275,Marathi,14,33,1,5,7758000,0
RES00353,COL0899,Business Analytics,2,16,0,2,4605000,1
RES00354,COL1861,Zoology,1,7,2,2,5968000,1
RES00355,COL0011,Computer Science,1,5,1,2,2032000,0
RES00356,COL0550,Civil Engineering,13,96,7,4,6087000,2
RES00357,COL1267,Business Administration,1,5,1,2,3059000,1
RES00358,COL1768,Pharmaceutics,0,0,2,1,1134000,0
RES00359,COL1566,Physics,0,0,0,1,3027000,3
RES00360,COL1458,Computer Engineering,1,5,1,0,185000,0
RES00361,COL0540,Computer Science,5,32,1,2,3209000,1
RES00362,COL1633,Commerce,1,5,0,1,890000,3
RES00363,COL0685,Electrical Engineering,39,159,3,6,13093000,2
RES00364,COL1415,Computer Engineering,1,4,3,3,4386000,2
RES00365,COL0316,Pharmacology,0,0,0,1,939000,2
RES00366,COL0827,Physics,3,18,0,1,2481000,1
RES00367,COL0059,Anatomy,6,42,5,7,13303000,1
RES00368,COL1623,Pharmaceutics,0,0,0,1,3655000,2
RES00369,COL1447,Economics,1,4,1,3,5414000,1
RES00370,COL0539,Computer Engineering,2,10,1,3,2453000,1
RES00371,COL0009,Computer Engineering,11,59,1,3,2028000,3
RES00372,COL0963,Mechanical Engineering,0,0,0,1,2085000,0
RES00373,COL0417,Civil Engineering,3,18,2,4,10269000,3
RES00374,COL0369,Electrical Engineering,8,47,2,5,4409000,1
RES00375,COL1852,Commerce,0,0,0,0,0,0
RES00376,COL1440,Business Administration,1,6,0,1,1052000,1
RES00377,COL1651,Computer Engineering,1,4,2,1,635000,1
RES00378,COL1069,Physics,0,0,1,0,152000,1
RES00379,COL0254,Educational Psychology,0,0,0,0,0,0
RES00380,COL0552,Physics,8,78,2,4,3468000,2
RES00381,COL1862,Computer Science,8,59,2,8,18088000,2
RES00382,COL0348,Marathi,13,78,1,4,4432000,1
RES00383,COL1782,Mathematics,0,0,1,0,112000,0
RES00384,COL1606,Economics,64,556,1,8,26872000,1
RES00385,COL0005,Marathi,0,0,0,1,2750000,1
RES00386,COL1947,Curriculum & Pedagogy,14,125,1,4,8965000,0
RES00387,COL1016,History,3,33,1,3,1910000,1
RES00388,COL0611,Electronics & Telecommunication,0,0,0,2,1338000,2
RES00389,COL0997,Civil Engineering,35,221,4,12,41212000,3
RES00390,COL1852,Marathi,4,36,0,2,3754000,2
RES00391,COL0832,English,17,116,2,5,8258000,1
RES00392,COL1383,Chemistry,0,0,1,2,4040000,0
RES00393,COL1728,Civil Engineering,4,36,0,0,0,2
RES00394,COL0804,Horticulture,1,7,1,0,172000,0
RES00395,COL1968,Electronics & Telecommunication,3,27,7,4,11854000,1
RES00396,COL0389,Chemistry,4,17,2,6,10702000,1
RES00397,COL1274,Pharmaceutics,1,5,2,2,5538000,0
RES00398,COL0457,Mathematics,0,0,0,1,3320000,0
RES00399,COL0124,Electrical Engineering,5,42,0,1,2094000,3
RES00400,COL1204,Marathi,72,423,2,9,11710000,2
RES00401,COL0172,Mathematics,31,175,3,9,3533000,2
RES00402,COL0916,English,1,6,0,0,0,0
RES00403,COL0922,Pharmacognosy,5,29,0,3,5602000,1
RES00404,COL1239,Physics,56,362,2,14,37715000,3
RES00405,COL0880,Operations Management,11,45,0,3,1055000,2
RES00406,COL0625,Marathi,12,95,1,2,1038000,1
RES00407,COL0097,Physics,1,7,0,1,2568000,1
RES00408,COL1704,Economics,6,50,2,8,18122000,2
RES00409,COL0792,Business Administration,1,5,1,1,1517000,1
RES00410,COL0061,Sociology,7,57,1,5,16429000,1
RES00411,COL1159,Mechanical Engineering,27,213,6,11,34496000,3
RES00412,COL0001,Economics,1,8,0,3,3202000,1
RES00413,COL1922,Mechanical Engineering,11,63,0,8,6100000,0
RES00414,COL1334,Marketing,1,7,0,1,2080000,2
RES00415,COL0329,Mechanical Engineering,0,0,3,1,1373000,1
RES00416,COL1876,Economics,4,22,1,0,258000,2
RES00417,COL0215,Economics,1,7,0,1,715000,2
RES00418,COL1136,Mathematics,3,16,0,6,7995000,2
RES00419,COL1226,Electrical Engineering,1,9,4,4,8376000,3
RES00420,COL0601,Pharmaceutics,0,0,0,1,3011000,2
RES00421,COL1514,English,3,18,3,3,2867000,0
RES00422,COL0953,Banking & Finance,24,125,2,6,15870000,2
RES00423,COL1590,Chemistry,23,103,7,9,24237000,2
RES00424,COL1865,Mathematics,1,5,1,3,7877000,1
RES00425,COL0286,Human Resources,23,81,2,6,3691000,1
RES00426,COL0455,Accountancy,8,49,0,2,4450000,1
RES00427,COL0133,Pharmacognosy,0,0,1,1,2926000,1
RES00428,COL0934,Educational Administration,1,4,2,2,842000,1
RES00429,COL0930,Educational Administration,0,0,0,2,3473000,1
RES00430,COL0332,Mechanical Engineering,11,65,7,7,8500000,0
RES00431,COL1568,Pharmacology,1,6,3,0,225000,0
RES00432,COL0495,Civil Engineering,4,24,4,3,5228000,3
RES00433,COL0596,Marathi,2,11,0,2,1387000,1
RES00434,COL0176,English,44,165,3,13,21456000,0
RES00435,COL0460,Electronics & Telecommunication,1,5,1,0,165000,4
RES00436,COL1959,Mathematics,6,42,2,4,8840000,2
RES00437,COL1105,Banking & Finance,0,0,0,0,0,1
RES00438,COL0968,Marathi,1,5,3,1,2707000,1
RES00439,COL1704,Physics,6,26,0,4,1535000,3
RES00440,COL0621,Marathi,30,135,5,8,12781000,1
RES00441,COL1598,English,2,22,0,5,3892000,2
RES00442,COL1613,Electrical Engineering,1,6,1,0,86000,1
RES00443,COL0608,Architectural Design,4,15,3,1,2351000,3
RES00444,COL0304,Economics,0,0,0,0,0,1
RES00445,COL0971,Mechanical Engineering,10,54,12,8,21603000,0
RES00446,COL1130,Physics,2,19,0,2,5467000,1
RES00447,COL1031,Zoology,1,7,0,1,3025000,1
RES00448,COL1287,Electronics & Telecommunication,1,6,3,1,2052000,3
RES00449,COL1145,English,1,8,4,5,9842000,1
RES00450,COL1816,Mechanical Engineering,6,31,5,6,13851000,1
RES00451,COL0974,Pharmaceutical Chemistry,39,265,3,5,11482000,2
RES00452,COL0026,Physics,30,86,1,7,3951000,0
RES00453,COL1549,Mechanical Engineering,2,13,0,0,0,1
RES00454,COL0241,Botany,5,25,3,2,1656000,3
RES00455,COL1329,Mechanical Engineering,0,0,2,0,524000,1
RES00456,COL0822,Banking & Finance,0,0,2,0,581000,0
RES00457,COL0270,Economics,5,19,1,8,14091000,0
RES00458,COL1223,Commerce,1,7,0,0,0,2
RES00459,COL1750,Mechanical Engineering,9,67,2,2,3537000,2
RES00460,COL0558,Obstetrics & Gynaecological Nursing,1,6,0,0,0,0
RES00461,COL1790,Physics,4,44,1,4,10103000,3
