college_id,college_name,college_type,ownership,district,city,state,university,established_year,naac_grade,nirf_rank,autonomous,accreditation_score,total_students,total_faculty,campus_area_acres,courses_offered,hostel_available,website,status
COL0019,"Punyashlok Ahilyadevi Holkar Arts, Science and Commerce College, Manmad","Arts, Science & Commerce",Government,Nashik,Manmad,Maharashtra,Kavayitri Bahinabai Chaudhari North Maharashtra University,1924,B+,,No,2.8,4301,283,23.6,MA; BSc; BA; BCom; MSc; MCom,No,www.punyashlokahilyadeviholkarar.edu.in,Active
COL0020,Government Vidarbha Institute of Science and Humanities,"Arts, Science & Commerce",Government,Amravati,Amravati,Maharashtra,Sant Gadge Baba Amravati University,1931,A++,38,No,3.95,4075,216,36.3,MA; MSc; BSc; MCom; BA; BCom,Yes,www.governmentvidarbhainstituteo.ac.in,Active
COL0021,"Yashwantrao Chavan Polytechnic, Taloda",Polytechnic,Autonomous,Nandurbar,Taloda,Maharashtra,Kavayitri Bahinabai Chaudhari North Maharashtra University,1995,B+,,Yes,2.94,622,28,21.0,Diploma in Civil Engineering; Diploma in Electrical Engineering; Diploma in Mechanical Engineering; Diploma in Computer Engineering,Yes,www.yashwantraochavanpolytechnic.org.in,Active
COL0022,"Kisan Veer Mahavidyalaya, Khamgaon","Arts, Science & Commerce",Private,Buldhana,Khamgaon,Maharashtra,Sant Gadge Baba Amravati University,1992,A,,No,3.33,5618,249,43.3,MA; BA,Yes,www.kisanveermahavidyalayakhamga.org.in,Active
COL0023,"Dr. Babasaheb Ambedkar College of Pharmacy, Dharashiv",Pharmacy,Private,Dharashiv,Dharashiv,Maharashtra,Dr. Babasaheb Ambedkar Marathwada University,1990,B+,,No,2.98,608,30,7.0,M.Pharm; B.Pharm; D.Pharm,No,www.drbabasahebambedkarcollegeof.org.in,Active
COL0024,"Sinhgad Technical Education Society's Mahatma Gandhi Mahavidyalaya, Vaijapur","Arts, Science & Commerce",Autonomous,Chhatrapati Sambhajinagar,Vaijapur,Maharashtra,Dr. Babasaheb Ambedkar Marathwada University,1962,A,,Yes,3.4,914,39,17.3,BA; MA; MCom; BCom; MSc,No,www.sinhgadtechnicaleducationsoc.org.in,Active
COL0025,"Dnyaneshwar Mahavidyalaya, Gangakhed","Arts, Science & Commerce",Private,Parbhani,Gangakhed,Maharashtra,Swami Ramanand Teerth Marathwada University,2001,B++,,No,3.09,3333,164,28.1,MA; MSc; MCom; BSc; BA; BCom,No,www.dnyaneshwarmahavidyalayagang.edu.in,Active
COL0026,"Loknete Gopinathji Munde Arts, Science and Commerce College, Amgaon","Arts, Science & Commerce",Private,Gondia,Amgaon,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University,1988,B,,No,2.6,3065,195,25.8,BA; MCom; BSc,Yes,www.loknetegopinathjimundeartssc.ac.in,Active
COL0027,"Dnyaneshwar Mahavidyalaya, Paithan",Arts,Private,Chhatrapati Sambhajinagar,Paithan,Maharashtra,Dr. Babasaheb Ambedkar Marathwada University,1981,B+,,No,2.86,329,23,14.4,BA English; BA History; BA Economics,No,www.dnyaneshwarmahavidyalayapait.ac.in,Active
COL0028,Armed Forces Medical College,Medical,Government,Pune,Pune,Maharashtra,Savitribai Phule Pune University,1855,A+,107,No,3.62,1778,124,88.1,MS; MBBS,Yes,www.armedforcesmedicalcollege.ac.in,Active
COL0029,"Sinhgad Technical Education Society's Anandibai Joshi Arts College, Paranda",Arts,Government,Dharashiv,Paranda,Maharashtra,Dr. Babasaheb Ambedkar Marathwada University,1910,A++,72,No,3.77,1796,80,10.0,BA Economics; BA History; MA; BA Marathi,Yes,www.sinhgadtechnicaleducationsoc.edu.in,Active
COL0030,"Government College of Engineering and Technology, Kopargaon",Engineering,Private,Ahmednagar,Kopargaon,Maharashtra,Savitribai Phule Pune University,2003,A,,No,3.45,1270,61,50.5,ME; BE Electrical Engineering; BE Civil Engineering; BE Computer Engineering; BE Mechanical Engineering; BE Electronics & Telecommunication,No,www.governmentcollegeofengineeri.org.in,Active
COL0031,"Tukaram College of Architecture, Kudal",Architecture,Private,Sindhudurg,Kudal,Maharashtra,University of Mumbai,1976,B,,No,2.63,474,23,10.7,M.Arch; B.Arch,Yes,www.tukaramcollegeofarchitecture.ac.in,Active
COL0032,"Anandibai Joshi Arts, Science and Commerce College, Kolhapur","Arts, Science & Commerce",Private,Kolhapur,Kolhapur,Maharashtra,"Shivaji University, Kolhapur",2015,A,,No,3.45,5032,242,38.8,BCom; MSc; MA; BA; BSc; MCom,Yes,www.anandibaijoshiartsscienceand.edu.in,Active
COL0033,"Vitthalrao Vikhe Patil College of Engineering, Manmad",Engineering,Deemed,Nashik,Manmad,Maharashtra,Vitthalrao Vikhe Patil College of Engineering (Deemed to be University),1960,A+,10,Yes,3.73,3669,267,22.8,ME; BE Electrical Engineering,No,www.vitthalraovikhepatilcollegeo.ac.in,Active
COL0034,"Lokmanya Tilak Institute of Engineering and Technology, Solapur",Engineering,Private,Solapur,Solapur,Maharashtra,Punyashlok Ahilyadevi Holkar Solapur University,1975,B,,No,2.55,3546,214,66.1,ME; BE Civil Engineering; BE Electrical Engineering,Yes,www.lokmanyatilakinstituteofengi.org.in,Active
COL0035,"Shri Sant Savata Mali College of Engineering, Karad",Engineering,Government,Satara,Karad,Maharashtra,"Shivaji University, Kolhapur",1994,B++,,No,3.24,4217,217,30.0,BE Electronics & Telecommunication; BE Civil Engineering; BE Mechanical Engineering; BE Computer Engineering,No,www.shrisantsavatamalicollegeofe.edu.in,Active
COL0036,"Government College of Commerce, Ambajogai",Commerce,Private,Beed,Ambajogai,Maharashtra,Dr. Babasaheb Ambedkar Marathwada University,2000,B,,Yes,2.52,2367,109,1.0,MCom; BCom (Banking & Insurance),Yes,www.governmentcollegeofcommercea.edu.in,Active
COL0037,"Tukaram College of Law, Amalner",Law,Private,Jalgaon,Amalner,Maharashtra,Kavayitri Bahinabai Chaudhari North Maharashtra University,1981,B++,,Yes,3.13,239,14,2.2,LLB; BA LLB; LLM,Yes,www.tukaramcollegeoflawamalner.ac.in,Active
COL0038,"Baburao Kale Mahavidyalaya, Chandrapur",Arts,Private,Chandrapur,Chandrapur,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University,1990,B+,,Yes,2.98,1578,118,14.7,BA History; BA Economics; BA Marathi,Yes,www.baburaokalemahavidyalayachan.edu.in,Active
COL0039,"Anandibai Joshi Mahavidyalaya, Risod","Arts, Science & Commerce",Government,Washim,Risod,Maharashtra,Sant Gadge Baba Amravati University,1870,B++,,No,3.17,4658,233,3.7,MCom; BCom; MSc; BA; BSc; MA,Yes,www.anandibaijoshimahavidyalayar.edu.in,Active
COL0040,"Marathwada Shikshan Prasarak Mandal's Dr. Babasaheb Ambedkar Polytechnic, Ratnagiri",Polytechnic,Private,Ratnagiri,Ratnagiri,Maharashtra,University of Mumbai,2003,B++,,No,3.18,1409,105,22.7,Diploma in Mechanical Engineering; Diploma in Civil Engineering; Diploma in Electrical Engineering,Yes,www.marathwadashikshanprasarakma.edu.in,Active
COL0041,Shri Shivaji Science College,Science,Autonomous,Amravati,Amravati,Maharashtra,Sant Gadge Baba Amravati University,1908,A++,,Yes,3.79,706,40,29.2,BSc Physics; BSc Mathematics; BSc Computer Science; BSc Chemistry; MSc,Yes,www.shrishivajisciencecollege.org.in,Active
COL0042,"New Model Institute of Management Studies, Amalner",Management (MBA/BBA),Government,Jalgaon,Amalner,Maharashtra,Kavayitri Bahinabai Chaudhari North Maharashtra University,1910,B++,,No,3.06,594,26,4.1,BBA; MBA; MMS,Yes,www.newmodelinstituteofmanagemen.ac.in,Active
COL0043,"Shankarrao Chavan College of Engineering and Technology, Achalpur",Engineering,Private,Amravati,Achalpur,Maharashtra,Sant Gadge Baba Amravati University,2006,A+,,No,3.66,1473,118,9.8,ME; BE Civil Engineering; BE Electronics & Telecommunication; BE Electrical Engineering; BE Mechanical Engineering; BE Computer Engineering,No,www.shankarraochavancollegeofeng.edu.in,Active
COL0044,"Tukaram Mahavidyalaya, Pen","Arts, Science & Commerce",Private,Raigad,Pen,Maharashtra,University of Mumbai,1983,B,,No,2.61,2593,193,7.0,BA; MCom; MSc,Yes,www.tukarammahavidyalayapen.org.in,Active
COL0045,"Swami Vivekanand Law College, Gadchiroli",Law,Autonomous,Gadchiroli,Gadchiroli,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University,1955,A,,Yes,3.38,649,30,6.9,LLM; BA LLB,Yes,www.swamivivekanandlawcollegegad.org.in,Active
COL0046,"Bharatiya Vidya Bhavan's Vinoba Bhave Mahavidyalaya, Ichalkaranji","Arts, Science & Commerce",Private,Kolhapur,Ichalkaranji,Maharashtra,"Shivaji University, Kolhapur",1982,A,,No,3.3,3583,162,35.5,MSc; MA; BCom; BSc,Yes,www.bharatiyavidyabhavansvinobab.edu.in,Active
COL0047,"Nutan Vidya Prasarak Sanstha's Krantiveer Vasudeo Balwant Phadke Mahavidyalaya, Ramtek","Arts, Science & Commerce",Private,Nagpur,Ramtek,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University,1997,B,,No,2.7,944,69,3.5,MCom; BA; MA; BCom; BSc,Yes,www.nutanvidyaprasaraksansthaskr.org.in,Active
COL0048,"Deccan Education Society's Ramabai Ranade College of Engineering, Nanded",Engineering,Private,Nanded,Nanded,Maharashtra,Swami Ramanand Teerth Marathwada University,2010,B++,,Yes,3.09,1643,122,57.8,BE Electronics & Telecommunication; BE Electrical Engineering; BE Computer Engineering,Yes,www.deccaneducationsocietysramab.ac.in,Active
COL0049,Baramati College of Engineering and Technology,Engineering,Private,Pune,Baramati,Maharashtra,Savitribai Phule Pune University,2010,B,,Yes,2.75,3639,225,25.3,BE Electronics & Telecommunication; BE Computer Engineering; ME; BE Mechanical Engineering,No,www.baramaticollegeofengineering.ac.in,Active
COL0050,"Ahmednagar Arts, Science and Commerce College","Arts, Science & Commerce",Private,Ahmednagar,Ahmednagar,Maharashtra,Savitribai Phule Pune University,2006,B,,No,2.57,3295,202,33.9,MCom; BSc; BCom; MA; BA; MSc,Yes,www.ahmednagarartsscienceandcomm.org.in,Active
COL0051,"Shri Shivaji Education Society's Annasaheb Magar Mahavidyalaya, Alibag","Arts, Science & Commerce",Government,Raigad,Alibag,Maharashtra,University of Mumbai,1990,B,,No,2.69,3864,215,4.1,BA; MCom; MA; BSc; BCom; MSc,No,www.shrishivajieducationsocietys.ac.in,Active
COL0052,"Government Institute of Pharmaceutical Sciences, Chhatrapati Sambhajinagar",Pharmacy,Government,Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar,Maharashtra,Dr. Babasaheb Ambedkar Marathwada University,1936,A,57,No,3.44,852,45,2.5,D.Pharm; M.Pharm; B.Pharm,Yes,www.governmentinstituteofpharmac.org.in,Active
COL0053,"Loknete Gopinathji Munde School of Business Management, Alibag",Management (MBA/BBA),Private,Raigad,Alibag,Maharashtra,University of Mumbai,1989,B++,,No,3.24,604,41,15.9,BBA; MBA; PGDM,Yes,www.loknetegopinathjimundeschool.edu.in,Active
COL0054,"Rayat Shikshan Sanstha's Sant Gadge Baba College of Nursing, Daryapur",Nursing,Private,Amravati,Daryapur,Maharashtra,"Maharashtra University of Health Sciences, Nashik",1980,B+,,Yes,2.77,217,11,6.4,ANM; B.Sc Nursing,Yes,www.rayatshikshansansthassantgad.edu.in,Active
COL0055,"Karmaveer Bhaurao Patil College of Pharmacy, Baramati",Pharmacy,Private,Pune,Baramati,Maharashtra,Savitribai Phule Pune University,1994,B++,,No,3.2,204,14,16.2,D.Pharm; M.Pharm,Yes,www.karmaveerbhauraopatilcollege.edu.in,Active
COL0056,"Adarsh Polytechnic, Shahada",Polytechnic,Autonomous,Nandurbar,Shahada,Maharashtra,Kavayitri Bahinabai Chaudhari North Maharashtra University,1978,B++,,Yes,3.08,1648,87,12.1,Diploma in Electrical Engineering; Diploma in Computer Engineering; Diploma in Civil Engineering,Yes,www.adarshpolytechnicshahada.org.in,Active
COL0057,"Chhatrapati Sambhaji College of Engineering, Kagal",Engineering,Autonomous,Kolhapur,Kagal,Maharashtra,Dr. Babasaheb Ambedkar Technological University,1968,B++,,Yes,3.04,2900,185,39.0,BE Electrical Engineering; ME; BE Mechanical Engineering; BE Computer Engineering,Yes,www.chhatrapatisambhajicollegeof.edu.in,Active
COL0058,"New Model Law College, Ramtek",Law,Private,Nagpur,Ramtek,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University,1991,B++,,No,3.14,632,39,8.8,BA LLB; LLM,Yes,www.newmodellawcollegeramtek.ac.in,Active
COL0059,Dr. D. Y. Patil Vidyapeeth,Medical,Deemed,Pune,Pimpri-Chinchwad,Maharashtra,Dr. D.Y. Patil Vidyapeeth (Deemed to be University),1889,B++,24,Yes,3.02,1204,75,58.6,MS; MD; MBBS,Yes,www.drdypatilvidyapeeth.ac.in,Active
COL0060,"Vidya Pratishthan's Swami Vivekanand College of Commerce, Andheri",Commerce,Autonomous,Mumbai Suburban,Andheri,Maharashtra,University of Mumbai,1988,A,137,Yes,3.36,1225,87,7.6,BCom; BCom (Accounting & Finance); BCom (Banking & Insurance),Yes,www.vidyapratishthansswamiviveka.org.in,Active
COL0061,Nanded Arts College,Arts,Government,Nanded,Nanded,Maharashtra,Swami Ramanand Teerth Marathwada University,1988,A+,,No,3.62,1389,98,1.3,BA English; BA History; BA Marathi; MA; BA Economics,No,www.nandedartscollege.ac.in,Active
COL0062,"Balasaheb Thackeray Mahavidyalaya, Kamptee","Arts, Science & Commerce",Government,Nagpur,Kamptee,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University,1858,A,,No,3.35,4151,329,7.8,BCom; BA,Yes,www.balasahebthackeraymahavidyal.org.in,Active
COL0063,"Punyashlok Ahilyadevi Holkar College of Agriculture, Thane",Agriculture,Government,Thane,Thane,Maharashtra,"Vasantrao Naik Marathwada Krishi Vidyapeeth, Parbhani",1898,B+,,No,2.96,573,29,161.6,B.Sc Agriculture; B.Tech Agricultural Engineering; M.Sc Agriculture,Yes,www.punyashlokahilyadeviholkarco.ac.in,Active
COL0064,"Vasantrao Naik Institute of Management Studies, Warora",Management (MBA/BBA),Autonomous,Chandrapur,Warora,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University,1971,B++,,Yes,3.07,329,20,5.6,BBA; PGDM; MMS,Yes,www.vasantraonaikinstituteofmana.edu.in,Active
COL0065,Walchand Institute of Technology,Engineering,Private,Solapur,Solapur,Maharashtra,Punyashlok Ahilyadevi Holkar Solapur University,2015,B++,134,No,3.05,2006,103,74.2,ME; BE Electrical Engineering; BE Civil Engineering; BE Mechanical Engineering; BE Computer Engineering,No,www.walchandinstituteoftechnolog.edu.in,Active
COL0066,Akola College of Science,Science,Private,Akola,Akola,Maharashtra,Sant Gadge Baba Amravati University,2001,B++,,No,3.07,1097,59,20.4,BSc Computer Science; BSc Physics; BSc Chemistry,Yes,www.akolacollegeofscience.ac.in,Active
COL0067,"Rajarshi Shahu Arts, Science and Commerce College, Hingoli","Arts, Science & Commerce",Private,Hingoli,Hingoli,Maharashtra,Swami Ramanand Teerth Marathwada University,2005,A+,,No,3.61,5955,250,30.1,MA; BA; BSc; BCom; MCom,Yes,www.rajarshishahuartsscienceandc.edu.in,Active
COL0068,"Deccan Education Society's Shankarrao Chavan College of Commerce, Malegaon",Commerce,Autonomous,Washim,Malegaon,Maharashtra,Sant Gadge Baba Amravati University,1986,A+,,Yes,3.67,3095,190,2.4,BCom (Banking & Insurance); BCom; BCom (Accounting & Finance); MCom,Yes,www.deccaneducationsocietysshank.org.in,Active
COL0069,"Sinhgad Technical Education Society's Mahatma Gandhi College of Commerce, Sakri",Commerce,Autonomous,Dhule,Sakri,Maharashtra,Kavayitri Bahinabai Chaudhari North Maharashtra University,1968,B,,Yes,2.66,734,46,11.2,MCom; BCom (Banking & Insurance),Yes,www.sinhgadtechnicaleducationsoc.edu.in,Active
COL0070,"New Model Institute of Polytechnic, Baramati",Polytechnic,Private,Pune,Baramati,Maharashtra,Savitribai Phule Pune University,1976,A+,,No,3.53,1731,74,27.7,Diploma in Civil Engineering; Diploma in Computer Engineering; Diploma in Mechanical Engineering; Diploma in Electrical Engineering,Yes,www.newmodelinstituteofpolytechn.ac.in,Active
COL0071,"Deccan Education Society's Kisan Veer Arts, Science and Commerce College, Dhule","Arts, Science & Commerce",Deemed,Dhule,Dhule,Maharashtra,Deccan Education Society's Kisan Veer Arts (Deemed to be University),1988,B++,,Yes,3.03,2850,146,6.5,BSc; BCom; MA,No,www.deccaneducationsocietyskisan.ac.in,Active
COL0072,"Karmaveer Bhaurao Patil Commerce College, Amalner",Commerce,Private,Jalgaon,Amalner,Maharashtra,Kavayitri Bahinabai Chaudhari North Maharashtra University,2019,Not Accredited,,No,0.0,3274,192,10.5,BCom (Banking & Insurance); MCom,Yes,www.karmaveerbhauraopatilcommerc.org.in,Active
COL0073,"Bhausaheb Hire Institute of Nursing Sciences, Majalgaon",Nursing,Government,Beed,Majalgaon,Maharashtra,Dr. Babasaheb Ambedkar Marathwada University,1870,B+,,No,2.79,175,8,14.4,GNM; ANM; B.Sc Nursing,Yes,www.bhausahebhireinstituteofnurs.edu.in,Active
COL0074,"Bhausaheb Hire Polytechnic, Beed",Polytechnic,Deemed,Beed,Beed,Maharashtra,Bhausaheb Hire Polytechnic (Deemed to be University),2009,A++,,Yes,3.88,1645,73,12.6,Diploma in Civil Engineering; Diploma in Mechanical Engineering,Yes,www.bhausahebhirepolytechnicbeed.ac.in,Under NAAC Reassessment
COL0075,"Sanjivani Rural Education Society's Vinoba Bhave Mahavidyalaya, Tumsar","Arts, Science & Commerce",Private,Bhandara,Tumsar,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University,1990,A,,No,3.47,3846,182,20.6,MCom; BA,Yes,www.sanjivaniruraleducationsocie.org.in,Active
COL0076,"Padmashri Vikhe Patil Arts, Science and Commerce College, Boisar","Arts, Science & Commerce",Private,Palghar,Boisar,Maharashtra,University of Mumbai,1998,B+,,No,2.93,1618,85,37.6,MA; BA; BSc; MCom; BCom; MSc,No,www.padmashrivikhepatilartsscien.ac.in,Active
COL0077,"Rayat Shikshan Sanstha's Jyotirao Phule Arts, Science and Commerce College, Vita","Arts, Science & Commerce",Private,Sangli,Vita,Maharashtra,"Shivaji University, Kolhapur",1993,B,,No,2.74,3037,131,12.5,BA; MSc; MA; BSc; BCom; MCom,Yes,www.rayatshikshansansthasjyotira.org.in,Active
COL0078,"Government Science College, Vaijapur",Science,Private,Chhatrapati Sambhajinagar,Vaijapur,Maharashtra,Dr. Babasaheb Ambedkar Marathwada University,1995,C,,No,2.11,2433,161,26.6,BSc Physics; BSc Chemistry; BSc Mathematics,No,www.governmentsciencecollegevaij.org.in,Active
COL0079,"Shikshan Prasarak Mandal's Vitthalrao Vikhe Patil Mahavidyalaya, Shrirampur",Arts,Private,Ahmednagar,Shrirampur,Maharashtra,Savitribai Phule Pune University,1990,A,,No,3.31,1846,77,7.9,BA English; BA Marathi; BA History; BA Economics; MA,No,www.shikshanprasarakmandalsvitth.edu.in,Active
COL0080,"Shikshan Prasarak Mandal's Dr. Babasaheb Ambedkar College of Science, Hinganghat",Science,Autonomous,Wardha,Hinganghat,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University,1964,C,,Yes,2.37,695,34,6.6,BSc Physics; MSc; BSc Chemistry,Yes,www.shikshanprasarakmandalsdrbab.ac.in,Active
COL0081,"Balasaheb Desai Arts, Science and Commerce College, Barshi","Arts, Science & Commerce",Private,Solapur,Barshi,Maharashtra,Punyashlok Ahilyadevi Holkar Solapur University,1994,C,,No,2.29,4345,285,23.0,BA; MA; MSc; BSc,No,www.balasahebdesaiartsscienceand.edu.in,Active
COL0082,"Vasantrao Naik Institute of Polytechnic, Kurla",Polytechnic,Private,Mumbai Suburban,Kurla,Maharashtra,University of Mumbai,1995,B,,No,2.59,1222,74,29.6,Diploma in Electrical Engineering; Diploma in Mechanical Engineering; Diploma in Computer Engineering,No,www.vasantraonaikinstituteofpoly.ac.in,Active
COL0083,"Mahatma Gandhi College of Commerce, Kagal",Commerce,Government,Kolhapur,Kagal,Maharashtra,"Shivaji University, Kolhapur",1923,A,285,No,3.4,1014,64,5.5,BCom (Accounting & Finance); MCom,Yes,www.mahatmagandhicollegeofcommer.org.in,Active
COL0084,"Maratha Vidya Prasarak Samaj's Vinoba Bhave Institute of Engineering and Technology, Manmad",Engineering,Autonomous,Nashik,Manmad,Maharashtra,Kavayitri Bahinabai Chaudhari North Maharashtra University,1958,A,,Yes,3.27,1280,79,55.1,BE Computer Engineering; BE Civil Engineering; BE Electronics & Telecommunication; ME; BE Electrical Engineering,Yes,www.marathavidyaprasaraksamajsvi.edu.in,Active
COL0085,"Government College of Commerce, Vita",Commerce,Deemed,Sangli,Vita,Maharashtra,Government College of Commerce (Deemed to be University),1970,A+,,Yes,3.54,1057,51,7.4,BCom (Accounting & Finance); MCom,Yes,www.governmentcollegeofcommercev.ac.in,Active
COL0086,"Dnyaneshwar College of Pharmacy, Pune",Pharmacy,Private,Pune,Pune,Maharashtra,Savitribai Phule Pune University,2015,B+,,No,2.88,375,17,2.7,B.Pharm; M.Pharm,Yes,www.dnyaneshwarcollegeofpharmacy.org.in,Active
COL0087,"Vitthalrao Vikhe Patil Arts, Science and Commerce College, Chandrapur","Arts, Science & Commerce",Private,Chandrapur,Chandrapur,Maharashtra,Rashtrasant Tukadoji Maharaj Nagpur University,1980,B++,,No,3.19,2850,218,24.1,MSc; BSc; MA; MCom; BA,No,www.vitthalraovikhepatilartsscie.ac.in,Active
COL0088,Daryapur Mahavidyalaya,Arts,Government,Amravati,Daryapur,Maharashtra,Sant Gadge Baba Amravati University,1962,A,,No,3.46,1702,90,13.8,BA Economics; BA History,No,www.daryapurmahavidyalaya.ac.in,Active
