placement_id,college_id,student_id,branch,graduation_year,company,package_lpa,internship_company,internship_stipend,placement_status,job_role,location
PLC000056,COL0925,STU046421,BE Computer Engineering,2027,Intel,23.5,,,Placed,Product Analyst,Noida
PLC000057,COL0553,STU028357,MBBS,2027,,,,,Not Placed,,
PLC000058,COL0994,STU049581,MSc,2027,Concentrix,3.8,,,Placed,Process Associate,Kolhapur
PLC000059,COL1790,STU089469,BSc Mathematics,2027,,,Persistent Systems,19500,Not Placed,,
PLC000060,COL0387,STU019855,ME,2027,Siemens,6.5,Apollo Hospitals,14000,Placed,Site Engineer,Pune
PLC000061,COL1348,STU067885,MA,2027,,,Adobe,53000,Not Placed,,
PLC000062,COL1896,STU094629,ME,2027,Thermax,5.1,Deloitte,15500,Placed,Graduate Engineer Trainee,Pune
PLC000063,COL1080,STU053749,MCom,2027,,,Wipro BPO,11000,Not Placed,,
PLC000064,COL1578,STU079455,MSc,2027,,,,,Not Eligible,,
PLC000065,COL1465,STU074430,MA,2027,,,Sun Pharmaceutical,9500,Not Placed,,
PLC000066,COL0325,STU017030,MSc,2027,,,,,Not Placed,,
PLC000067,COL1664,STU083056,BE Mechanical Engineering,2027,Tata Steel,8.0,Cognizant,13000,Placed,Graduate Engineer Trainee,Aurangabad
PLC000068,COL1223,STU061174,MSc,2027,Axis Bank,7.2,Google,88000,Placed,Audit Associate,Noida
PLC000069,COL0112,STU005784,ME,2027,Cummins India,10.5,HDFC Life,23000,Placed,Design Engineer,Thane
PLC000070,COL1832,STU091323,BCom,2027,,,Cognizant,20500,Not Placed,,
PLC000071,COL0470,STU024025,MCom,2027,Deloitte,9.8,Larsen & Toubro,14000,Placed,Relationship Manager,Mumbai
PLC000072,COL0111,STU005737,BCom (Accounting & Finance),2027,HDFC Life,4.8,HDFC Life,28500,Placed,Management Trainee,Bengaluru
PLC000073,COL1115,STU056015,MSc,2027,,,,,Not Placed,,
PLC000074,COL1791,STU089520,Diploma in Civil Engineering,2027,LTIMindtree,4.5,Ruby Hall Clinic,14500,Placed,Systems Engineer,Mumbai
PLC000075,COL0840,STU042307,MCom,2027,,,Tata Memorial Hospital,12500,Not Placed,,
PLC000076,COL0423,STU021441,BSc,2027,Genpact,3.6,,,Placed,Customer Support Executive,Mumbai
PLC000077,COL0200,STU010539,Diploma in Mechanical Engineering,2027,,,,,Not Placed,,
PLC000078,COL1689,STU084351,MSc,2027,Axis Bank,4.5,,,Placed,Management Trainee,Chennai
PLC000079,COL1744,STU086987,MA,2027,,,Lupin,16000,Not Placed,,
PLC000080,COL1204,STU060396,MCom,2027,EY,8.5,,,Placed,Management Trainee,Bengaluru
PLC000081,COL1301,STU065108,MCom,2027,Amazon (Operations),5.9,Microsoft,72000,Placed,Content Associate,Amravati
PLC000082,COL1749,STU087173,ME,2027,SAP Labs,17.4,Sun Pharmaceutical,16000,Placed,Product Analyst,Chennai
PLC000083,COL0792,STU039755,BCom (Accounting & Finance),2027,,,,,Not Placed,,
PLC000084,COL1310,STU065864,MA,2027,,,Cadila Healthcare,13000,Not Placed,,
PLC000085,COL0589,STU029661,ME,2027,,,,,Not Placed,,
PLC000086,COL0323,STU016757,Diploma in Electrical Engineering,2027,,,Persistent Systems,16000,Not Eligible,,
PLC000087,COL1576,STU079333,MA,2027,,,,,Not Placed,,
PLC000088,COL0600,STU030306,BSc,2027,,,Ruby Hall Clinic,8500,Not Placed,,
PLC000089,COL1685,STU084204,MA,2027,HDFC Life,4.8,Cadila Healthcare,10500,Placed,Audit Associate,Pune
PLC000090,COL1154,STU057890,MCom,2027,,,Dr. Reddy's Laboratories,17000,Not Placed,,
PLC000091,COL1807,STU090133,BE Electrical Engineering,2027,,,Cadila Healthcare,8500,Not Placed,,
PLC000092,COL0468,STU023870,MCom,2027,,,PwC,30000,Not Placed,,
PLC000093,COL1467,STU074580,MSc,2027,,,Qualcomm,80500,Not Placed,,
PLC000094,COL0071,STU003696,MA,2027,,,,,Not Placed,,
PLC000095,COL1262,STU062928,MCom,2027,,,,,Not Placed,,
PLC000096,COL0476,STU024317,BCom,2027,Genpact,3.9,,,Placed,Operations Executive,Amravati
PLC000097,COL1881,STU093607,D.Pharm,2027,,,Concentrix,7000,Not Eligible,,
PLC000098,COL0276,STU014520,BSc,2027,Tech Mahindra,3.9,,,Placed,Systems Engineer,Gurugram
PLC000099,COL1960,STU097952,MSc,2027,ICICI Bank,4.7,HDFC Life,19000,Placed,Audit Associate,Chennai
PLC000100,COL1037,STU052012,MCom,2027,Cognizant,7.4,,,Placed,Software Trainee,Bengaluru
PLC000101,COL1311,STU066085,BA,2027,,,,,Not Placed,,
PLC000102,COL0651,STU032727,ME,2027,,,ICICI Bank,21500,Not Eligible,,
PLC000103,COL0456,STU023089,BBA,2027,Cognizant,4.3,,,Placed,Technical Consultant,Chennai
PLC000104,COL0700,STU035019,ME,2027,Bharat Forge,6.3,Godrej & Boyce,16500,Placed,Production Engineer,Mumbai
PLC000105,COL0651,STU032739,ME,2027,Larsen & Toubro,8.9,,,Placed,Graduate Engineer Trainee,Thane
PLC000106,COL0582,STU029171,MSc,2027,,,,,Not Placed,,
PLC000107,COL1782,STU088855,MCom,2027,,,Amazon,46000,Not Placed,,
PLC000108,COL1580,STU079678,ANM,2027,Fortis Healthcare,4.9,Google,50500,Placed,Resident Doctor,Mumbai
PLC000109,COL0154,STU008142,MCom,2027,Godrej Consumer Products,12.3,,,Placed,Sales Executive,Hyderabad
PLC000110,COL0005,STU000182,BCom,2027,,,,,Not Placed,,
PLC000111,COL0011,STU000425,BA,2027,,,,,Not Placed,,
PLC000112,COL0677,STU033875,BCom,2027,,,Tata Motors,16000,Not Placed,,
PLC000113,COL1866,STU093124,MSc,2027,,,,,Not Placed,,
PLC000114,COL1374,STU069555,LLM,2027,Cyril Amarchand Mangaldas,15.5,,,Placed,Associate,Nashik
PLC000115,COL0954,STU047673,ME,2027,Amazon,12.3,Thermax,16500,Placed,Product Analyst,Gurugram
PLC000116,COL0419,STU021339,MA,2027,PwC,17.3,,,Placed,Financial Analyst,Bengaluru
PLC000117,COL1884,STU093917,BA,2027,Byju's,6.4,Glenmark Pharmaceuticals,16000,Placed,Operations Executive,Solapur
PLC000118,COL1186,STU059482,ANM,2027,,,,,Not Placed,,
PLC000119,COL1050,STU052492,MSc,2027,Wipro BPO,4.1,,,Placed,Content Associate,Kolhapur
PLC000120,COL1578,STU079421,MA,2027,,,,,Not Placed,,
PLC000121,COL0839,STU042223,MA,2027,Reliance Industries,15.1,,,Placed,Brand Associate,Chennai
PLC000122,COL0969,STU048434,BE Electrical Engineering,2027,Tech Mahindra,3.8,Thermax,11000,Placed,Associate Software Engineer,Mumbai
PLC000123,COL0126,STU006524,ME,2027,Siemens,9.7,Amazon (Operations),8500,Placed,Graduate Engineer Trainee,Chakan
PLC000124,COL1654,STU082623,BSc Computer Science,2027,Wipro BPO,5.3,,,Placed,Customer Support Executive,Solapur
PLC000125,COL0120,STU006227,MA,2027,Accenture,5.3,Cadila Healthcare,15500,Placed,IT Analyst,Bengaluru
PLC000126,COL1477,STU074811,BA,2027,,,,,Not Placed,,
PLC000127,COL0995,STU049704,BCom,2027,,,,,Not Placed,,
PLC000128,COL1919,STU096023,MSc,2027,Genpact,3.9,,,Placed,Operations Executive,Pune
PLC000129,COL1157,STU057967,BCom (Accounting & Finance),2027,,,Lupin,13000,Not Placed,,
PLC000130,COL1097,STU054944,MA,2027,Concentrix,4.1,,,Placed,Customer Support Executive,Pune
PLC000131,COL0652,STU032839,MSc,2027,,,Max Healthcare,14000,Not Placed,,
PLC000132,COL0331,STU017326,BE Electrical Engineering,2027,,,HDFC Life,27500,Not Placed,,
PLC000133,COL0543,STU027651,D.Pharm,2027,Glenmark Pharmaceuticals,5.5,Teleperformance,10000,Placed,Regulatory Affairs Executive,Amravati
PLC000134,COL1239,STU061983,MCom,2027,ITC Limited,8.8,,,Placed,Management Trainee,Gurugram
PLC000135,COL0278,STU014656,BA Economics,2027,,,Amazon (Operations),9500,Not Placed,,
PLC000136,COL0254,STU013265,D.Ed,2027,Genpact,5.8,,,Placed,Process Associate,Pune
PLC000137,COL0931,STU046645,BA,2027,,,Max Healthcare,10000,Not Eligible,,
PLC000138,COL0550,STU028094,ME,2027,,,Sun Pharmaceutical,17000,Not Placed,,
PLC000139,COL0985,STU049081,MCom,2027,Wipro BPO,6.0,Byju's,7000,Placed,Process Associate,Pune
PLC000140,COL1463,STU074324,D.Pharm,2027,,,,,Not Placed,,
PLC000141,COL1499,STU076126,PGDM,2027,,,Lupin,17500,Not Placed,,
PLC000142,COL1306,STU065622,MCom,2027,,,,,Not Placed,,
PLC000143,COL0779,STU039007,BCom,2027,HDFC Life,5.6,Axis Bank,23000,Placed,Business Analyst,Pune
PLC000144,COL0077,STU004044,BSc,2027,Wipro BPO,4.8,Mphasis,14000,Placed,Content Associate,Amravati
PLC000145,COL1490,STU075584,MCom,2027,,,,,Not Placed,,
PLC000146,COL1128,STU056646,BE Electrical Engineering,2027,Bharat Forge,6.9,Oracle,87500,Placed,Quality Engineer,Pune
PLC000147,COL1908,STU095486,MSc,2027,,,Sun Pharmaceutical,12000,Not Placed,,
PLC000148,COL1437,STU072978,ME,2027,,,KPMG,29000,Not Placed,,
PLC000149,COL1871,STU093329,B.Sc Nursing,2027,Tata Memorial Hospital,4.0,LTIMindtree,24500,Placed,Resident Doctor,Mumbai
PLC000150,COL0773,STU038752,MSc,2027,Axis Bank,8.1,Cadila Healthcare,17000,Placed,Business Analyst,Gurugram
PLC000151,COL0962,STU048032,BE Mechanical Engineering,2027,,,HCLTech,18500,Not Placed,,
PLC000152,COL1348,STU067915,BA,2027,,,Lupin,17500,Not Placed,,
PLC000153,COL0324,STU016858,MCom,2027,,,,,Not Eligible,,
PLC000154,COL0871,STU043923,MA,2027,Concentrix,4.7,Fortis Healthcare,14500,Placed,Operations Executive,Solapur
PLC000155,COL0623,STU031280,BSc Chemistry,2027,,,,,Not Placed,,
PLC000156,COL1362,STU068699,MA,2027,Capgemini,7.6,,,Placed,Software Trainee,Pune
PLC000157,COL0764,STU038285,MSc,2027,,,Tata Steel,13000,Not Placed,,
PLC000158,COL0218,STU011576,MMS,2027,HDFC Life,7.2,Tata Steel,10500,Placed,Financial Analyst,Noida
PLC000159,COL1559,STU078667,M.Sc Agriculture,2027,Axis Bank,10.5,HDFC Life,17000,Placed,Management Trainee,Mumbai
PLC000160,COL0968,STU048331,MSc,2027,Godrej Consumer Products,12.0,HDFC Bank,28500,Placed,Sales Executive,Pune
PLC000161,COL1089,STU054347,BCom,2027,,,,,Not Placed,,
PLC000162,COL0810,STU040542,BCom,2027,Mphasis,5.7,,,Placed,Software Trainee,Pune
PLC000163,COL0827,STU041541,MCom,2027,,,,,Not Placed,,
PLC000164,COL1404,STU071417,MA,2027,,,,,Not Placed,,
PLC000165,COL1909,STU095581,MSc,2027,,,,,Not Placed,,
PLC000166,COL1166,STU058659,ME,2027,,,Bharat Forge,18500,Not Placed,,
PLC000167,COL0708,STU035441,BA Economics,2027,Wipro BPO,4.0,,,Placed,Content Associate,Amravati
PLC000168,COL0344,STU017863,MCom,2027,,,Cummins India,16000,Not Placed,,
PLC000169,COL1347,STU067750,MA,2027,,,,,Not Placed,,
PLC000170,COL0148,STU007714,BCom,2027,,,Ruby Hall Clinic,14000,Not Eligible,,
PLC000171,COL0472,STU024206,MCom,2027,Infosys,6.2,,,Placed,Associate Software Engineer,Bengaluru
PLC000172,COL1832,STU091234,BCom,2027,Godrej Consumer Products,5.3,,,Placed,Management Trainee,Bengaluru
PLC000173,COL0994,STU049637,BA,2027,,,Ruby Hall Clinic,13500,Not Placed,,
PLC000174,COL0985,STU049144,MCom,2027,,,Tata Memorial Hospital,15000,Not Eligible,,
PLC000175,COL0896,STU045262,BSc,2027,,,,,Not Placed,,
PLC000176,COL0698,STU034971,BE Civil Engineering,2027,Godrej & Boyce,4.0,EY,24000,Placed,Production Engineer,Nagpur
PLC000177,COL0813,STU040690,MA,2027,Deloitte,9.9,,,Placed,Management Trainee,Mumbai
PLC000178,COL0265,STU013702,MCom,2027,,,ABB India,17000,Not Placed,,
PLC000179,COL0165,STU008623,MSc,2027,Deloitte,16.5,Intel,53500,Placed,Relationship Manager,Noida
PLC000180,COL0253,STU013210,MCom,2027,,,,,Not Placed,,
PLC000181,COL0864,STU043460,BE Civil Engineering,2027,NVIDIA,21.9,Apollo Hospitals,14500,Placed,Product Analyst,Bengaluru
PLC000182,COL1649,STU082410,BCom (Accounting & Finance),2027,,,,,Not Placed,,
PLC000183,COL1361,STU068664,MCom,2027,,,,,Not Placed,,
PLC000184,COL1154,STU057833,MSc,2027,,,,,Not Placed,,
PLC000185,COL1654,STU082579,BSc Chemistry,2027,Tech Mahindra,4.5,Byju's,10500,Placed,Software Trainee,Pune
PLC000186,COL1674,STU083744,BCom,2027,PwC,17.2,,,Placed,Management Trainee,Gurugram
PLC000187,COL1718,STU085728,BSc Computer Science,2027,,,,,Not Placed,,
PLC000188,COL1370,STU069408,D.Ed,2027,,,Amazon,42000,Not Placed,,
PLC000189,COL1777,STU088612,MSc,2027,,,,,Not Placed,,
PLC000190,COL0623,STU031254,MSc,2027,,,,,Not Eligible,,
PLC000191,COL1506,STU076477,Diploma in Electrical Engineering,2027,,,,,Not Placed,,
PLC000192,COL1843,STU091855,BE Electrical Engineering,2027,Amazon,24.1,,,Placed,Machine Learning Engineer,Pune
PLC000193,COL0499,STU025490,BE Computer Engineering,2027,,,Lupin,13500,Not Eligible,,
PLC000194,COL0467,STU023774,ME,2027,,,Dr. Reddy's Laboratories,11500,Not Placed,,
PLC000195,COL1467,STU074560,BSc Chemistry,2027,,,,,Not Eligible,,
PLC000196,COL0092,STU004806,BE Mechanical Engineering,2027,,,Google,75000,Not Placed,,
PLC000197,COL1432,STU072679,BA LLB,2027,Khaitan & Co,8.3,TCS,18500,Placed,Junior Legal Counsel,Mumbai
PLC000198,COL0671,STU033557,BSc,2027,,,TCS,16000,Not Placed,,
PLC000199,COL1084,STU054149,MA,2027,,,,,Not Placed,,
PLC000200,COL1073,STU053410,MA,2027,Amazon (Operations),6.1,,,Placed,Customer Support Executive,Mumbai
PLC000201,COL0695,STU034707,MSc,2027,,,,,Not Placed,,
PLC000202,COL1832,STU091277,BA,2027,Hindustan Unilever,9.8,Wipro,23500,Placed,Brand Associate,Gurugram
PLC000203,COL0418,STU021244,ME,2027,,,Wipro,22500,Not Eligible,,
PLC000204,COL1353,STU068140,BCom (Accounting & Finance),2027,,,,,Not Placed,,
PLC000205,COL0364,STU018945,ME,2027,Thermax,6.7,,,Placed,Quality Engineer,Aurangabad
PLC000206,COL1182,STU059306,M.Sc Agriculture,2027,,,Axis Bank,18500,Not Placed,,
PLC000207,COL0353,STU018416,BCom,2027,,,,,Not Eligible,,
PLC000208,COL1326,STU066774,BCom,2027,Amazon (Operations),3.7,Bajaj Auto,14500,Placed,Operations Executive,Amravati
PLC000209,COL1968,STU098556,ME,2027,,,ICICI Bank,19000,Not Placed,,
PLC000210,COL1000,STU050023,BE Electronics & Telecommunication,2027,,,Ruby Hall Clinic,12500,Not Placed,,
PLC000211,COL1477,STU074807,BCom,2027,ICICI Bank,7.0,,,Placed,Audit Associate,Pune
PLC000212,COL1820,STU090734,MMS,2027,ITC Limited,9.5,Larsen & Toubro,19500,Placed,Management Trainee,Chennai
PLC000213,COL0770,STU038574,M.Sc Nursing,2027,Max Healthcare,3.9,Bajaj Auto,14500,Placed,Clinical Associate,Amravati
PLC000214,COL0541,STU027598,MA,2027,Amazon (Operations),6.8,,,Placed,Customer Support Executive,Nagpur
PLC000215,COL1895,STU094513,MA,2027,Teleperformance,5.2,,,Placed,Customer Support Executive,Mumbai
PLC000216,COL1140,STU057220,MCom,2027,HDFC Bank,5.0,Tata Steel,14500,Placed,Business Analyst,Mumbai
PLC000217,COL1084,STU054129,BCom,2027,HDFC Bank,10.0,,,Placed,Relationship Manager,Bengaluru
PLC000218,COL1326,STU066868,MCom,2027,,,Uber,84500,Not Eligible,,
PLC000219,COL0059,STU003093,MBBS,2027,Max Healthcare,7.1,,,Placed,Medical Officer,Mumbai
PLC000220,COL1413,STU071978,BE Computer Engineering,2027,,,Intel,79000,Not Placed,,
PLC000221,COL1958,STU097806,BE Mechanical Engineering,2027,Godrej & Boyce,5.7,Tata Motors,13500,Placed,Quality Engineer,Mumbai
PLC000222,COL1445,STU073479,BCom (Banking & Insurance),2027,HDFC Bank,11.0,,,Placed,Management Trainee,Gurugram
PLC000223,COL1021,STU051215,BA,2027,,,Max Healthcare,10500,Not Eligible,,
PLC000224,COL1499,STU076124,PGDM,2027,,,Fortis Healthcare,14500,Not Placed,,
PLC000225,COL0620,STU031041,BSc,2027,Teleperformance,3.1,,,Placed,Content Associate,Aurangabad
PLC000226,COL0344,STU017890,MSc,2027,,,,,Not Placed,,
PLC000227,COL1175,STU059036,BCom,2027,Mphasis,9.9,Siemens,18500,Placed,Systems Engineer,Pune
PLC000228,COL0995,STU049755,BA,2027,Byju's,4.0,,,Placed,Content Associate,Mumbai
PLC000229,COL0025,STU001333,BSc,2027,Axis Bank,10.6,Ruby Hall Clinic,10500,Placed,Relationship Manager,Pune
PLC000230,COL0172,STU008913,BSc,2027,,,PwC,18000,Not Placed,,
PLC000231,COL1304,STU065431,MA,2027,Reliance Industries,14.7,,,Placed,Supply Chain Analyst,Noida
PLC000232,COL0879,STU044190,MCom,2027,PwC,13.7,,,Placed,Business Analyst,Hyderabad
PLC000233,COL0299,STU015648,BE Electronics & Telecommunication,2027,Persistent Systems,7.9,Tata Motors,16500,Placed,Software Trainee,Gurugram
PLC000234,COL0467,STU023779,ME,2027,Salesforce,24.0,Tata Memorial Hospital,11000,Placed,Data Scientist,Hyderabad
PLC000235,COL1783,STU089008,MA,2027,,,,,Not Placed,,
PLC000236,COL1168,STU058769,BSc Chemistry,2027,,,,,Not Eligible,,
PLC000237,COL1356,STU068351,MCom,2027,Reliance Industries,10.3,SAP Labs,78000,Placed,Management Trainee,Mumbai
PLC000238,COL0318,STU016614,MCom,2027,,,,,Not Placed,,
PLC000239,COL1591,STU080031,MA,2027,,,,,Not Placed,,
PLC000240,COL0447,STU022674,ME,2027,NVIDIA,49.8,HDFC Bank,24000,Placed,Machine Learning Engineer,Noida
PLC000241,COL1304,STU065410,BSc,2027,,,,,Not Eligible,,
PLC000242,COL0588,STU029614,MCom,2027,,,,,Not Placed,,
PLC000243,COL0899,STU045340,MBA,2027,,,Kotak Mahindra Bank,16000,Not Placed,,
PLC000244,COL1884,STU093924,MCom,2027,Asian Paints,5.0,,,Placed,Supply Chain Analyst,Chennai
PLC000245,COL1190,STU059799,Diploma in Computer Engineering,2027,LTIMindtree,6.0,,,Placed,IT Analyst,Chennai
PLC000246,COL0007,STU000284,MCom,2027,,,,,Not Placed,,
PLC000247,COL0311,STU016466,ME,2027,Thermax,7.2,Wipro,23500,Placed,Design Engineer,Nashik
PLC000248,COL0693,STU034588,ME,2027,,,ABB India,20000,Not Eligible,,
PLC000249,COL1543,STU077914,M.Pharm,2027,Ruby Hall Clinic,3.2,Apollo Hospitals,11000,Placed,Staff Nurse,Mumbai
PLC000250,COL0797,STU039921,B.Pharm,2027,Cadila Healthcare,7.7,Godrej & Boyce,14000,Placed,R&D Associate,Pune
PLC000251,COL1103,STU055422,MCom,2027,,,,,Not Placed,,
PLC000252,COL0460,STU023386,BE Civil Engineering,2027,HCLTech,7.0,,,Placed,Systems Engineer,Chennai
PLC000253,COL1071,STU053346,PGDM,2027,,,,,Not Placed,,
PLC000254,COL0610,STU030616,BA,2027,Genpact,3.6,Tata Memorial Hospital,9000,Placed,Customer Support Executive,Nagpur
PLC000255,COL0506,STU025891,ME,2027,Infosys,5.5,Zensar Technologies,24000,Placed,Systems Engineer,Noida
PLC000256,COL0616,STU030772,D.Pharm,2027,,,Qualcomm,40000,Not Placed,,
PLC000257,COL0465,STU023649,BSc,2027,,,,,Not Eligible,,
PLC000258,COL0366,STU019116,BCom,2027,Zensar Technologies,7.7,NVIDIA,55000,Placed,Systems Engineer,Bengaluru
PLC000259,COL0513,STU026446,MCom,2027,,,,,Not Placed,,
PLC000260,COL1660,STU082867,BE Mechanical Engineering,2027,TCS,6.6,Apollo Hospitals,9000,Placed,Systems Engineer,Bengaluru
PLC000261,COL1189,STU059722,BCom,2027,Byju's,4.6,,,Placed,Customer Support Executive,Nagpur
PLC000262,COL0311,STU016434,BE Electrical Engineering,2027,Mphasis,6.3,,,Placed,Systems Engineer,Chennai
PLC000263,COL1113,STU055903,MD,2027,Apollo Hospitals,3.0,,,Placed,Staff Nurse,Mumbai
PLC000264,COL0992,STU049536,BE Mechanical Engineering,2027,,,Teleperformance,11500,Not Eligible,,
PLC000265,COL1567,STU078954,BCom,2027,,,,,Not Placed,,
PLC000266,COL0046,STU002495,MA,2027,,,KPMG,30000,Not Eligible,,
PLC000267,COL1761,STU087684,Diploma in Computer Engineering,2027,,,Walmart Global Tech,43500,Not Placed,,
PLC000268,COL0513,STU026374,MA,2027,,,Concentrix,8500,Not Placed,,
PLC000269,COL1254,STU062530,MSc,2027,,,Amazon,71500,Not Eligible,,
PLC000270,COL0194,STU010214,MCom,2027,Teleperformance,4.8,Qualcomm,40000,Placed,Customer Support Executive,Nagpur
PLC000271,COL1226,STU061419,ME,2027,,,Tata Memorial Hospital,9500,Not Eligible,,
PLC000272,COL1962,STU098129,Diploma in Civil Engineering,2027,Larsen & Toubro,4.6,,,Placed,Site Engineer,Mumbai
PLC000273,COL1908,STU095419,MCom,2027,Teleperformance,4.6,,,Placed,Process Associate,Solapur
PLC000274,COL1908,STU095544,MA,2027,Wipro,7.2,Byju's,9500,Placed,Technical Consultant,Mumbai
PLC000275,COL0839,STU042148,MA,2027,,,Teleperformance,8500,Not Placed,,
PLC000276,COL0737,STU036841,B.Arch,2027,Edifice Consultants,3.7,,,Placed,Design Associate,Pune
PLC000277,COL0672,STU033645,BSc,2027,,,,,Not Placed,,
PLC000278,COL0904,STU045464,MA,2027,Teleperformance,3.1,Persistent Systems,16000,Placed,Content Associate,Solapur
PLC000279,COL1253,STU062478,D.Ed,2027,Genpact,5.2,Cipla,15000,Placed,Operations Executive,Kolhapur
