complaint_id,college_id,category,priority,status,days_to_resolve,reported_date,resolved_date
CMP00030,COL0933,Internet,Low,In Progress,,2025-12-09,
CMP00031,COL1219,Library,High,Resolved,5,2022-06-12,2022-06-17
CMP00032,COL1576,Transport,Low,Escalated,,2021-04-27,
CMP00033,COL0618,Scholarship,High,Resolved,12,2024-08-24,2024-09-05
CMP00034,COL0460,Library,Low,Resolved,13,2025-11-15,2025-11-28
CMP00035,COL1907,Faculty,Medium,Resolved,24,2025-10-24,2025-11-17
CMP00036,COL1133,Internet,Low,Resolved,9,2022-05-06,2022-05-15
CMP00037,COL0524,Transport,Medium,Resolved,4,2021-06-22,2021-06-26
CMP00038,COL0692,Transport,Low,Resolved,2,2023-02-17,2023-02-19
CMP00039,COL0304,Library,Medium,Resolved,10,2023-04-21,2023-05-01
CMP00040,COL1311,Library,High,Resolved,5,2026-04-09,2026-04-14
CMP00041,COL1876,Exam,High,Resolved,8,2025-04-23,2025-05-01
CMP00042,COL0256,Scholarship,Low,Resolved,42,2024-01-26,2024-03-08
CMP00043,COL1162,Internet,Low,Resolved,8,2022-08-13,2022-08-21
CMP00044,COL1703,Library,Medium,Resolved,5,2022-06-19,2022-06-24
CMP00045,COL0336,Transport,Medium,Resolved,1,2025-02-04,2025-02-05
CMP00046,COL1321,Infrastructure,Low,Resolved,56,2023-08-05,2023-09-30
CMP00047,COL1975,Faculty,High,Resolved,11,2026-07-06,2026-07-17
CMP00048,COL1740,Infrastructure,Medium,Resolved,25,2025-10-11,2025-11-05
CMP00049,COL1110,Faculty,High,Resolved,18,2024-12-26,2025-01-13
CMP00050,COL1976,Exam,Medium,In Progress,,2026-06-06,
CMP00051,COL1168,Internet,Low,Resolved,3,2024-12-04,2024-12-07
CMP00052,COL1564,Scholarship,High,Resolved,36,2025-07-15,2025-08-20
CMP00053,COL1309,Transport,Low,Resolved,6,2022-11-28,2022-12-04
CMP00054,COL0198,Transport,High,Resolved,2,2024-07-06,2024-07-08
CMP00055,COL0826,Faculty,Medium,Resolved,25,2021-07-19,2021-08-13
CMP00056,COL1881,Hostel,Low,Resolved,15,2025-03-07,2025-03-22
CMP00057,COL1009,Internet,Medium,Resolved,3,2022-08-11,2022-08-14
CMP00058,COL1862,Library,High,Resolved,4,2024-12-01,2024-12-05
CMP00059,COL0701,Hostel,Low,Resolved,21,2024-07-07,2024-07-28
CMP00060,COL0307,Library,High,Resolved,4,2025-03-15,2025-03-19
CMP00061,COL0363,Transport,Low,Resolved,3,2026-04-24,2026-04-27
CMP00062,COL0015,Faculty,Low,Resolved,11,2024-10-31,2024-11-11
CMP00063,COL1680,Internet,Medium,Escalated,,2024-01-03,
CMP00064,COL0896,Exam,Medium,Resolved,5,2024-09-23,2024-09-28
CMP00065,COL0033,Library,High,Resolved,6,2021-05-08,2021-05-14
CMP00066,COL0465,Exam,Medium,Resolved,5,2021-02-23,2021-02-28
CMP00067,COL0765,Internet,Medium,Resolved,4,2025-05-22,2025-05-26
CMP00068,COL1812,Library,Medium,Resolved,2,2024-06-03,2024-06-05
CMP00069,COL0487,Exam,High,Resolved,2,2024-03-01,2024-03-03
CMP00070,COL0597,Library,Low,Resolved,4,2025-12-13,2025-12-17
CMP00071,COL1642,Exam,High,Resolved,9,2023-06-21,2023-06-30
CMP00072,COL1547,Faculty,High,Resolved,11,2024-01-09,2024-01-20
CMP00073,COL1692,Library,Medium,Resolved,2,2022-08-08,2022-08-10
CMP00074,COL1512,Exam,Medium,Resolved,3,2022-07-16,2022-07-19
CMP00075,COL0768,Hostel,Low,Resolved,10,2026-03-31,2026-04-10
CMP00076,COL0260,Hostel,Medium,Resolved,20,2025-03-20,2025-04-09
CMP00077,COL1384,Exam,High,Resolved,9,2024-03-01,2024-03-10
CMP00078,COL0430,Infrastructure,Medium,Resolved,6,2025-09-30,2025-10-06
CMP00079,COL1783,Library,High,Resolved,5,2024-11-06,2024-11-11
CMP00080,COL0611,Infrastructure,Medium,Resolved,19,2026-01-10,2026-01-29
CMP00081,COL1389,Faculty,High,Resolved,8,2023-05-31,2023-06-08
CMP00082,COL0125,Library,High,Resolved,1,2024-12-03,2024-12-04
CMP00083,COL1674,Exam,High,Resolved,9,2025-10-10,2025-10-19
CMP00084,COL0751,Library,Low,Escalated,,2023-10-08,
CMP00085,COL0245,Internet,Medium,Resolved,2,2024-06-06,2024-06-08
CMP00086,COL0300,Library,Low,In Progress,,2021-12-07,
CMP00087,COL1278,Faculty,Medium,In Progress,,2025-12-17,
CMP00088,COL0240,Faculty,Medium,Escalated,,2025-10-26,
CMP00089,COL0686,Faculty,Medium,Resolved,27,2026-01-24,2026-02-20
CMP00090,COL0263,Transport,High,Resolved,4,2022-05-02,2022-05-06
CMP00091,COL0386,Infrastructure,Low,In Progress,,2023-09-14,
CMP00092,COL0864,Library,Low,Resolved,9,2025-07-01,2025-07-10
CMP00093,COL0201,Library,High,Resolved,1,2021-04-21,2021-04-22
CMP00094,COL0951,Exam,Medium,Pending,,2023-11-04,
CMP00095,COL1046,Internet,Medium,Resolved,1,2023-06-19,2023-06-20
CMP00096,COL0349,Scholarship,High,Resolved,31,2024-11-02,2024-12-03
CMP00097,COL0342,Scholarship,Low,Pending,,2026-07-03,
CMP00098,COL0779,Exam,High,Resolved,8,2023-02-12,2023-02-20
CMP00099,COL1372,Exam,Medium,Resolved,11,2023-07-22,2023-08-02
CMP00100,COL1490,Faculty,Medium,Pending,,2022-08-07,
CMP00101,COL1658,Library,Low,Resolved,10,2025-06-15,2025-06-25
CMP00102,COL0751,Exam,High,Resolved,4,2022-05-12,2022-05-16
CMP00103,COL1940,Scholarship,High,Resolved,21,2026-02-06,2026-02-27
CMP00104,COL0379,Transport,High,Pending,,2026-02-06,
CMP00105,COL1676,Scholarship,High,Resolved,9,2021-10-02,2021-10-11
CMP00106,COL0766,Scholarship,Medium,Resolved,16,2024-02-27,2024-03-14
CMP00107,COL0330,Library,Low,Resolved,11,2023-02-20,2023-03-03
CMP00108,COL1100,Faculty,High,Resolved,12,2025-06-05,2025-06-17
CMP00109,COL0764,Transport,High,Resolved,3,2024-03-09,2024-03-12
CMP00110,COL1764,Infrastructure,High,Resolved,24,2024-01-30,2024-02-23
CMP00111,COL0948,Hostel,Low,Resolved,26,2022-02-21,2022-03-19
CMP00112,COL0851,Infrastructure,Medium,Resolved,42,2021-03-10,2021-04-21
CMP00113,COL0706,Internet,Medium,Resolved,5,2026-07-20,2026-07-25
CMP00114,COL0865,Infrastructure,Medium,Resolved,13,2022-01-04,2022-01-17
CMP00115,COL0940,Library,High,In Progress,,2024-01-31,
CMP00116,COL0863,Infrastructure,Medium,Pending,,2023-11-25,
CMP00117,COL1465,Internet,Low,In Progress,,2024-06-18,
CMP00118,COL0492,Scholarship,Medium,Resolved,57,2026-03-01,2026-04-27
CMP00119,COL1891,Internet,Low,Resolved,3,2025-12-12,2025-12-15
CMP00120,COL0214,Faculty,Medium,Resolved,15,2022-08-27,2022-09-11
CMP00121,COL1578,Hostel,Medium,Resolved,15,2025-03-06,2025-03-21
CMP00122,COL1220,Internet,Medium,Resolved,2,2023-01-14,2023-01-16
CMP00123,COL1754,Exam,High,Pending,,2024-07-24,
CMP00124,COL1254,Library,Medium,Resolved,10,2025-05-12,2025-05-22
CMP00125,COL0894,Infrastructure,Medium,Resolved,43,2023-11-23,2024-01-05
CMP00126,COL1037,Internet,Medium,Resolved,3,2025-06-01,2025-06-04
CMP00127,COL1614,Library,Low,Resolved,2,2025-09-19,2025-09-21
CMP00128,COL1897,Faculty,Medium,Pending,,2023-02-10,
CMP00129,COL0895,Infrastructure,Low,Escalated,,2026-02-06,
CMP00130,COL1286,Infrastructure,Medium,Resolved,41,2023-11-21,2024-01-01
CMP00131,COL1689,Library,Low,Resolved,13,2024-11-25,2024-12-08
CMP00132,COL1356,Exam,High,In Progress,,2023-12-15,
CMP00133,COL1759,Library,Medium,In Progress,,2025-03-28,
CMP00134,COL0161,Exam,High,Resolved,6,2026-05-30,2026-06-05
CMP00135,COL0483,Library,Medium,Resolved,6,2025-10-11,2025-10-17
CMP00136,COL1407,Hostel,High,Resolved,10,2022-11-01,2022-11-11
CMP00137,COL0076,Internet,Medium,Resolved,4,2024-09-21,2024-09-25
CMP00138,COL1574,Internet,Medium,Resolved,4,2024-09-18,2024-09-22
CMP00139,COL1381,Scholarship,High,Resolved,7,2024-11-05,2024-11-12
CMP00140,COL0281,Exam,Medium,Resolved,2,2026-04-25,2026-04-27
CMP00141,COL0020,Internet,High,Resolved,2,2024-01-22,2024-01-24
CMP00142,COL0452,Faculty,Low,Resolved,39,2022-10-08,2022-11-16
CMP00143,COL0092,Library,High,Resolved,5,2022-10-26,2022-10-31
CMP00144,COL0468,Infrastructure,Medium,Resolved,39,2024-10-13,2024-11-21
CMP00145,COL1526,Exam,Medium,Resolved,8,2025-02-02,2025-02-10
CMP00146,COL1271,Faculty,Low,Resolved,19,2023-07-07,2023-07-26
CMP00147,COL1576,Exam,Medium,Pending,,2024-06-29,
CMP00148,COL0199,Scholarship,Low,Resolved,73,2022-09-16,2022-11-28
CMP00149,COL0424,Scholarship,High,Resolved,12,2021-10-12,2021-10-24
CMP00150,COL0745,Scholarship,Medium,Resolved,9,2023-04-07,2023-04-16
CMP00151,COL0451,Library,Medium,Resolved,6,2023-10-29,2023-11-04
CMP00152,COL1996,Exam,Low,Resolved,15,2021-09-04,2021-09-19
CMP00153,COL0621,Transport,Medium,Resolved,8,2025-06-25,2025-07-03
CMP00154,COL0235,Faculty,Medium,Resolved,11,2022-11-29,2022-12-10
CMP00155,COL1347,Library,Low,Resolved,8,2021-05-10,2021-05-18
CMP00156,COL1616,Exam,Low,Resolved,2,2023-03-04,2023-03-06
CMP00157,COL1863,Faculty,Medium,Resolved,18,2022-05-19,2022-06-06
CMP00158,COL1405,Infrastructure,Medium,Resolved,45,2022-11-15,2022-12-30
CMP00159,COL1762,Infrastructure,High,Resolved,26,2023-11-06,2023-12-02
CMP00160,COL1356,Faculty,Low,Resolved,25,2024-09-17,2024-10-12
CMP00161,COL1662,Internet,Medium,Resolved,3,2025-05-16,2025-05-19
CMP00162,COL0343,Library,Medium,Resolved,5,2025-12-13,2025-12-18
CMP00163,COL0887,Infrastructure,Low,Resolved,47,2021-03-20,2021-05-06
CMP00164,COL1697,Library,Low,Resolved,10,2021-07-13,2021-07-23
CMP00165,COL0642,Infrastructure,Medium,Resolved,41,2024-01-19,2024-02-29
CMP00166,COL1082,Infrastructure,Low,Resolved,14,2025-02-26,2025-03-12
CMP00167,COL0505,Exam,High,Resolved,6,2023-01-06,2023-01-12
CMP00168,COL1218,Faculty,High,Escalated,,2021-03-12,
CMP00169,COL0856,Library,Low,Resolved,11,2025-07-15,2025-07-26
CMP00170,COL1230,Exam,Medium,Resolved,15,2021-04-09,2021-04-24
CMP00171,COL1267,Faculty,Medium,Resolved,10,2023-06-09,2023-06-19
CMP00172,COL0757,Scholarship,High,Resolved,14,2026-06-21,2026-07-05
CMP00173,COL1288,Faculty,High,Resolved,8,2021-04-03,2021-04-11
CMP00174,COL0975,Internet,Medium,Resolved,3,2025-11-03,2025-11-06
CMP00175,COL1819,Hostel,High,Resolved,10,2025-06-05,2025-06-15
CMP00176,COL1168,Exam,Medium,Resolved,11,2022-07-08,2022-07-19
CMP00177,COL0293,Exam,Medium,Resolved,13,2022-11-25,2022-12-08
CMP00178,COL1777,Faculty,Low,Resolved,17,2024-10-21,2024-11-07
CMP00179,COL1433,Faculty,High,Resolved,16,2024-11-30,2024-12-16
CMP00180,COL0561,Infrastructure,Low,Resolved,27,2021-05-17,2021-06-13
CMP00181,COL1491,Scholarship,High,Resolved,14,2024-07-01,2024-07-15
CMP00182,COL0373,Hostel,Low,Pending,,2024-01-27,
CMP00183,COL1643,Library,Medium,Resolved,10,2026-02-03,2026-02-13
CMP00184,COL0914,Faculty,Low,Resolved,39,2025-07-05,2025-08-13
CMP00185,COL1699,Exam,High,Resolved,4,2025-11-02,2025-11-06
CMP00186,COL1460,Transport,Medium,Resolved,5,2021-03-06,2021-03-11
CMP00187,COL1851,Transport,Low,Resolved,13,2021-08-27,2021-09-09
CMP00188,COL0425,Library,Low,Resolved,7,2021-04-06,2021-04-13
CMP00189,COL1337,Exam,Medium,Resolved,1,2025-09-30,2025-10-01
CMP00190,COL0846,Hostel,Low,Resolved,18,2023-10-13,2023-10-31
CMP00191,COL0279,Hostel,Medium,Resolved,6,2026-05-07,2026-05-13
CMP00192,COL1006,Transport,High,Resolved,2,2024-01-29,2024-01-31
CMP00193,COL1892,Infrastructure,Low,Resolved,38,2021-07-06,2021-08-13
CMP00194,COL1712,Scholarship,Medium,Resolved,60,2026-04-29,2026-06-28
CMP00195,COL0979,Infrastructure,High,Resolved,21,2022-02-25,2022-03-18
CMP00196,COL0751,Exam,High,Resolved,1,2026-06-05,2026-06-06
CMP00197,COL0954,Infrastructure,Medium,Resolved,40,2023-08-26,2023-10-05
CMP00198,COL1147,Internet,Low,Resolved,7,2022-07-01,2022-07-08
CMP00199,COL1717,Infrastructure,Low,Resolved,20,2023-02-19,2023-03-11
CMP00200,COL0551,Faculty,High,Resolved,7,2023-09-25,2023-10-02
CMP00201,COL0696,Faculty,High,Resolved,11,2024-02-03,2024-02-14
CMP00202,COL1974,Infrastructure,High,Resolved,25,2021-07-06,2021-07-31
CMP00203,COL1063,Faculty,Medium,In Progress,,2023-01-28,
CMP00204,COL1867,Scholarship,High,Resolved,12,2023-03-31,2023-04-12
CMP00205,COL1281,Infrastructure,Low,Resolved,33,2024-03-16,2024-04-18
CMP00206,COL0817,Library,Low,Resolved,8,2022-11-02,2022-11-10
CMP00207,COL0962,Transport,Low,Resolved,13,2022-03-30,2022-04-12
CMP00208,COL0458,Faculty,Medium,Resolved,15,2024-07-24,2024-08-08
CMP00209,COL1887,Transport,Medium,Escalated,,2022-02-04,
CMP00210,COL1477,Exam,High,Escalated,,2024-12-03,
CMP00211,COL0325,Library,Medium,Resolved,1,2025-08-01,2025-08-02
CMP00212,COL1887,Internet,High,Resolved,4,2021-10-07,2021-10-11
CMP00213,COL0619,Infrastructure,High,Resolved,12,2023-08-01,2023-08-13
CMP00214,COL0064,Transport,Medium,Resolved,3,2023-12-03,2023-12-06
CMP00215,COL0340,Library,Medium,Resolved,7,2025-10-27,2025-11-03
CMP00216,COL0846,Faculty,Medium,Resolved,14,2023-11-30,2023-12-14
CMP00217,COL1484,Exam,Medium,Resolved,6,2024-08-10,2024-08-16
CMP00218,COL1286,Library,Low,Resolved,9,2021-11-12,2021-11-21
CMP00219,COL0497,Exam,High,Resolved,8,2023-01-25,2023-02-02
CMP00220,COL1862,Scholarship,High,Resolved,31,2026-06-16,2026-07-17
CMP00221,COL1669,Exam,High,Resolved,4,2023-09-15,2023-09-19
CMP00222,COL1027,Faculty,Medium,Resolved,18,2022-01-15,2022-02-02
CMP00223,COL0352,Scholarship,Medium,Resolved,7,2024-10-10,2024-10-17
CMP00224,COL0122,Exam,Medium,Resolved,14,2023-11-21,2023-12-05
CMP00225,COL1366,Internet,Low,Pending,,2021-07-11,
CMP00226,COL0796,Scholarship,Low,Resolved,32,2025-09-22,2025-10-24
CMP00227,COL0500,Infrastructure,Medium,Resolved,7,2022-06-04,2022-06-11
CMP00228,COL0371,Scholarship,High,Resolved,23,2023-09-04,2023-09-27
CMP00229,COL1083,Faculty,Low,Resolved,11,2024-10-26,2024-11-06
CMP00230,COL1851,Transport,High,Resolved,5,2023-09-11,2023-09-16
CMP00231,COL1625,Transport,Low,Escalated,,2025-11-09,
CMP00232,COL1322,Faculty,Medium,Resolved,4,2025-09-12,2025-09-16
CMP00233,COL0686,Hostel,Medium,Resolved,6,2026-03-01,2026-03-07
CMP00234,COL1754,Transport,Low,Resolved,8,2021-03-05,2021-03-13
CMP00235,COL0540,Library,High,Resolved,6,2021-10-25,2021-10-31
CMP00236,COL1425,Library,Low,Resolved,5,2025-01-11,2025-01-16
CMP00237,COL1221,Transport,Low,Resolved,16,2025-08-02,2025-08-18
CMP00238,COL0894,Transport,High,Resolved,5,2021-03-10,2021-03-15
CMP00239,COL1305,Exam,High,Resolved,9,2025-01-13,2025-01-22
CMP00240,COL0720,Hostel,Medium,Resolved,5,2026-06-18,2026-06-23
CMP00241,COL1856,Exam,Medium,Pending,,2025-08-28,
CMP00242,COL0805,Library,Medium,Escalated,,2022-09-11,
CMP00243,COL1564,Infrastructure,Medium,Pending,,2026-07-08,
CMP00244,COL0105,Exam,High,Resolved,2,2022-04-25,2022-04-27
CMP00245,COL1587,Infrastructure,Medium,Resolved,10,2021-12-09,2021-12-19
CMP00246,COL0324,Scholarship,High,Resolved,33,2021-07-27,2021-08-29
CMP00247,COL1439,Library,High,Resolved,5,2021-04-01,2021-04-06
CMP00248,COL1880,Internet,Medium,In Progress,,2026-02-09,
CMP00249,COL1680,Faculty,Medium,Resolved,16,2022-03-26,2022-04-11
CMP00250,COL0895,Transport,High,Resolved,1,2024-05-11,2024-05-12
CMP00251,COL1669,Transport,Medium,Resolved,7,2024-01-11,2024-01-18
CMP00252,COL0260,Hostel,Low,Resolved,8,2022-09-11,2022-09-19
CMP00253,COL0499,Library,High,Resolved,5,2023-12-17,2023-12-22
CMP00254,COL0181,Transport,Low,Resolved,18,2023-07-26,2023-08-13
CMP00255,COL0418,Exam,Low,Resolved,16,2023-11-06,2023-11-22
CMP00256,COL1842,Internet,Medium,Resolved,5,2025-10-01,2025-10-06
CMP00257,COL1366,Infrastructure,Low,Resolved,41,2025-10-02,2025-11-12
CMP00258,COL0355,Internet,High,Resolved,1,2023-11-01,2023-11-02
CMP00259,COL0592,Library,Low,In Progress,,2022-08-10,
CMP00260,COL1927,Hostel,Medium,In Progress,,2026-03-02,
CMP00261,COL0831,Faculty,Low,Resolved,8,2021-10-30,2021-11-07
CMP00262,COL1933,Transport,High,Resolved,5,2023-09-01,2023-09-06
CMP00263,COL0660,Faculty,Medium,Resolved,3,2024-07-29,2024-08-01
CMP00264,COL1293,Exam,Medium,Resolved,7,2021-02-19,2021-02-26
CMP00265,COL1158,Faculty,Medium,Escalated,,2023-12-09,
CMP00266,COL0239,Faculty,Medium,Resolved,16,2023-08-27,2023-09-12
CMP00267,COL0203,Internet,High,Resolved,2,2022-03-04,2022-03-06
CMP00268,COL1364,Library,Low,Resolved,7,2025-09-27,2025-10-04
CMP00269,COL1175,Faculty,Medium,Resolved,11,2021-09-08,2021-09-19
CMP00270,COL1668,Faculty,Medium,Resolved,21,2023-08-12,2023-09-02
CMP00271,COL0633,Transport,Medium,Resolved,7,2025-04-03,2025-04-10
CMP00272,COL1005,Faculty,Medium,Resolved,13,2021-11-24,2021-12-07
CMP00273,COL1806,Infrastructure,Medium,Escalated,,2026-06-24,
CMP00274,COL1306,Transport,Medium,Resolved,9,2021-11-18,2021-11-27
CMP00275,COL0525,Scholarship,Medium,Resolved,9,2024-01-20,2024-01-29
CMP00276,COL1954,Hostel,Low,Resolved,24,2021-08-07,2021-08-31
CMP00277,COL0808,Exam,Low,Resolved,10,2026-05-31,2026-06-10
CMP00278,COL0028,Internet,High,Resolved,2,2022-09-28,2022-09-30
CMP00279,COL1267,Transport,Medium,Resolved,9,2021-10-08,2021-10-17
CMP00280,COL0651,Scholarship,Medium,Resolved,52,2022-03-05,2022-04-26
CMP00281,COL0077,Scholarship,High,Resolved,27,2025-09-01,2025-09-28
CMP00282,COL0331,Transport,High,Resolved,2,2022-08-06,2022-08-08
CMP00283,COL0445,Infrastructure,Medium,Resolved,39,2023-07-10,2023-08-18
CMP00284,COL1727,Faculty,High,Resolved,18,2023-06-06,2023-06-24
CMP00285,COL1952,Hostel,Medium,Resolved,19,2025-08-27,2025-09-15
CMP00286,COL0157,Faculty,High,Pending,,2021-11-26,
CMP00287,COL1287,Exam,Medium,Resolved,6,2025-06-15,2025-06-21
CMP00288,COL0489,Faculty,Low,Resolved,10,2023-12-30,2024-01-09
CMP00289,COL0001,Library,High,Resolved,5,2023-01-23,2023-01-28
CMP00290,COL0498,Scholarship,Medium,Resolved,8,2023-03-06,2023-03-14
CMP00291,COL0633,Infrastructure,Low,Resolved,48,2021-03-31,2021-05-18
CMP00292,COL1431,Hostel,Medium,Resolved,13,2024-07-18,2024-07-31
CMP00293,COL0168,Scholarship,Medium,Resolved,26,2021-02-04,2021-03-02
CMP00294,COL0756,Transport,Low,Resolved,10,2025-12-29,2026-01-08
CMP00295,COL1199,Faculty,Medium,Resolved,18,2023-06-26,2023-07-14
CMP00296,COL0468,Library,Low,Resolved,2,2022-04-06,2022-04-08
CMP00297,COL1301,Library,High,Resolved,5,2022-09-06,2022-09-11
CMP00298,COL0097,Library,Low,Resolved,4,2021-02-27,2021-03-03
CMP00299,COL0455,Exam,Medium,Resolved,8,2025-01-13,2025-01-21
CMP00300,COL0423,Library,Low,Resolved,12,2022-08-06,2022-08-18
CMP00301,COL0600,Exam,High,Resolved,4,2024-01-17,2024-01-21
CMP00302,COL1481,Library,Low,Resolved,10,2021-06-14,2021-06-24
CMP00303,COL0081,Scholarship,High,Resolved,33,2025-05-03,2025-06-05
CMP00304,COL1783,Exam,High,In Progress,,2026-07-25,
CMP00305,COL0005,Exam,Low,Resolved,6,2026-02-01,2026-02-07
CMP00306,COL1337,Scholarship,Medium,Resolved,50,2025-03-27,2025-05-16
CMP00307,COL0464,Exam,High,Resolved,8,2024-01-23,2024-01-31
CMP00308,COL0176,Infrastructure,Medium,Pending,,2026-06-24,
CMP00309,COL1221,Infrastructure,Medium,Resolved,37,2025-04-25,2025-06-01
CMP00310,COL1559,Faculty,High,Resolved,10,2022-01-01,2022-01-11
CMP00311,COL1496,Exam,Low,Resolved,14,2025-09-19,2025-10-03
CMP00312,COL0508,Transport,Medium,Resolved,8,2024-09-02,2024-09-10
CMP00313,COL0172,Internet,Medium,Resolved,4,2021-06-03,2021-06-07
CMP00314,COL1775,Transport,High,Resolved,8,2024-04-19,2024-04-27
CMP00315,COL0837,Scholarship,High,Escalated,,2022-01-12,
CMP00316,COL0588,Internet,Medium,In Progress,,2022-07-04,
CMP00317,COL0039,Library,Low,Resolved,7,2024-08-13,2024-08-20
CMP00318,COL0605,Scholarship,Medium,Resolved,57,2024-01-25,2024-03-22
CMP00319,COL1199,Exam,High,Resolved,6,2022-10-10,2022-10-16
CMP00320,COL0581,Exam,Medium,Resolved,15,2022-08-11,2022-08-26
CMP00321,COL1884,Transport,Medium,Resolved,8,2021-09-26,2021-10-04
CMP00322,COL0739,Faculty,Medium,Resolved,11,2026-06-01,2026-06-12
CMP00323,COL1653,Library,Low,Resolved,9,2021-11-07,2021-11-16
CMP00324,COL1676,Faculty,High,Resolved,15,2023-01-06,2023-01-21
CMP00325,COL1141,Faculty,Medium,Resolved,16,2025-07-01,2025-07-17
CMP00326,COL1906,Internet,Medium,Resolved,6,2022-03-19,2022-03-25
CMP00327,COL0959,Transport,High,Resolved,8,2024-01-07,2024-01-15
CMP00328,COL1539,Scholarship,Low,Resolved,40,2024-01-06,2024-02-15
CMP00329,COL0441,Infrastructure,Medium,Resolved,25,2021-10-01,2021-10-26
CMP00330,COL1842,Library,High,Resolved,4,2024-06-21,2024-06-25
CMP00331,COL1404,Internet,Medium,Resolved,6,2026-01-12,2026-01-18
CMP00332,COL0932,Library,Low,Resolved,9,2022-12-21,2022-12-30
CMP00333,COL1723,Transport,Medium,Resolved,3,2021-07-30,2021-08-02
CMP00334,COL0408,Faculty,Medium,Escalated,,2021-10-24,
CMP00335,COL1816,Library,Medium,In Progress,,2024-08-03,
CMP00336,COL1345,Library,Medium,In Progress,,2024-11-02,
CMP00337,COL0373,Scholarship,Medium,In Progress,,2025-03-24,
CMP00338,COL1798,Hostel,Medium,Resolved,4,2021-12-21,2021-12-25
CMP00339,COL1805,Library,Medium,Resolved,5,2021-07-22,2021-07-27
CMP00340,COL1997,Infrastructure,High,Resolved,11,2024-04-16,2024-04-27
CMP00341,COL0400,Exam,Medium,Resolved,5,2026-02-09,2026-02-14
CMP00342,COL1226,Transport,Medium,Resolved,7,2026-04-06,2026-04-13
CMP00343,COL1576,Transport,Medium,Resolved,13,2024-06-15,2024-06-28
CMP00344,COL1180,Infrastructure,Medium,Resolved,25,2022-04-02,2022-04-27
CMP00345,COL0414,Internet,Medium,Resolved,2,2024-12-19,2024-12-21
CMP00346,COL1716,Internet,Low,Resolved,2,2023-10-25,2023-10-27
CMP00347,COL1075,Internet,High,Resolved,3,2023-01-26,2023-01-29
CMP00348,COL0351,Transport,Low,Resolved,8,2022-10-21,2022-10-29
CMP00349,COL1807,Transport,Medium,Resolved,8,2025-12-08,2025-12-16
CMP00350,COL0556,Transport,Low,Resolved,9,2024-06-30,2024-07-09
CMP00351,COL0945,Library,Low,In Progress,,2022-03-19,
CMP00352,COL1513,Infrastructure,Low,Resolved,15,2023-02-14,2023-03-01
CMP00353,COL1581,Hostel,Medium,In Progress,,2021-10-20,
CMP00354,COL1550,Internet,Low,Resolved,3,2024-04-03,2024-04-06
CMP00355,COL0463,Faculty,High,Resolved,9,2022-08-30,2022-09-08
CMP00356,COL1174,Transport,High,Resolved,1,2025-08-27,2025-08-28
CMP00357,COL0847,Scholarship,Low,In Progress,,2024-03-05,
CMP00358,COL1321,Scholarship,Low,Resolved,59,2025-03-23,2025-05-21
CMP00359,COL0963,Faculty,Medium,Resolved,6,2023-05-10,2023-05-16
