exam_id,student_id,semester,subject,marks,grade,result,exam_year,attempt
EXM000137,STU055050,2,Fluid Mechanics,69,B+,Pass,2025,1
EXM000138,STU059545,2,Business Economics,61,B+,Pass,2026,1
EXM000139,STU005885,2,Data Structures,78,A,Pass,2025,1
EXM000140,STU071217,1,History,61,B+,Pass,2026,1
EXM000141,STU031505,3,Control Systems,59,B,Pass,2026,1
EXM000142,STU004393,6,Design of Machine Elements,73,A,Pass,2025,1
EXM000143,STU024191,2,Economics,65,B+,Pass,2025,1
EXM000144,STU020690,3,Operating Systems,50,B,Pass,2026,1
EXM000145,STU079004,2,English Literature,57,B,Pass,2025,1
EXM000146,STU023395,2,Surveying,82,A+,Pass,2023,1
EXM000147,STU030398,3,Applied Mathematics,69,B+,Pass,2026,1
EXM000148,STU043247,1,Political Science,58,B,Pass,2026,1
EXM000149,STU086524,1,Physics,41,D,Pass,2025,1
EXM000150,STU071870,1,Engineering Physics,68,B+,Pass,2026,1
EXM000151,STU063931,1,Banking & Insurance,51,B,Pass,2025,3
EXM000152,STU022296,1,Zoology,57,B,Pass,2025,1
EXM000153,STU008734,2,Pharmacognosy,75,A,Pass,2026,1
EXM000154,STU004981,2,Banking & Insurance,58,B,Pass,2025,1
EXM000155,STU086666,1,Cost Accounting,43,D,Pass,2024,1
EXM000156,STU061799,2,Design of Machine Elements,74,A,Pass,2025,1
EXM000157,STU017411,3,Strength of Materials,41,D,Pass,2026,1
EXM000158,STU087787,3,Microprocessors,69,B+,Pass,2026,1
EXM000159,STU023264,2,Structural Analysis,44,D,Pass,2025,1
EXM000160,STU075352,2,Medicine,50,B,Pass,2025,1
EXM000161,STU059035,1,Biotechnology,40,D,Pass,2026,1
EXM000162,STU003016,1,Thermodynamics,61,B+,Pass,2025,1
EXM000163,STU030506,3,Software Engineering,40,D,Pass,2026,1
EXM000164,STU011486,2,History,63,B+,Pass,2026,1
EXM000165,STU093784,2,Physics,63,B+,Pass,2025,1
EXM000166,STU061187,2,Sociology,45,C,Pass,2025,1
EXM000167,STU081235,1,Mathematics,62,B+,Pass,2026,1
EXM000168,STU085063,3,Auditing,77,A,Pass,2026,1
EXM000169,STU082206,1,Pharmaceutical Analysis,73,A,Pass,2026,1
EXM000170,STU066736,1,Cost Accounting,31,F,Fail,2026,1
EXM000171,STU056029,1,Principles of Management,58,B,Pass,2026,1
EXM000172,STU090495,1,Microprocessors,49,C,Pass,2024,1
EXM000173,STU004954,2,Business Law,63,B+,Pass,2025,1
EXM000174,STU054657,1,Banking & Insurance,75,A,Pass,2026,1
EXM000175,STU088201,3,Auditing,76,A,Pass,2026,1
EXM000176,STU050486,1,Computer Science,61,B+,Pass,2026,2
EXM000177,STU042545,1,Banking & Insurance,61,B+,Pass,2025,1
EXM000178,STU054896,1,Income Tax Law,44,D,Pass,2026,2
EXM000179,STU036871,2,Fluid Mechanics,82,A+,Pass,2023,1
EXM000180,STU016251,1,Engineering Physics,79,A,Pass,2026,2
EXM000181,STU096950,1,Sociology,43,D,Pass,2026,1
EXM000182,STU060186,1,Data Structures,69,B+,Pass,2026,1
EXM000183,STU059479,3,Obstetric Nursing,71,A,Pass,2026,1
EXM000184,STU085299,1,Biochemistry,36,F,Fail,2024,1
EXM000185,STU055652,1,Auditing,47,C,Pass,2024,1
EXM000186,STU070382,4,Business Law,78,A,Pass,2026,1
EXM000187,STU038799,5,Computer Programming,63,B+,Pass,2026,1
EXM000188,STU086228,3,Engineering Physics,65,B+,Pass,2026,2
EXM000189,STU024205,4,Cost Accounting,62,B+,Pass,2026,1
EXM000190,STU011726,1,Psychology,67,B+,Pass,2025,1
EXM000191,STU041910,4,Auditing,78,A,Pass,2025,1
EXM000192,STU032031,1,Corporate Law,76,A,Pass,2026,1
EXM000193,STU029416,1,Botany,75,A,Pass,2026,1
EXM000194,STU007375,3,Mathematics,62,B+,Pass,2025,1
EXM000195,STU085940,1,Economics,64,B+,Pass,2026,1
EXM000196,STU014857,6,Control Systems,73,A,Pass,2026,1
EXM000197,STU098912,1,Data Structures,43,D,Pass,2026,2
EXM000198,STU034074,1,Marathi Literature,68,B+,Pass,2026,1
EXM000199,STU036379,2,Banking & Insurance,72,A,Pass,2025,2
EXM000200,STU092267,1,Biotechnology,81,A+,Pass,2025,1
EXM000201,STU061072,1,Financial Accounting,45,C,Pass,2026,1
EXM000202,STU083036,1,Marketing Management,36,F,Fail,2026,3
EXM000203,STU062710,1,History,62,B+,Pass,2026,2
EXM000204,STU059394,2,Financial Accounting,82,A+,Pass,2025,1
EXM000205,STU012200,3,Business Law,65,B+,Pass,2026,1
EXM000206,STU010432,3,Theory of Computation,42,D,Pass,2026,1
EXM000207,STU085213,1,Business Economics,87,A+,Pass,2026,1
EXM000208,STU069329,1,Income Tax Law,37,F,Fail,2026,1
EXM000209,STU006664,3,Surveying,56,B,Pass,2026,1
EXM000210,STU008750,1,Structural Analysis,100,O,Pass,2026,1
EXM000211,STU092285,2,Income Tax Law,44,D,Pass,2026,1
EXM000212,STU032978,5,Building Construction,73,A,Pass,2026,1
EXM000213,STU001206,2,Business Statistics,62,B+,Pass,2026,1
EXM000214,STU034770,2,Chemistry,50,B,Pass,2025,1
EXM000215,STU041713,3,Auditing,46,C,Pass,2026,1
EXM000216,STU013880,6,Theory of Computation,52,B,Pass,2025,1
EXM000217,STU078064,3,Environmental Science,60,B+,Pass,2026,1
EXM000218,STU033128,1,English Literature,92,O,Pass,2024,1
EXM000219,STU052503,2,Architectural Design,77,A,Pass,2025,1
EXM000220,STU048816,1,Zoology,65,B+,Pass,2026,1
EXM000221,STU000351,1,Design of Machine Elements,65,B+,Pass,2026,1
EXM000222,STU021475,1,Computer Science,67,B+,Pass,2025,2
EXM000223,STU048535,3,Computer Networks,44,D,Pass,2026,1
EXM000224,STU071479,1,Strength of Materials,65,B+,Pass,2026,1
EXM000225,STU078835,1,Design of Machine Elements,34,F,Fail,2026,1
EXM000226,STU019552,1,Income Tax Law,35,F,Fail,2026,1
EXM000227,STU036097,3,Zoology,100,O,Pass,2026,1
EXM000228,STU022142,1,Theory of Computation,60,B+,Pass,2024,1
EXM000229,STU091332,1,Biotechnology,70,A,Pass,2026,1
EXM000230,STU042393,1,Workshop Technology,59,B,Pass,2026,1
EXM000231,STU095541,1,Financial Accounting,45,C,Pass,2026,1
EXM000232,STU079821,3,Family Law,58,B,Pass,2025,1
EXM000233,STU040809,2,Sociology,81,A+,Pass,2026,1
EXM000234,STU017409,1,Building Construction,59,B,Pass,2025,1
EXM000235,STU095579,1,History,54,B,Pass,2026,1
EXM000236,STU014300,1,Structural Analysis,69,B+,Pass,2026,1
EXM000237,STU043743,6,Genetics & Plant Breeding,57,B,Pass,2026,1
EXM000238,STU065733,4,Horticulture,80,A+,Pass,2026,1
EXM000239,STU077671,1,Cost Accounting,21,F,Fail,2026,1
EXM000240,STU068701,1,Auditing,37,F,Fail,2026,1
EXM000241,STU034179,5,Digital Electronics,59,B,Pass,2026,2
EXM000242,STU041987,2,Zoology,86,A+,Pass,2026,1
EXM000243,STU003690,1,Business Statistics,69,B+,Pass,2025,1
EXM000244,STU034357,1,English Literature,89,A+,Pass,2026,1
EXM000245,STU057389,1,Business Law,66,B+,Pass,2026,1
EXM000246,STU088420,3,Business Economics,74,A,Pass,2026,1
EXM000247,STU077186,1,Economics,76,A,Pass,2025,1
EXM000248,STU074105,1,Business Law,55,B,Pass,2026,1
EXM000249,STU015812,1,Banking & Insurance,85,A+,Pass,2026,1
EXM000250,STU085410,1,Income Tax Law,57,B,Pass,2025,1
EXM000251,STU088625,1,Auditing,73,A,Pass,2025,3
EXM000252,STU094170,2,Business Statistics,64,B+,Pass,2025,1
EXM000253,STU043813,1,Financial Accounting,81,A+,Pass,2026,1
EXM000254,STU038079,2,Engineering Physics,53,B,Pass,2026,2
EXM000255,STU089258,2,Microprocessors,68,B+,Pass,2025,1
EXM000256,STU098695,3,Thermodynamics,83,A+,Pass,2024,1
EXM000257,STU021521,1,Cost Accounting,50,B,Pass,2026,1
EXM000258,STU015817,1,Cost Accounting,98,O,Pass,2026,1
EXM000259,STU026467,1,Pharmaceutical Analysis,71,A,Pass,2026,2
EXM000260,STU044212,5,Business Economics,70,A,Pass,2026,2
EXM000261,STU098487,2,Surveying,59,B,Pass,2026,1
EXM000262,STU008109,2,Educational Psychology,67,B+,Pass,2026,1
EXM000263,STU004192,1,Psychology,69,B+,Pass,2026,1
EXM000264,STU034372,1,Economics,20,F,Fail,2026,1
EXM000265,STU097975,1,Income Tax Law,45,C,Pass,2026,1
EXM000266,STU096222,3,Income Tax Law,76,A,Pass,2026,1
EXM000267,STU073735,2,English Literature,64,B+,Pass,2026,1
EXM000268,STU032751,1,Strength of Materials,50,B,Pass,2025,2
EXM000269,STU087745,3,Data Structures,70,A,Pass,2024,1
EXM000270,STU067418,1,Banking & Insurance,45,C,Pass,2026,1
EXM000271,STU038627,1,Control Systems,63,B+,Pass,2026,1
EXM000272,STU064316,3,Financial Accounting,66,B+,Pass,2026,1
EXM000273,STU051393,3,Political Science,54,B,Pass,2026,1
EXM000274,STU021307,1,Physics,76,A,Pass,2026,1
EXM000275,STU050868,1,Electrical Circuits,73,A,Pass,2026,1
EXM000276,STU094465,3,Organizational Behaviour,37,F,Fail,2026,3
EXM000277,STU021104,3,Engineering Mathematics,54,B,Pass,2024,1
EXM000278,STU092265,1,Computer Science,35,F,Fail,2026,1
EXM000279,STU038760,2,Sociology,50,B,Pass,2026,1
EXM000280,STU024755,1,Design of Machine Elements,45,C,Pass,2026,2
EXM000281,STU008575,2,Zoology,57,B,Pass,2026,1
EXM000282,STU006884,3,Pharmaceutics,71,A,Pass,2026,1
EXM000283,STU077004,1,Political Science,62,B+,Pass,2026,1
EXM000284,STU052860,1,English Literature,72,A,Pass,2026,1
EXM000285,STU084659,3,Marathi Literature,61,B+,Pass,2026,1
EXM000286,STU076327,1,Marathi Literature,62,B+,Pass,2026,1
EXM000287,STU051375,2,English Literature,59,B,Pass,2026,1
EXM000288,STU077948,2,Environmental Science,64,B+,Pass,2025,1
EXM000289,STU088214,1,Business Statistics,31,F,Fail,2026,1
EXM000290,STU046276,2,Psychology,51,B,Pass,2025,2
EXM000291,STU005292,4,Marathi Literature,68,B+,Pass,2026,1
EXM000292,STU077726,2,Pathology,87,A+,Pass,2024,1
EXM000293,STU055576,2,Physics,57,B,Pass,2025,1
EXM000294,STU028303,3,Mathematics,53,B,Pass,2026,1
EXM000295,STU047763,2,Engineering Mathematics,44,D,Pass,2025,1
EXM000296,STU043406,1,Psychology,95,O,Pass,2026,1
EXM000297,STU094746,2,Botany,67,B+,Pass,2026,1
EXM000298,STU096792,2,Mathematics,66,B+,Pass,2026,1
EXM000299,STU035530,1,Biotechnology,60,B+,Pass,2026,1
EXM000300,STU032962,1,Computer Programming,40,D,Pass,2026,1
EXM000301,STU036756,1,Cost Accounting,41,D,Pass,2026,1
EXM000302,STU071057,1,Physics,92,O,Pass,2025,1
EXM000303,STU038395,4,Organizational Behaviour,64,B+,Pass,2026,2
EXM000304,STU089110,3,Income Tax Law,66,B+,Pass,2026,1
EXM000305,STU002289,1,Basic Electrical Engineering,60,B+,Pass,2025,1
EXM000306,STU087331,4,Marathi Literature,72,A,Pass,2026,1
EXM000307,STU098573,2,Database Management Systems,29,F,Fail,2026,1
EXM000308,STU071034,1,Sociology,83,A+,Pass,2026,1
EXM000309,STU018428,1,Cost Accounting,69,B+,Pass,2024,1
EXM000310,STU068913,2,Income Tax Law,54,B,Pass,2026,2
EXM000311,STU048457,3,Marathi Literature,69,B+,Pass,2026,1
EXM000312,STU036049,1,Environmental Science,59,B,Pass,2026,1
EXM000313,STU064948,1,Business Statistics,44,D,Pass,2026,1
EXM000314,STU071044,1,Cost Accounting,57,B,Pass,2026,1
EXM000315,STU004809,2,Software Engineering,63,B+,Pass,2025,1
EXM000316,STU091275,1,Banking & Insurance,70,A,Pass,2026,1
EXM000317,STU028082,1,Computer Networks,59,B,Pass,2026,1
EXM000318,STU047454,1,Engineering Mathematics,100,O,Pass,2026,1
EXM000319,STU062443,2,Biotechnology,51,B,Pass,2024,2
EXM000320,STU048637,1,Pharmaceutics,80,A+,Pass,2025,1
EXM000321,STU072118,1,Engineering Mathematics,33,F,Fail,2023,2
EXM000322,STU072695,1,Plant Pathology,40,D,Pass,2026,1
EXM000323,STU080014,1,Marathi Literature,66,B+,Pass,2025,1
EXM000324,STU087568,2,Object Oriented Programming,92,O,Pass,2025,1
EXM000325,STU055845,3,Strength of Materials,70,A,Pass,2026,1
EXM000326,STU005445,1,Computer Programming,85,A+,Pass,2026,1
EXM000327,STU097236,3,Microprocessors,87,A+,Pass,2026,1
EXM000328,STU030955,1,Surveying,70,A,Pass,2026,1
EXM000329,STU057832,3,Cost Accounting,73,A,Pass,2026,1
EXM000330,STU016959,1,English Literature,55,B,Pass,2026,2
EXM000331,STU017333,5,Surveying,34,F,Fail,2026,1
EXM000332,STU050332,1,History,34,F,Fail,2026,2
EXM000333,STU089685,1,Marathi Literature,82,A+,Pass,2026,1
EXM000334,STU048416,7,Engineering Chemistry,54,B,Pass,2026,1
EXM000335,STU003496,1,Environmental Science,43,D,Pass,2025,1
EXM000336,STU054495,3,Mathematics,84,A+,Pass,2026,1
EXM000337,STU036888,6,Electrical Circuits,35,F,Fail,2025,3
EXM000338,STU002954,2,Building Construction,39,F,Fail,2026,3
EXM000339,STU089155,4,Design of Machine Elements,60,B+,Pass,2024,1
EXM000340,STU084901,2,Medicine,51,B,Pass,2025,1
EXM000341,STU064188,3,History,48,C,Pass,2026,2
EXM000342,STU005586,2,Banking & Insurance,71,A,Pass,2026,1
EXM000343,STU018667,3,Data Structures,65,B+,Pass,2024,1
EXM000344,STU076229,1,Political Science,73,A,Pass,2025,1
EXM000345,STU053947,4,Sociology,86,A+,Pass,2026,1
EXM000346,STU065707,1,Zoology,88,A+,Pass,2026,1
EXM000347,STU050329,4,Marathi Literature,35,F,Fail,2026,2
EXM000348,STU056839,1,Physics,52,B,Pass,2026,1
EXM000349,STU004112,1,Zoology,76,A,Pass,2026,1
EXM000350,STU049954,3,Marathi Literature,68,B+,Pass,2026,1
EXM000351,STU073429,1,Zoology,45,C,Pass,2026,1
EXM000352,STU026756,2,Physics,58,B,Pass,2026,1
EXM000353,STU001001,2,Income Tax Law,74,A,Pass,2026,1
EXM000354,STU025429,1,Economics,54,B,Pass,2026,1
EXM000355,STU066119,1,Business Law,65,B+,Pass,2026,2
EXM000356,STU079447,1,Sociology,37,F,Fail,2026,1
EXM000357,STU022011,3,Theory of Computation,57,B,Pass,2026,1
EXM000358,STU042137,2,Auditing,61,B+,Pass,2026,1
EXM000359,STU043441,1,Digital Electronics,65,B+,Pass,2026,1
EXM000360,STU039652,2,Banking & Insurance,83,A+,Pass,2025,1
EXM000361,STU014692,2,Banking & Insurance,51,B,Pass,2026,1
EXM000362,STU094086,4,Political Science,70,A,Pass,2025,1
EXM000363,STU090101,2,Law of Torts,44,D,Pass,2025,1
EXM000364,STU044863,2,Engineering Mathematics,28,F,Fail,2026,2
EXM000365,STU028430,1,Financial Accounting,68,B+,Pass,2026,1
EXM000366,STU056677,3,Cost Accounting,68,B+,Pass,2026,1
EXM000367,STU089276,1,Engineering Physics,64,B+,Pass,2026,1
EXM000368,STU083882,3,Business Statistics,69,B+,Pass,2026,1
EXM000369,STU078327,1,Financial Accounting,40,D,Pass,2026,1
EXM000370,STU011764,2,Mathematics,34,F,Fail,2025,1
EXM000371,STU021247,1,Engineering Physics,58,B,Pass,2024,1
EXM000372,STU084905,2,Physiology,53,B,Pass,2025,1
EXM000373,STU067587,1,Business Economics,54,B,Pass,2026,1
EXM000374,STU068255,1,History,71,A,Pass,2026,1
EXM000375,STU084590,2,Soil Science,55,B,Pass,2025,1
EXM000376,STU053055,2,Auditing,52,B,Pass,2026,1
EXM000377,STU018668,4,Operating Systems,63,B+,Pass,2026,1
EXM000378,STU003973,1,Cost Accounting,43,D,Pass,2026,1
EXM000379,STU064111,1,English Literature,65,B+,Pass,2025,1
EXM000380,STU044856,1,Operating Systems,63,B+,Pass,2024,1
EXM000381,STU079251,3,Fluid Mechanics,77,A,Pass,2026,1
EXM000382,STU005043,2,Banking & Insurance,81,A+,Pass,2024,1
EXM000383,STU042565,2,Business Statistics,55,B,Pass,2026,1
EXM000384,STU071030,3,Marathi Literature,61,B+,Pass,2026,1
EXM000385,STU050040,4,Data Structures,43,D,Pass,2025,1
EXM000386,STU062085,1,Income Tax Law,37,F,Fail,2026,3
EXM000387,STU077237,2,Chemistry,45,C,Pass,2026,1
EXM000388,STU095434,1,Income Tax Law,52,B,Pass,2026,1
EXM000389,STU036898,4,Engineering Chemistry,53,B,Pass,2026,1
EXM000390,STU019677,2,Applied Physics,16,F,Fail,2026,1
EXM000391,STU091711,1,Data Structures,82,A+,Pass,2026,1
EXM000392,STU064401,1,Engineering Physics,50,B,Pass,2026,1
EXM000393,STU050068,1,Engineering Chemistry,51,B,Pass,2026,1
EXM000394,STU024909,1,Biotechnology,37,F,Fail,2025,2
EXM000395,STU088679,2,Psychology,55,B,Pass,2026,2
EXM000396,STU079675,1,Business Law,56,B,Pass,2026,1
EXM000397,STU082762,1,Business Law,85,A+,Pass,2026,2
EXM000398,STU001608,3,Engineering Mathematics,62,B+,Pass,2025,1
EXM000399,STU003141,2,Psychology,63,B+,Pass,2025,1
EXM000400,STU002260,3,Physics,58,B,Pass,2026,1
EXM000401,STU047893,1,Psychology,44,D,Pass,2026,1
EXM000402,STU084214,1,Psychology,53,B,Pass,2025,1
EXM000403,STU049382,2,Design of Machine Elements,52,B,Pass,2025,1
EXM000404,STU068801,2,Marathi Literature,61,B+,Pass,2025,1
EXM000405,STU012230,1,Design of Machine Elements,70,A,Pass,2026,1
EXM000406,STU016759,3,Strength of Materials,100,O,Pass,2025,2
EXM000407,STU072180,4,Thermodynamics,73,A,Pass,2025,1
EXM000408,STU089789,1,Engineering Chemistry,70,A,Pass,2026,1
EXM000409,STU070254,1,Applied Physics,41,D,Pass,2026,1
EXM000410,STU065836,2,Marathi Literature,37,F,Fail,2026,1
EXM000411,STU082682,1,Business Statistics,69,B+,Pass,2025,2
EXM000412,STU088058,1,Surveying,58,B,Pass,2026,1
EXM000413,STU084098,2,Computer Science,48,C,Pass,2024,2
EXM000414,STU017768,2,Physics,69,B+,Pass,2026,1
EXM000415,STU084214,3,Sociology,67,B+,Pass,2026,1
EXM000416,STU078752,3,Operating Systems,52,B,Pass,2026,1
EXM000417,STU081773,4,Engineering Mathematics,66,B+,Pass,2026,1
EXM000418,STU094430,5,Structural Analysis,66,B+,Pass,2026,1
EXM000419,STU026628,1,Financial Accounting,35,F,Fail,2026,3
EXM000420,STU053625,1,Computer Networks,45,C,Pass,2026,1
