college_id,year,student_satisfaction,placement_rate,graduation_rate,dropout_rate,faculty_student_ratio,research_score,infrastructure_score,financial_health_score,overall_state_rank
COL0010,2023,92.2,88.0,100,3.6,11,92.5,96.4,97.5,498
COL0010,2024,89.2,93.8,100,1.9,8,94.7,89.3,88.8,460
COL0010,2025,95.7,90.6,100,1.9,10,94.1,96.0,96.0,265
COL0011,2021,79.4,65.7,84.0,11.0,16,56.3,78.8,72.7,1732
COL0011,2022,80.8,65.6,80.5,10.6,16,61.7,79.4,69.6,1725
COL0011,2023,76.3,62.4,76.8,9.3,15,57.8,78.9,78.2,1715
COL0011,2024,80.2,68.7,86.0,11.6,17,55.2,75.8,69.0,1796
COL0011,2025,78.5,59.2,67.3,9.4,19,52.5,74.3,77.8,1810
COL0012,2021,86.6,77.6,93.1,6.4,13,77.8,85.3,82.4,1125
COL0012,2022,87.7,89.2,100,4.8,12,88.0,92.0,88.5,614
COL0012,2023,88.9,88.0,100,5.1,11,83.6,90.9,86.5,784
COL0012,2024,88.0,80.9,94.9,5.1,12,83.2,88.7,90.4,878
COL0012,2025,89.3,78.3,94.5,7.1,12,81.6,84.7,82.3,1090
COL0013,2021,80.0,69.9,89.1,10.1,15,74.8,74.9,78.4,1525
COL0013,2022,83.8,75.0,92.4,8.9,16,81.9,84.4,77.1,1253
COL0013,2023,86.4,72.6,89.5,8.2,14,74.7,84.2,74.8,1320
COL0013,2024,88.0,76.6,85.4,5.6,14,76.4,84.6,75.5,1269
COL0013,2025,85.5,76.6,88.8,8.3,16,83.3,78.4,79.6,1313
COL0014,2021,76.5,67.4,86.6,11.0,17,55.5,71.0,80.6,1775
COL0014,2022,82.7,66.5,76.3,8.5,17,66.8,80.3,78.8,1517
COL0014,2023,84.3,69.4,89.4,7.2,14,66.7,82.6,76.7,1437
COL0014,2024,83.1,63.0,76.6,9.1,17,61.4,73.1,77.7,1703
COL0014,2025,80.5,70.2,83.1,8.4,17,63.1,77.3,76.1,1652
COL0015,2021,75.7,64.7,83.1,13.2,17,56.1,70.3,77.2,1839
COL0015,2022,78.6,59.5,76.6,12.6,17,50.4,68.0,77.1,1888
COL0015,2023,74.1,55.7,65.1,11.7,19,54.7,67.2,69.8,1945
COL0015,2024,77.9,62.6,79.8,10.6,17,55.0,69.8,71.0,1837
COL0015,2025,73.2,61.3,72.5,12.5,18,52.1,70.3,74.9,1932
COL0016,2021,83.0,81.9,100,6.1,13,72.1,83.7,83.6,1102
COL0016,2022,86.5,75.4,91.3,7.5,15,72.0,79.2,85.2,1225
COL0016,2023,87.9,73.9,87.6,4.5,14,73.6,86.6,80.8,1113
COL0016,2024,82.1,81.6,100.0,6.8,12,72.0,81.0,85.9,1265
COL0016,2025,87.0,73.4,92.9,7.9,15,71.3,86.4,80.0,1342
COL0017,2021,86.5,82.3,96.2,2.9,13,81.8,90.3,83.7,752
COL0017,2022,91.5,86.0,100,2.7,12,79.7,89.6,82.8,716
COL0017,2023,92.8,85.6,98.8,4.1,12,85.2,88.4,89.6,741
COL0017,2024,92.0,84.4,100,4.6,13,81.3,86.9,91.7,827
COL0017,2025,84.1,79.4,90.7,4.1,13,80.7,83.9,90.5,971
COL0018,2021,85.5,78.3,87.5,7.1,15,71.3,77.7,81.2,1276
COL0018,2022,80.0,78.6,88.3,7.9,16,76.5,82.3,86.2,1315
COL0018,2023,82.0,77.2,93.4,6.4,14,70.3,81.1,79.5,1278
COL0018,2024,86.5,77.6,90.6,8.2,13,76.9,82.6,79.8,1334
COL0018,2025,81.2,73.1,90.4,7.0,13,79.6,80.7,83.3,1312
COL0019,2021,76.9,72.4,86.9,10.8,15,66.8,74.6,76.3,1662
COL0019,2022,85.0,69.2,85.8,9.2,14,62.6,78.7,81.3,1510
COL0019,2023,78.7,74.2,87.7,9.9,14,74.1,76.8,80.1,1450
COL0019,2024,77.4,66.6,76.3,8.4,15,68.4,77.0,83.7,1607
COL0019,2025,77.5,68.0,80.8,9.6,15,67.6,74.8,77.9,1637
COL0020,2021,96.1,97.0,100,0.4,9,93.1,91.6,91.0,236
COL0020,2022,97.5,92.0,100,0.3,8,96.1,99.9,96.8,76
COL0020,2023,97.5,98,100,0,8,95.4,99.5,95.9,144
COL0020,2024,94.4,95.6,100,3.7,8,100,91.9,95.7,425
COL0020,2025,98.5,91.2,100,2.5,9,100,94.4,97.9,302
COL0021,2021,78.8,76.3,92.1,10.8,14,67.8,78.0,73.9,1490
COL0021,2022,85.9,74.2,90.6,6.9,16,64.5,83.0,78.2,1398
COL0021,2023,85.8,79.6,91.8,7.0,14,75.1,79.2,78.1,1270
COL0021,2024,85.2,78.6,90.4,7.6,13,70.5,81.3,87.3,1256
COL0021,2025,82.8,78.8,96.6,7.5,13,71.3,83.7,77.8,1329
COL0022,2021,81.8,74.1,84.5,7.6,13,71.9,81.0,87.4,1355
COL0022,2022,86.1,81.8,100,8.4,14,82.6,80.6,89.8,1022
COL0022,2023,83.7,78.5,98.1,7.3,13,78.5,81.4,78.7,1201
COL0022,2024,86.5,79.8,93.3,6.8,13,82.7,86.6,87.9,1018
COL0022,2025,88.5,79.2,88.2,4.8,16,75.3,83.3,84.5,1124
COL0023,2021,78.3,67.8,78.8,7.6,14,69.9,76.0,73.3,1539
COL0023,2022,81.5,70.2,84.7,10.9,15,68.3,71.9,70.8,1669
COL0023,2023,82.6,74.0,83.7,9.2,17,70.4,77.3,73.3,1575
COL0023,2024,82.0,66.8,82.1,8.0,15,68.3,73.9,72.0,1583
COL0023,2025,76.6,73.1,81.0,8.6,17,69.2,74.3,79.6,1559
COL0024,2021,92.2,88.8,100,3.2,11,84.8,88.3,84.3,591
COL0024,2022,89.9,80.5,95.8,6.5,13,83.8,82.2,81.1,1026
COL0024,2023,91.0,80.3,100,6.0,12,82.1,88.9,92.0,939
COL0024,2024,88.1,92.2,100,5.3,10,87.5,92.2,93.6,644
COL0024,2025,91.5,83.5,99.0,2.0,13,84.3,92.2,93.3,623
COL0025,2021,87.8,77.1,96.3,7.0,13,69.5,84.0,85.7,1143
COL0025,2022,80.4,77.6,89.2,7.5,15,66.7,82.1,77.7,1365
COL0025,2023,83.3,80.4,96.4,8.0,15,71.7,85.5,83.1,1281
COL0025,2024,79.4,75.7,89.6,10.4,16,72.9,77.4,84.9,1517
COL0025,2025,85.6,79.7,92.2,6.9,15,75.9,77.8,82.6,1230
COL0026,2021,74.4,65.3,80.0,11.0,19,57.5,68.4,72.6,1824
COL0026,2022,71.6,61.8,74.9,13.6,17,54.3,67.5,64.7,1930
COL0026,2023,77.5,61.3,77.3,10.3,19,46.4,68.4,66.1,1915
COL0026,2024,71.9,57.1,75.4,11.2,21,52.7,68.4,64.6,1917
COL0026,2025,74.4,66.6,75.5,13.9,19,60.2,69.5,76.0,1896
COL0027,2021,83.8,66.8,76.7,10.4,16,62.7,78.1,73.9,1713
COL0027,2022,78.9,72.2,86.3,10.0,17,68.1,79.5,73.3,1530
COL0027,2023,82.5,69.1,85.8,10.1,13,71.1,78.0,79.5,1554
COL0027,2024,85.5,76.7,87.6,8.5,15,71.4,83.5,84.4,1371
COL0027,2025,85.2,78.1,92.0,6.9,13,70.7,78.1,82.3,1317
COL0028,2021,92.9,95.5,100,2.4,12,100,96.1,96.0,300
COL0028,2022,93.6,94.6,100,2.6,9,100,94.0,94.4,224
COL0028,2023,93.3,88.3,100,4.2,11,100,92.2,88.4,535
COL0028,2024,92.9,95.5,100,1.3,9,100,94.9,87.7,354
COL0028,2025,93.1,89.4,100,3.9,12,97.4,92.2,83.9,587
COL0029,2021,98.6,98,100,1.5,8,100,96.2,100,70
COL0029,2022,97.0,92.9,100,2.2,8,93.6,100,90.5,247
COL0029,2023,96.4,96.3,100,1.3,8,100,95.1,92.4,183
COL0029,2024,97.3,98,100,1.4,8,93.4,93.1,91.1,246
COL0029,2025,97.1,93.1,100,0.1,8,100,97.5,97.8,99
COL0030,2021,89.1,86.0,99.1,4.4,9,95.9,90.9,94.9,510
COL0030,2022,91.3,84.9,98.4,4.2,12,96.5,83.9,87.5,673
COL0030,2023,92.2,93.4,100,5.7,10,98.4,91.4,83.6,578
COL0030,2024,91.1,91.8,100,3.9,11,97.0,91.6,91.0,515
COL0030,2025,95.0,90.6,100,2.9,12,100,91.5,92.1,503
COL0031,2021,84.5,73.3,84.8,7.0,14,76.2,78.4,74.9,1322
COL0031,2022,77.5,74.4,92.8,8.8,16,69.5,79.0,74.9,1531
COL0031,2023,85.6,71.9,91.1,7.1,17,80.1,78.7,81.2,1253
COL0031,2024,85.5,78.0,95.7,7.2,14,72.3,79.9,71.8,1296
COL0031,2025,79.8,71.8,85.3,7.5,15,83.5,79.4,77.6,1397
COL0032,2021,85.1,70.5,80.9,9.2,15,71.6,80.9,74.1,1512
COL0032,2022,85.3,71.8,85.1,8.5,12,74.3,79.2,79.7,1419
COL0032,2023,80.3,76.9,91.9,7.6,13,78.7,79.0,79.9,1330
COL0032,2024,86.0,76.0,90.9,6.3,13,71.7,84.6,78.2,1281
COL0032,2025,85.4,75.1,90.4,6.5,13,76.7,86.1,86.7,1240
COL0033,2021,95.6,92.1,100,1.3,10,100,90.7,93.4,287
COL0033,2022,96.1,97.8,100,0.3,8,100,96.6,92.5,90
COL0033,2023,99.0,97.8,100,1.8,9,100,96.7,96.1,70
COL0033,2024,93.6,93.9,100,0.5,8,100,92.6,95.4,179
COL0033,2025,98.9,91.2,100,0.4,10,100,93.5,100,174
COL0034,2021,83.3,68.7,86.1,8.0,17,74.1,75.7,72.9,1447
COL0034,2022,82.8,67.0,84.2,7.5,16,71.3,74.9,79.5,1427
COL0034,2023,80.0,67.2,83.7,7.6,15,69.2,80.6,76.0,1552
COL0034,2024,80.5,72.4,86.8,7.0,15,73.7,77.3,78.8,1361
COL0034,2025,77.0,65.6,74.9,11.0,16,72.6,73.1,70.9,1783
COL0035,2021,91.4,88.9,100,4.7,12,100,90.8,93.5,527
COL0035,2022,89.2,94.0,100,4.3,10,100,94.0,90.7,493
COL0035,2023,93.4,84.9,100,2.1,12,94.2,88.7,83.5,545
COL0035,2024,92.7,91.3,100,4.6,12,96.0,92.4,88.5,635
COL0035,2025,93.9,92.8,100,4.3,10,98.9,93.6,86.7,518
COL0036,2021,80.6,64.5,72.5,10.5,18,59.3,75.8,71.9,1728
COL0036,2022,75.7,63.0,75.0,9.4,17,59.2,75.4,70.3,1743
COL0036,2023,78.3,60.9,74.5,12.9,17,49.2,74.5,64.4,1913
COL0036,2024,78.6,67.8,81.9,10.1,17,54.6,76.3,70.3,1804
COL0036,2025,75.0,60.3,76.8,11.0,17,53.1,72.5,69.6,1882
COL0037,2021,86.0,77.9,96.0,8.3,17,73.5,83.6,82.4,1215
COL0037,2022,87.0,81.4,99.6,5.4,13,71.8,85.8,77.5,1109
COL0037,2023,81.4,76.2,85.6,5.8,16,77.7,82.2,86.6,1148
COL0037,2024,82.0,71.6,82.8,6.4,12,67.4,83.2,86.9,1324
COL0037,2025,82.8,69.4,83.1,6.8,13,67.0,77.2,82.9,1490
COL0038,2021,77.2,70.0,79.1,10.0,15,63.6,75.6,81.3,1642
COL0038,2022,74.7,68.8,87.7,9.6,15,65.4,72.5,71.8,1656
COL0038,2023,75.8,64.8,73.3,9.6,18,57.6,74.9,75.8,1728
COL0038,2024,75.7,62.4,80.3,11.6,16,51.4,69.8,75.4,1880
COL0038,2025,79.3,65.6,75.8,11.5,18,62.1,72.7,73.2,1814
COL0039,2021,89.1,80.3,93.4,4.1,13,76.2,85.6,81.2,1005
COL0039,2022,82.4,78.5,89.1,9.0,12,66.4,83.7,78.8,1399
COL0039,2023,86.9,84.8,100,7.5,13,80.1,87.0,85.5,982
COL0039,2024,85.0,73.9,83.0,7.8,12,68.8,86.8,76.5,1376
COL0039,2025,84.9,80.2,98.6,5.6,14,72.7,88.5,78.0,1115
COL0040,2021,80.4,76.0,85.1,7.3,15,68.5,79.8,78.4,1397
COL0040,2022,87.1,81.4,99.7,4.9,14,81.8,84.1,82.5,916
COL0040,2023,83.5,80.0,92.0,6.3,15,71.9,81.3,81.0,1189
COL0040,2024,80.4,75.8,86.4,7.1,13,70.4,79.4,81.1,1421
COL0040,2025,86.7,74.0,92.2,8.3,15,73.0,79.6,84.9,1338
COL0041,2021,90.9,96.8,100,1.3,9,100,92.8,95.7,158
COL0041,2022,95.6,97.4,100,0.1,9,100,92.5,100,87
COL0041,2023,98.0,95.4,100,0.4,8,100,95.7,93.4,155
COL0041,2024,95.3,93.3,100,2.7,8,100,98.6,92.2,339
COL0041,2025,95.2,98,100,1.8,8,100,98.9,97.2,133
COL0042,2021,86.3,76.2,90.6,6.7,11,81.5,83.2,86.2,1035
COL0042,2022,89.5,80.5,100,6.0,11,85.3,86.6,83.2,863
COL0042,2023,93.3,83.2,100,2.0,12,80.2,92.5,92.3,659
COL0042,2024,84.2,81.2,99.1,7.5,12,74.8,82.4,81.0,1211
COL0042,2025,89.9,89.1,100,5.1,10,89.8,87.7,86.1,805
COL0043,2021,97.9,93.4,100,2.6,11,100,97.4,88.7,343
COL0043,2022,97.4,98,100,1.7,8,100,96.1,92.6,177
COL0043,2023,96.0,91.0,100,0.7,9,100,96.0,100,200
COL0043,2024,92.1,95.2,100,2.7,10,100,94.4,97.3,259
COL0043,2025,99.6,93.6,100,0,10,100,100,90.7,40
COL0044,2021,70.9,56.6,66.3,13.6,17,52.6,69.6,66.0,1954
COL0044,2022,73.9,56.5,70.8,14.1,20,53.4,66.2,66.1,1966
COL0044,2023,74.4,66.3,82.1,12.7,20,56.8,67.4,68.0,1881
COL0044,2024,74.5,60.5,74.1,10.5,18,52.0,68.5,67.9,1877
COL0044,2025,72.1,62.3,79.5,12.8,20,54.3,67.1,74.0,1923
COL0045,2021,87.1,85.2,99.3,6.6,12,84.8,83.9,81.5,1009
COL0045,2022,84.2,81.7,92.1,8.5,14,76.1,81.2,89.2,1139
COL0045,2023,90.1,81.6,96.7,4.9,12,86.4,92.5,90.2,854
COL0045,2024,87.8,88.5,99.3,4.9,12,87.3,84.2,87.2,818
COL0045,2025,91.8,85.7,100,3.8,12,81.6,90.4,85.2,775
COL0046,2021,86.6,74.5,85.6,5.1,12,72.8,84.2,80.9,1183
COL0046,2022,83.9,76.7,87.8,7.4,15,69.5,85.1,80.0,1322
COL0046,2023,82.8,77.4,87.6,8.5,14,69.6,78.7,81.1,1395
COL0046,2024,79.8,71.8,91.3,10.2,16,64.8,78.8,85.3,1544
COL0046,2025,82.1,78.0,96.2,7.9,16,72.1,76.3,80.7,1359
COL0047,2021,77.3,59.3,76.2,11.5,16,48.8,73.3,68.6,1858
COL0047,2022,71.6,58.6,77.6,10.9,19,50.1,73.1,72.1,1867
COL0047,2023,73.8,63.2,77.6,13.2,18,47.9,74.4,64.3,1924
COL0047,2024,72.3,58.4,72.4,10.9,19,58.8,70.8,65.0,1897
COL0047,2025,78.6,57.5,66.3,12.6,20,45.8,74.3,73.0,1928
COL0048,2021,82.7,77.8,91.1,7.0,15,84.0,84.0,75.1,1201
COL0048,2022,86.2,73.8,83.1,9.3,14,79.9,80.4,80.9,1298
COL0048,2023,80.4,73.6,88.1,8.1,16,79.9,78.4,76.9,1328
COL0048,2024,83.2,80.9,89.7,9.3,14,85.1,78.1,81.5,1316
COL0048,2025,83.1,72.8,89.7,8.7,16,75.8,74.5,75.5,1463
COL0049,2021,75.6,70.3,86.7,12.1,15,67.3,76.6,79.6,1606
COL0049,2022,80.7,69.9,81.4,9.0,17,63.8,70.7,70.1,1704
COL0049,2023,77.8,70.5,79.3,8.0,17,69.0,75.6,73.2,1548
COL0049,2024,83.3,67.6,76.5,9.0,15,72.4,77.1,70.1,1596
COL0049,2025,76.0,69.2,79.3,12.0,15,65.7,73.7,74.0,1757
COL0050,2021,78.2,58.5,74.4,13.3,16,57.8,72.7,74.8,1885
COL0050,2022,80.1,65.0,79.0,12.4,17,60.0,73.9,68.3,1813
COL0050,2023,79.1,71.2,86.6,8.7,15,56.7,79.7,75.3,1591
COL0050,2024,78.6,64.6,83.2,10.0,17,64.2,71.6,77.6,1746
COL0050,2025,76.2,66.3,76.3,8.5,15,63.1,74.8,69.8,1729
COL0051,2021,76.8,66.1,82.5,10.2,19,59.7,66.8,70.7,1764
COL0051,2022,75.1,58.2,68.2,11.4,19,48.5,70.2,74.5,1919
COL0051,2023,72.8,65.7,80.0,9.7,19,56.4,74.8,65.3,1798
COL0051,2024,70.6,56.1,72.0,13.8,16,52.3,67.6,75.0,1939
COL0051,2025,71.4,62.0,77.4,14.9,20,45.2,67.0,67.9,1961
COL0052,2021,96.1,93.6,100,1.9,10,100,92.1,94.4,277
COL0052,2022,93.6,97.0,100,0.9,9,100,93.0,93.7,121
COL0052,2023,92.7,94.5,100,0.3,12,100,97.6,90.8,173
COL0052,2024,98.7,95.9,100,0,8,100,99.8,94.6,26
COL0052,2025,93.6,94.7,100,0.5,9,100,92.4,96.0,113
COL0053,2021,80.6,72.1,84.3,7.0,13,66.7,79.6,80.5,1422
COL0053,2022,84.2,80.4,100,6.2,13,70.1,84.4,77.6,1213
COL0053,2023,81.1,70.0,84.8,7.9,16,66.7,77.0,84.9,1530
COL0053,2024,81.9,73.9,91.3,9.5,15,72.7,82.8,82.1,1400
COL0053,2025,80.8,76.8,89.7,6.9,13,66.3,82.4,84.5,1346
COL0054,2021,85.7,70.3,81.3,6.0,13,63.1,82.2,80.0,1388
COL0054,2022,87.2,76.8,96.2,8.0,13,69.2,82.6,84.0,1307
COL0054,2023,84.0,67.5,81.7,9.4,17,67.6,77.6,81.4,1522
COL0054,2024,78.9,70.7,79.8,10.7,16,65.5,79.9,81.7,1664
COL0054,2025,79.0,71.8,84.2,9.7,15,65.1,74.6,82.6,1577
COL0055,2021,84.3,84.4,96.0,7.2,13,85.6,81.0,78.0,1042
COL0055,2022,83.0,86.1,96.4,8.2,14,91.6,81.1,84.5,999
COL0055,2023,81.6,82.3,95.0,9.1,14,85.0,79.6,77.1,1204
COL0055,2024,84.2,82.8,97.1,6.1,14,78.6,83.6,76.1,1087
COL0055,2025,87.7,80.2,92.6,4.9,14,81.5,82.4,81.7,1105
COL0056,2021,88.8,84.7,100,6.6,13,83.2,88.3,88.3,907
COL0056,2022,85.8,81.8,100,3.8,10,74.8,86.4,90.4,902
COL0056,2023,93.1,79.3,92.8,3.8,12,82.8,86.1,83.3,929
COL0056,2024,88.2,86.1,100,5.0,13,81.5,90.3,85.4,854
COL0056,2025,86.6,84.6,100,4.0,11,86.5,90.5,90.1,814
COL0057,2021,90.9,88.7,100,5.2,11,91.3,85.7,88.1,702
COL0057,2022,87.6,89.8,100,4.5,11,94.5,86.3,80.4,733
COL0057,2023,87.5,81.7,96.4,6.4,12,85.7,81.8,82.9,1016
COL0057,2024,90.4,82.9,96.7,5.7,12,93.3,86.1,92.3,859
COL0057,2025,88.7,80.4,92.0,6.1,13,92.8,81.8,80.2,1036
COL0058,2021,77.9,73.5,88.1,9.5,16,62.0,73.6,80.2,1573
COL0058,2022,81.1,76.5,96.5,9.6,14,70.3,77.6,81.4,1479
COL0058,2023,78.6,74.3,85.2,8.0,14,72.2,76.8,82.3,1449
COL0058,2024,84.4,76.7,86.8,7.4,13,69.4,83.9,81.9,1299
COL0058,2025,81.0,77.4,89.1,7.1,13,67.0,85.2,80.9,1325
COL0059,2021,89.8,88.5,99.5,4.7,12,97.4,89.9,92.3,564
COL0059,2022,89.5,89.3,99.8,3.6,11,100,86.4,91.8,579
COL0059,2023,96.3,89.1,100,1.5,11,98.9,95.6,95.3,214
COL0059,2024,89.0,95.5,100,2.5,9,100,90.1,85.4,491
COL0059,2025,90.4,93.9,100,4.4,10,100,89.9,95.2,512
COL0060,2021,88.6,84.8,100,4.2,13,79.8,84.1,78.8,829
COL0060,2022,84.1,83.9,94.7,6.5,11,81.3,85.1,87.0,961
COL0060,2023,92.9,84.3,99.3,5.5,13,81.3,85.8,90.9,839
COL0060,2024,93.0,85.0,100,4.1,10,78.9,92.8,91.9,707
COL0060,2025,90.9,80.7,98.6,5.8,11,83.1,88.3,89.2,992
COL0061,2021,90.0,91.4,100,3.4,12,87.9,90.4,91.0,522
COL0061,2022,87.9,89.8,100,3.9,13,87.4,88.8,88.2,652
COL0061,2023,91.0,86.5,100,4.2,13,92.5,90.2,87.7,709
COL0061,2024,88.8,82.8,100,3.2,13,85.4,85.1,91.7,681
COL0061,2025,96.1,87.0,100,3.5,10,83.8,93.9,93.4,688
COL0062,2021,86.6,80.8,95.6,4.7,13,83.8,89.7,85.6,785
COL0062,2022,91.8,85.8,96.0,3.6,13,87.5,90.6,90.9,596
COL0062,2023,86.1,87.5,100,6.2,13,77.8,89.0,85.3,956
COL0062,2024,92.1,86.6,99.7,2.7,10,82.9,89.9,84.9,669
COL0062,2025,88.8,87.7,100,2.6,12,82.6,87.9,84.4,776
COL0063,2021,86.5,75.2,84.2,8.1,14,81.6,83.5,79.6,1260
COL0063,2022,87.6,81.6,98.0,7.3,14,88.2,79.3,87.8,959
COL0063,2023,90.6,81.3,99.8,3.8,12,92.7,88.1,80.5,740
COL0063,2024,86.9,72.6,82.5,7.2,16,75.5,83.2,78.4,1351
COL0063,2025,83.1,71.8,80.4,8.5,15,79.0,77.2,83.8,1441
COL0064,2021,92.0,84.1,98.2,2.4,11,81.1,90.0,87.6,612
COL0064,2022,90.2,84.1,100,5.8,11,82.7,86.5,87.7,888
COL0064,2023,90.8,84.5,96.8,3.1,9,84.7,90.5,93.7,642
COL0064,2024,93.9,83.0,100,4.8,9,83.4,86.6,89.7,879
COL0064,2025,93.6,93.0,100,3.8,10,92.5,93.7,87.9,544
COL0065,2021,83.3,64.5,76.8,10.2,16,66.7,75.3,71.1,1712
COL0065,2022,85.1,77.8,97.3,8.9,15,74.9,81.5,81.2,1282
COL0065,2023,83.4,72.7,93.1,6.2,13,73.9,82.1,76.0,1297
COL0065,2024,84.7,74.8,94.7,10.0,13,81.9,79.2,76.7,1428
COL0065,2025,82.5,74.1,92.2,7.6,16,77.4,79.6,80.8,1377
COL0066,2021,86.0,80.6,100,5.0,13,85.9,82.8,82.2,940
COL0066,2022,90.7,88.1,100,3.6,12,90.5,89.1,80.9,665
COL0066,2023,91.3,84.1,100,5.6,11,93.2,86.6,83.8,754
COL0066,2024,89.0,88.7,100,3.7,10,99.1,90.8,89.5,533
COL0066,2025,91.0,86.7,98.4,5.3,11,91.8,86.0,82.5,779
COL0067,2021,80.9,78.7,99.2,9.3,15,76.8,79.3,83.9,1262
COL0067,2022,90.0,74.8,87.6,5.2,15,74.4,86.3,88.7,1117
COL0067,2023,92.7,85.2,100,5.4,14,81.3,88.8,89.9,771
COL0067,2024,89.6,82.1,100,6.5,10,85.1,89.6,80.7,1014
COL0067,2025,85.3,86.1,100,5.6,13,86.4,85.5,87.8,908
COL0068,2021,92.1,82.9,97.5,3.5,10,87.2,88.1,96.3,621
COL0068,2022,95.1,89.2,100,3.6,9,90.7,90.1,94.1,574
COL0068,2023,91.5,95.4,100,3.5,11,95.5,97.9,94.6,437
COL0068,2024,93.6,92.8,100,1.5,9,93.6,92.0,89.7,406
COL0068,2025,95.0,93.3,100,3.5,9,91.6,96.5,95.9,486
COL0069,2021,82.1,70.9,89.8,10.1,18,61.6,74.4,71.6,1595
COL0069,2022,77.1,71.3,82.3,12.4,19,61.2,76.7,73.6,1762
COL0069,2023,81.4,64.8,74.6,8.0,18,66.8,73.9,79.7,1598
COL0069,2024,78.6,62.2,74.3,9.7,15,63.7,73.3,80.2,1699
COL0069,2025,76.5,67.2,84.8,12.1,15,57.5,69.6,75.6,1802
COL0070,2021,88.2,80.3,98.4,3.9,14,77.5,91.5,85.4,815
COL0070,2022,92.0,84.3,98.0,4.7,13,84.5,86.3,87.2,740
COL0070,2023,87.1,88.1,100,6.4,11,87.3,88.1,89.6,874
COL0070,2024,86.9,85.0,100,7.3,13,81.6,84.1,83.2,1054
