college_id,branch,district,year,applications,sanctioned_seats,filled_seats,vacant_seats,cutoff_percentile,placement_rate,graduation_rate,filled_seats_next_year
COL0007,BCom,Satara,2023,478,120,110,10,71.03,73.7,90.5,110
COL0007,BCom,Satara,2024,488,120,110,10,69.37,82.5,100.0,136
COL0008,BE Computer Engineering,Amravati,2021,152,80,60,20,80.08,71.7,86.0,59
COL0008,BE Computer Engineering,Amravati,2022,157,80,59,21,76.48,80.7,97.1,60
COL0008,BE Computer Engineering,Amravati,2023,165,80,60,20,80.38,80.6,99.2,65
COL0008,BE Computer Engineering,Amravati,2024,170,90,65,25,76.4,79.8,98.1,55
COL0009,BE Civil Engineering,Nashik,2021,174,60,49,11,91.62,91.9,100.0,49
COL0009,BE Civil Engineering,Nashik,2022,177,60,49,11,91.76,90.2,100.0,52
COL0009,BE Civil Engineering,Nashik,2023,198,60,52,8,94.45,88.2,100.0,52
COL0009,BE Civil Engineering,Nashik,2024,198,60,52,8,95.8,93.0,100.0,64
COL0010,D.Ed,Pune,2021,330,80,75,5,82.0,87.1,100.0,78
COL0010,D.Ed,Pune,2022,351,80,78,2,81.58,86.1,100.0,77
COL0010,D.Ed,Pune,2023,364,80,77,3,80.26,88.0,100.0,90
COL0010,D.Ed,Pune,2024,435,90,90,0,80.6,93.8,100.0,100
COL0011,BSc,Parbhani,2021,339,200,133,67,50.94,65.7,84.0,134
COL0011,BSc,Parbhani,2022,340,200,134,66,50.32,65.6,80.5,153
COL0011,BSc,Parbhani,2023,403,200,153,47,51.66,62.4,76.8,148
COL0011,BSc,Parbhani,2024,385,190,148,42,52.86,68.7,86.0,167
COL0012,BCom,Thane,2021,450,150,125,25,64.47,77.6,93.1,117
COL0012,BCom,Thane,2022,422,140,117,23,64.38,89.2,100.0,124
COL0012,BCom,Thane,2023,434,140,124,16,66.37,88.0,100.0,122
COL0012,BCom,Thane,2024,468,140,122,18,63.71,80.9,94.9,124
COL0013,BE Civil Engineering,Jalna,2021,87,60,41,19,69.92,69.9,89.1,38
COL0013,BE Civil Engineering,Jalna,2022,81,60,38,22,74.12,75.0,92.4,42
COL0013,BE Civil Engineering,Jalna,2023,92,60,42,18,70.47,72.6,89.5,43
COL0013,BE Civil Engineering,Jalna,2024,97,60,43,17,74.05,76.6,85.4,51
COL0014,Diploma in Civil Engineering,Kolhapur,2021,75,50,32,18,52.68,67.4,86.6,36
COL0014,Diploma in Civil Engineering,Kolhapur,2022,89,50,36,14,52.76,66.5,76.3,34
COL0014,Diploma in Civil Engineering,Kolhapur,2023,87,50,34,16,56.49,69.4,89.4,37
COL0014,Diploma in Civil Engineering,Kolhapur,2024,99,50,37,13,52.93,63.0,76.6,37
COL0015,BA,Dhule,2021,1006,550,403,147,52.52,64.7,83.1,439
COL0015,BA,Dhule,2022,1222,580,439,141,50.83,59.5,76.6,425
COL0015,BA,Dhule,2023,1222,610,425,185,51.95,55.7,65.1,447
COL0015,BA,Dhule,2024,1272,570,447,123,53.43,62.6,79.8,376
COL0016,BBA,Mumbai City,2021,101,50,35,15,69.76,81.9,100.0,35
COL0016,BBA,Mumbai City,2022,98,50,35,15,72.78,75.4,91.3,47
COL0016,BBA,Mumbai City,2023,134,60,47,13,70.39,73.9,87.6,36
COL0016,BBA,Mumbai City,2024,105,50,36,14,70.42,81.6,100.0,46
COL0017,BA,Pune,2021,482,170,142,28,62.78,82.3,96.2,146
COL0017,BA,Pune,2022,525,170,146,24,60.94,86.0,100.0,135
COL0017,BA,Pune,2023,497,160,135,25,62.64,85.6,98.8,147
COL0017,BA,Pune,2024,528,180,147,33,62.38,84.4,100.0,147
COL0018,BSc,Chandrapur,2021,404,200,149,51,52.04,78.3,87.5,150
COL0018,BSc,Chandrapur,2022,438,200,150,50,52.29,78.6,88.3,173
COL0018,BSc,Chandrapur,2023,502,220,173,47,55.63,77.2,93.4,167
COL0018,BSc,Chandrapur,2024,484,230,167,63,54.22,77.6,90.6,155
COL0019,BCom,Nashik,2021,991,410,324,86,54.35,72.4,86.9,298
COL0019,BCom,Nashik,2022,897,420,298,122,55.17,69.2,85.8,312
COL0019,BCom,Nashik,2023,993,420,312,108,57.09,74.2,87.7,306
COL0019,BCom,Nashik,2024,945,400,306,94,56.05,66.6,76.3,339
COL0020,BCom,Amravati,2021,1229,270,260,10,68.58,97.0,100.0,254
COL0020,BCom,Amravati,2022,1242,260,254,6,68.18,92.0,100.0,273
COL0020,BCom,Amravati,2023,1330,280,273,7,70.09,98.0,100.0,239
COL0020,BCom,Amravati,2024,1255,240,239,1,66.76,95.6,100.0,279
COL0021,Diploma in Computer Engineering,Nandurbar,2021,163,80,57,23,63.4,76.3,92.1,58
COL0021,Diploma in Computer Engineering,Nandurbar,2022,163,80,58,22,59.36,74.2,90.6,61
COL0021,Diploma in Computer Engineering,Nandurbar,2023,187,80,61,19,62.21,79.6,91.8,54
COL0021,Diploma in Computer Engineering,Nandurbar,2024,170,70,54,16,64.81,78.6,90.4,62
COL0022,BSc,Buldhana,2021,1033,410,334,76,56.86,74.1,84.5,356
COL0022,BSc,Buldhana,2022,1157,430,356,74,57.88,81.8,100.0,313
COL0022,BSc,Buldhana,2023,1052,400,313,87,58.21,78.5,98.1,390
COL0022,BSc,Buldhana,2024,1353,460,390,70,60.52,79.8,93.3,364
COL0023,B.Pharm,Dharashiv,2021,91,50,36,14,67.07,67.8,78.8,34
COL0023,B.Pharm,Dharashiv,2022,88,50,34,16,65.45,70.2,84.7,36
COL0023,B.Pharm,Dharashiv,2023,102,50,36,14,64.41,74.0,83.7,43
COL0023,B.Pharm,Dharashiv,2024,120,60,43,17,66.73,66.8,82.1,47
COL0024,BCom,Chhatrapati Sambhajinagar,2021,561,200,155,45,62.8,88.8,100.0,170
COL0024,BCom,Chhatrapati Sambhajinagar,2022,603,210,170,40,61.53,80.5,95.8,175
COL0024,BCom,Chhatrapati Sambhajinagar,2023,627,210,175,35,62.82,80.3,100.0,173
COL0024,BCom,Chhatrapati Sambhajinagar,2024,630,200,173,27,63.45,92.2,100.0,209
COL0025,BCom,Parbhani,2021,527,250,186,64,54.91,77.1,96.3,197
COL0025,BCom,Parbhani,2022,582,250,197,53,52.0,77.6,89.2,201
COL0025,BCom,Parbhani,2023,610,270,201,69,55.66,80.4,96.4,205
COL0025,BCom,Parbhani,2024,627,280,205,75,52.47,75.7,89.6,215
COL0026,BA,Gondia,2021,185,120,84,36,45.18,65.3,80.0,87
COL0026,BA,Gondia,2022,199,120,87,33,44.98,61.8,74.9,87
COL0026,BA,Gondia,2023,212,130,87,43,47.54,61.3,77.3,79
COL0026,BA,Gondia,2024,193,120,79,41,44.78,57.1,75.4,73
COL0027,BA English,Chhatrapati Sambhajinagar,2021,278,150,107,43,45.73,66.8,76.7,110
COL0027,BA English,Chhatrapati Sambhajinagar,2022,286,150,110,40,47.07,72.2,86.3,110
COL0027,BA English,Chhatrapati Sambhajinagar,2023,296,160,110,50,45.94,69.1,85.8,141
COL0027,BA English,Chhatrapati Sambhajinagar,2024,383,180,141,39,44.37,76.7,87.6,98
COL0028,MBBS,Pune,2021,376,90,84,6,99.95,95.5,100.0,84
COL0028,MBBS,Pune,2022,383,90,84,6,99.95,94.6,100.0,88
COL0028,MBBS,Pune,2023,400,90,88,2,99.95,88.3,100.0,98
COL0028,MBBS,Pune,2024,460,100,98,2,99.95,95.5,100.0,97
COL0029,BA English,Dharashiv,2021,490,110,104,6,63.66,98.0,100.0,105
COL0029,BA English,Dharashiv,2022,510,110,105,5,63.31,92.9,100.0,98
COL0029,BA English,Dharashiv,2023,505,100,98,2,60.4,96.3,100.0,106
COL0029,BA English,Dharashiv,2024,529,110,106,4,60.68,98.0,100.0,109
COL0030,BE Computer Engineering,Ahmednagar,2021,249,100,79,21,84.21,86.0,99.1,77
COL0030,BE Computer Engineering,Ahmednagar,2022,254,100,77,23,87.61,84.9,98.4,67
COL0030,BE Computer Engineering,Ahmednagar,2023,209,90,67,23,86.11,93.4,100.0,91
COL0030,BE Computer Engineering,Ahmednagar,2024,297,110,91,19,85.47,91.8,100.0,103
COL0031,B.Arch,Sindhudurg,2021,76,50,33,17,72.18,73.3,84.8,35
COL0031,B.Arch,Sindhudurg,2022,87,50,35,15,69.12,74.4,92.8,34
COL0031,B.Arch,Sindhudurg,2023,80,50,34,16,69.18,71.9,91.1,36
COL0031,B.Arch,Sindhudurg,2024,92,50,36,14,73.04,78.0,95.7,35
COL0032,BSc,Kolhapur,2021,281,140,99,41,56.2,70.5,80.9,109
COL0032,BSc,Kolhapur,2022,331,140,109,31,54.34,71.8,85.1,99
COL0032,BSc,Kolhapur,2023,314,130,99,31,53.15,76.9,91.9,103
COL0032,BSc,Kolhapur,2024,332,140,103,37,53.04,76.0,90.9,143
COL0033,BE Civil Engineering,Nashik,2021,526,130,119,11,99.49,92.1,100.0,137
COL0033,BE Civil Engineering,Nashik,2022,651,140,137,3,99.95,97.8,100.0,121
COL0033,BE Civil Engineering,Nashik,2023,593,130,121,9,99.95,97.8,100.0,129
COL0033,BE Civil Engineering,Nashik,2024,619,130,129,1,98.45,93.9,100.0,129
COL0034,BE Mechanical Engineering,Solapur,2021,213,130,89,41,73.27,68.7,86.1,87
COL0034,BE Mechanical Engineering,Solapur,2022,195,130,87,43,74.07,67.0,84.2,79
COL0034,BE Mechanical Engineering,Solapur,2023,179,120,79,41,75.17,67.2,83.7,112
COL0034,BE Mechanical Engineering,Solapur,2024,274,150,112,38,73.04,72.4,86.8,98
COL0035,BE Electrical Engineering,Satara,2021,237,100,77,23,87.84,88.9,100.0,80
COL0035,BE Electrical Engineering,Satara,2022,256,100,80,20,89.36,94.0,100.0,84
COL0035,BE Electrical Engineering,Satara,2023,293,110,84,26,89.93,84.9,100.0,85
COL0035,BE Electrical Engineering,Satara,2024,280,100,85,15,86.81,91.3,100.0,92
COL0036,BCom,Beed,2021,179,110,77,33,45.85,64.5,72.5,85
COL0036,BCom,Beed,2022,184,120,85,35,47.43,63.0,75.0,87
COL0036,BCom,Beed,2023,200,120,87,33,49.9,60.9,74.5,88
COL0036,BCom,Beed,2024,198,120,88,32,47.44,67.8,81.9,73
COL0037,BA LLB,Jalgaon,2021,101,50,36,14,70.1,77.9,96.0,37
COL0037,BA LLB,Jalgaon,2022,104,50,37,13,69.05,81.4,99.6,39
COL0037,BA LLB,Jalgaon,2023,116,50,39,11,72.63,76.2,85.6,36
COL0037,BA LLB,Jalgaon,2024,111,50,36,14,73.8,71.6,82.8,37
COL0038,BA English,Chandrapur,2021,172,100,68,32,47.39,70.0,79.1,70
COL0038,BA English,Chandrapur,2022,184,100,70,30,47.15,68.8,87.7,77
COL0038,BA English,Chandrapur,2023,212,100,77,23,47.87,64.8,73.3,74
COL0038,BA English,Chandrapur,2024,206,100,74,26,45.08,62.4,80.3,82
COL0039,BSc,Washim,2021,1327,550,431,119,56.57,80.3,93.4,430
COL0039,BSc,Washim,2022,1445,570,430,140,56.87,78.5,89.1,448
COL0039,BSc,Washim,2023,1544,550,448,102,57.36,84.8,100.0,403
COL0039,BSc,Washim,2024,1340,510,403,107,57.36,73.9,83.0,482
COL0040,Diploma in Electrical Engineering,Ratnagiri,2021,93,50,35,15,60.49,76.0,85.1,34
COL0040,Diploma in Electrical Engineering,Ratnagiri,2022,94,50,34,16,62.93,81.4,99.7,36
COL0040,Diploma in Electrical Engineering,Ratnagiri,2023,108,50,36,14,63.17,80.0,92.0,44
COL0040,Diploma in Electrical Engineering,Ratnagiri,2024,127,60,44,16,60.22,75.8,86.4,40
COL0041,BSc Mathematics,Amravati,2021,379,100,92,8,70.91,96.8,100.0,91
COL0041,BSc Mathematics,Amravati,2022,394,100,91,9,71.66,97.4,100.0,99
COL0041,BSc Mathematics,Amravati,2023,433,110,99,11,73.77,95.4,100.0,92
COL0041,BSc Mathematics,Amravati,2024,417,100,92,8,74.84,93.3,100.0,90
COL0042,MBA,Jalgaon,2021,215,80,65,15,79.09,76.2,90.6,63
COL0042,MBA,Jalgaon,2022,216,80,63,17,76.81,80.5,100.0,64
COL0042,MBA,Jalgaon,2023,223,80,64,16,77.34,83.2,100.0,72
COL0042,MBA,Jalgaon,2024,235,90,72,18,79.59,81.2,99.1,74
COL0043,BE Computer Engineering,Amravati,2021,142,50,40,10,89.82,93.4,100.0,40
COL0043,BE Computer Engineering,Amravati,2022,145,50,40,10,91.02,98.0,100.0,43
COL0043,BE Computer Engineering,Amravati,2023,157,50,43,7,89.99,91.0,100.0,50
COL0043,BE Computer Engineering,Amravati,2024,186,60,50,10,91.77,95.2,100.0,52
COL0044,BCom,Raigad,2021,721,460,309,151,46.12,56.6,66.3,309
COL0044,BCom,Raigad,2022,749,440,309,131,45.47,56.5,70.8,344
COL0044,BCom,Raigad,2023,814,470,344,126,43.96,66.3,82.1,362
COL0044,BCom,Raigad,2024,929,490,362,128,46.0,60.5,74.1,270
COL0045,BA LLB,Gadchiroli,2021,268,100,79,21,79.8,85.2,99.3,83
COL0045,BA LLB,Gadchiroli,2022,295,100,83,17,82.56,81.7,92.1,88
COL0045,BA LLB,Gadchiroli,2023,322,100,88,12,84.15,81.6,96.7,79
COL0045,BA LLB,Gadchiroli,2024,304,90,79,11,82.53,88.5,99.3,86
COL0046,BA,Kolhapur,2021,1026,380,313,67,58.64,74.5,85.6,299
COL0046,BA,Kolhapur,2022,956,380,299,81,57.33,76.7,87.8,318
COL0046,BA,Kolhapur,2023,1094,400,318,82,56.71,77.4,87.6,273
COL0046,BA,Kolhapur,2024,895,350,273,77,58.92,71.8,91.3,387
COL0047,BA,Nagpur,2021,503,310,219,91,46.05,59.3,76.2,215
COL0047,BA,Nagpur,2022,480,330,215,115,47.79,58.6,77.6,208
COL0047,BA,Nagpur,2023,479,300,208,92,46.86,63.2,77.6,230
COL0047,BA,Nagpur,2024,550,310,230,80,46.0,58.4,72.4,235
COL0048,BE Civil Engineering,Nanded,2021,142,80,53,27,80.59,77.8,91.1,55
COL0048,BE Civil Engineering,Nanded,2022,148,80,55,25,78.98,73.8,83.1,56
COL0048,BE Civil Engineering,Nanded,2023,152,80,56,24,80.1,73.6,88.1,58
COL0048,BE Civil Engineering,Nanded,2024,167,80,58,22,81.91,80.9,89.7,75
COL0049,BE Civil Engineering,Pune,2021,81,60,41,19,69.82,70.3,86.7,37
COL0049,BE Civil Engineering,Pune,2022,78,60,37,23,70.01,69.9,81.4,41
COL0049,BE Civil Engineering,Pune,2023,83,60,41,19,69.64,70.5,79.3,46
COL0049,BE Civil Engineering,Pune,2024,102,70,46,24,71.27,67.6,76.5,45
COL0050,BCom,Ahmednagar,2021,613,490,303,187,42.3,58.5,74.4,340
COL0050,BCom,Ahmednagar,2022,712,480,340,140,41.66,65.0,79.0,334
COL0050,BCom,Ahmednagar,2023,710,530,334,196,43.28,71.2,86.6,384
COL0050,BCom,Ahmednagar,2024,867,570,384,186,43.28,64.6,83.2,351
COL0051,BCom,Raigad,2021,351,200,133,67,50.33,66.1,82.5,143
COL0051,BCom,Raigad,2022,397,200,143,57,50.44,58.2,68.2,166
COL0051,BCom,Raigad,2023,432,220,166,54,52.5,65.7,80.0,151
COL0051,BCom,Raigad,2024,438,210,151,59,53.08,56.1,72.0,139
COL0052,B.Pharm,Chhatrapati Sambhajinagar,2021,182,50,43,7,83.98,93.6,100.0,43
COL0052,B.Pharm,Chhatrapati Sambhajinagar,2022,182,50,43,7,86.33,97.0,100.0,45
COL0052,B.Pharm,Chhatrapati Sambhajinagar,2023,195,50,45,5,84.4,94.5,100.0,47
COL0052,B.Pharm,Chhatrapati Sambhajinagar,2024,215,50,47,3,85.23,95.9,100.0,56
COL0053,BBA,Raigad,2021,201,100,69,31,72.44,72.1,84.3,78
COL0053,BBA,Raigad,2022,236,100,78,22,73.96,80.4,100.0,86
COL0053,BBA,Raigad,2023,259,110,86,24,70.24,70.0,84.8,75
COL0053,BBA,Raigad,2024,237,100,75,25,71.61,73.9,91.3,75
COL0054,B.Sc Nursing,Amravati,2021,94,50,37,13,56.12,70.3,81.3,35
COL0054,B.Sc Nursing,Amravati,2022,95,50,35,15,60.11,76.8,96.2,35
COL0054,B.Sc Nursing,Amravati,2023,95,50,35,15,60.13,67.5,81.7,35
COL0054,B.Sc Nursing,Amravati,2024,100,50,35,15,57.89,70.7,79.8,38
COL0055,B.Pharm,Pune,2021,158,80,56,24,71.77,84.4,96.0,57
COL0055,B.Pharm,Pune,2022,176,80,57,23,69.43,86.1,96.4,72
COL0055,B.Pharm,Pune,2023,212,90,72,18,72.08,82.3,95.0,59
COL0055,B.Pharm,Pune,2024,177,80,59,21,68.6,82.8,97.1,60
COL0056,Diploma in Mechanical Engineering,Nandurbar,2021,132,50,40,10,64.96,84.7,100.0,39
COL0056,Diploma in Mechanical Engineering,Nandurbar,2022,122,50,39,11,64.56,81.8,100.0,41
COL0056,Diploma in Mechanical Engineering,Nandurbar,2023,132,50,41,9,64.8,79.3,92.8,41
COL0056,Diploma in Mechanical Engineering,Nandurbar,2024,141,50,41,9,65.9,86.1,100.0,48
COL0057,BE Computer Engineering,Kolhapur,2021,226,90,71,19,86.13,88.7,100.0,74
COL0057,BE Computer Engineering,Kolhapur,2022,238,90,74,16,85.47,89.8,100.0,70
COL0057,BE Computer Engineering,Kolhapur,2023,221,90,70,20,87.46,81.7,96.4,61
COL0057,BE Computer Engineering,Kolhapur,2024,204,80,61,19,87.0,82.9,96.7,64
COL0058,LLB,Nagpur,2021,117,50,39,11,68.44,73.5,88.1,39
COL0058,LLB,Nagpur,2022,120,50,39,11,71.39,76.5,96.5,48
COL0058,LLB,Nagpur,2023,146,60,48,12,71.12,74.3,85.2,47
COL0058,LLB,Nagpur,2024,144,60,47,13,74.06,76.7,86.8,48
COL0059,MBBS,Pune,2021,248,80,67,13,99.95,88.5,99.5,73
COL0059,MBBS,Pune,2022,288,80,73,7,99.95,89.3,99.8,68
COL0059,MBBS,Pune,2023,274,80,68,12,99.95,89.1,100.0,72
COL0059,MBBS,Pune,2024,295,80,72,8,99.95,95.5,100.0,76
COL0060,BCom,Mumbai Suburban,2021,1039,310,268,42,69.74,84.8,100.0,296
COL0060,BCom,Mumbai Suburban,2022,1216,320,296,24,68.47,83.9,94.7,274
COL0060,BCom,Mumbai Suburban,2023,1133,300,274,26,69.66,84.3,99.3,269
COL0060,BCom,Mumbai Suburban,2024,1116,310,269,41,72.73,85.0,100.0,336
COL0061,BA English,Nanded,2021,352,100,87,13,62.65,91.4,100.0,86
COL0061,BA English,Nanded,2022,338,100,86,14,60.61,89.8,100.0,78
COL0061,BA English,Nanded,2023,308,90,78,12,62.58,86.5,100.0,91
COL0061,BA English,Nanded,2024,380,100,91,9,63.87,82.8,100.0,109
COL0062,BA,Nagpur,2021,782,270,218,52,63.4,80.8,95.6,212
COL0062,BA,Nagpur,2022,763,260,212,48,65.07,85.8,96.0,253
COL0062,BA,Nagpur,2023,941,300,253,47,64.45,87.5,100.0,247
COL0062,BA,Nagpur,2024,964,300,247,53,65.08,86.6,99.7,225
COL0063,B.Tech Agricultural Engineering,Thane,2021,114,50,38,12,64.28,75.2,84.2,37
COL0063,B.Tech Agricultural Engineering,Thane,2022,107,50,37,13,64.74,81.6,98.0,38
COL0063,B.Tech Agricultural Engineering,Thane,2023,111,50,38,12,64.52,81.3,99.8,38
COL0063,B.Tech Agricultural Engineering,Thane,2024,117,50,38,12,67.62,72.6,82.5,46
COL0064,BBA,Chandrapur,2021,113,50,37,13,76.55,84.1,98.2,42
COL0064,BBA,Chandrapur,2022,141,50,42,8,75.69,84.1,100.0,37
COL0064,BBA,Chandrapur,2023,126,50,37,13,77.36,84.5,96.8,34
COL0064,BBA,Chandrapur,2024,115,40,34,6,77.22,83.0,100.0,49
COL0065,BE Computer Engineering,Solapur,2021,114,50,38,12,86.35,64.5,76.8,39
COL0065,BE Computer Engineering,Solapur,2022,123,50,39,11,87.8,77.8,97.3,38
COL0065,BE Computer Engineering,Solapur,2023,115,50,38,12,86.19,72.7,93.1,41
COL0065,BE Computer Engineering,Solapur,2024,136,50,41,9,84.95,74.8,94.7,39
COL0066,BSc Mathematics,Akola,2021,324,150,116,34,55.55,80.6,100.0,112
COL0066,BSc Mathematics,Akola,2022,314,150,112,38,56.43,88.1,100.0,102
COL0066,BSc Mathematics,Akola,2023,282,140,102,38,56.31,84.1,100.0,118
COL0066,BSc Mathematics,Akola,2024,350,150,118,32,57.63,88.7,100.0,114
COL0067,BA,Hingoli,2021,411,140,119,21,62.69,78.7,99.2,108
COL0067,BA,Hingoli,2022,387,140,108,32,59.24,74.8,87.6,104
COL0067,BA,Hingoli,2023,382,130,104,26,60.88,85.2,100.0,124
COL0067,BA,Hingoli,2024,437,140,124,16,63.14,82.1,100.0,139
COL0068,BCom,Washim,2021,572,180,144,36,70.49,82.9,97.5,152
COL0068,BCom,Washim,2022,590,180,152,28,71.39,89.2,100.0,172
COL0068,BCom,Washim,2023,705,200,172,28,70.14,95.4,100.0,178
COL0068,BCom,Washim,2024,722,210,178,32,67.71,92.8,100.0,195
COL0069,BCom,Dhule,2021,539,310,214,96,52.09,70.9,89.8,230
COL0069,BCom,Dhule,2022,620,320,230,90,51.0,71.3,82.3,250
COL0069,BCom,Dhule,2023,634,340,250,90,53.93,64.8,74.6,271
COL0069,BCom,Dhule,2024,753,360,271,89,50.52,62.2,74.3,246
COL0070,Diploma in Civil Engineering,Pune,2021,244,80,68,12,72.04,80.3,98.4,70
COL0070,Diploma in Civil Engineering,Pune,2022,264,80,70,10,72.9,84.3,98.0,67
COL0070,Diploma in Civil Engineering,Pune,2023,257,80,67,13,72.69,88.1,100.0,66
COL0070,Diploma in Civil Engineering,Pune,2024,259,80,66,14,75.73,85.0,100.0,63
COL0071,BA,Dhule,2021,418,180,130,50,57.36,89.2,100.0,140
COL0071,BA,Dhule,2022,437,180,140,40,58.19,84.5,100.0,144
COL0071,BA,Dhule,2023,459,180,144,36,58.13,80.8,92.9,144
COL0071,BA,Dhule,2024,491,180,144,36,55.55,80.9,99.4,129
COL0072,BCom,Jalgaon,2021,283,370,194,176,38.5,55.9,70.3,199
COL0072,BCom,Jalgaon,2022,275,370,199,171,36.08,54.4,65.2,215
COL0072,BCom,Jalgaon,2023,320,340,215,125,38.31,66.4,82.8,272
COL0072,BCom,Jalgaon,2024,408,430,272,158,36.37,68.3,75.7,239
COL0073,GNM,Beed,2021,112,50,38,12,62.05,76.5,86.7,38
COL0073,GNM,Beed,2022,108,50,38,12,64.63,68.5,86.8,37
COL0073,GNM,Beed,2023,117,50,37,13,62.88,71.7,82.0,46
COL0073,GNM,Beed,2024,143,60,46,14,65.7,77.2,89.9,30
COL0074,Diploma in Computer Engineering,Beed,2021,162,50,42,8,78.46,94.1,100.0,45
COL0074,Diploma in Computer Engineering,Beed,2022,178,50,45,5,76.69,98.0,100.0,45
COL0074,Diploma in Computer Engineering,Beed,2023,189,50,45,5,76.54,98.0,100.0,44
COL0074,Diploma in Computer Engineering,Beed,2024,178,50,44,6,78.76,95.7,100.0,48
COL0075,BCom,Bhandara,2021,657,260,207,53,59.66,83.8,100.0,216
COL0075,BCom,Bhandara,2022,730,260,216,44,59.79,77.6,87.5,196
COL0075,BCom,Bhandara,2023,659,260,196,64,58.2,80.0,93.7,233
COL0075,BCom,Bhandara,2024,822,290,233,57,58.28,78.9,95.3,237
COL0076,BA,Palghar,2021,297,160,116,44,48.19,74.0,92.0,115
COL0076,BA,Palghar,2022,291,170,115,55,48.69,66.0,84.3,102
COL0076,BA,Palghar,2023,259,150,102,48,51.56,69.7,87.9,111
COL0076,BA,Palghar,2024,285,160,111,49,52.54,66.4,80.7,134
COL0077,BA,Sangli,2021,293,180,126,54,47.84,66.4,74.7,131
COL0077,BA,Sangli,2022,308,190,131,59,45.52,70.3,84.2,125
COL0077,BA,Sangli,2023,315,190,125,65,48.36,65.9,84.9,115
COL0077,BA,Sangli,2024,293,160,115,45,48.57,64.6,83.3,122
COL0078,BSc Mathematics,Chhatrapati Sambhajinagar,2021,209,170,106,64,43.63,67.3,79.8,117
COL0078,BSc Mathematics,Chhatrapati Sambhajinagar,2022,245,170,117,53,45.05,67.4,79.3,107
COL0078,BSc Mathematics,Chhatrapati Sambhajinagar,2023,228,160,107,53,46.49,65.5,73.6,119
COL0078,BSc Mathematics,Chhatrapati Sambhajinagar,2024,239,190,119,71,46.69,67.1,81.0,126
COL0079,BA English,Ahmednagar,2021,296,110,89,21,54.61,80.4,100.0,86
COL0079,BA English,Ahmednagar,2022,283,110,86,24,51.39,85.8,100.0,100
COL0079,BA English,Ahmednagar,2023,323,120,100,20,54.89,87.1,100.0,96
COL0079,BA English,Ahmednagar,2024,327,120,96,24,52.59,89.4,100.0,105
COL0080,BSc Computer Science,Wardha,2021,166,100,71,29,51.2,67.6,84.6,68
COL0080,BSc Computer Science,Wardha,2022,153,100,68,32,52.18,72.3,92.5,66
COL0080,BSc Computer Science,Wardha,2023,150,90,66,24,50.44,73.1,84.2,63
COL0080,BSc Computer Science,Wardha,2024,147,90,63,27,49.95,70.7,81.8,91
COL0081,BA,Solapur,2021,734,540,353,187,43.87,58.5,66.9,331
COL0081,BA,Solapur,2022,727,550,331,219,43.39,55.1,73.1,329
COL0081,BA,Solapur,2023,671,520,329,191,44.06,61.1,78.0,382
COL0081,BA,Solapur,2024,822,620,382,238,45.22,55.1,73.4,354
COL0082,Diploma in Mechanical Engineering,Mumbai Suburban,2021,70,50,31,19,51.82,64.4,77.7,34
