finance_id,college_id,financial_year,annual_budget,government_grant,research_grant,tuition_revenue,expenses,capital_expenditure,operating_expenditure
FIN00046,COL0049,2023,672800000,37602000,11232000,574916000,570886000,190975000,379911000
FIN00047,COL0049,2024,760410000,43470000,9088000,542461000,666359000,104000000,562359000
FIN00048,COL0049,2025,712088000,20941000,7121000,632145000,695133000,185838000,509295000
FIN00049,COL0656,2018,31583000,938000,1109000,25656000,31377000,5528000,25849000
FIN00050,COL0656,2019,33691000,4025000,1079000,21598000,25737000,5763000,19974000
FIN00051,COL0656,2020,36129000,3778000,1997000,28005000,36343000,12154000,24189000
FIN00052,COL0656,2021,34719000,1801000,885000,24600000,38828000,9757000,29071000
FIN00053,COL0656,2022,39209000,2238000,1003000,32160000,32106000,10863000,21243000
FIN00054,COL0656,2023,38809000,2922000,631000,32923000,33110000,8366000,24744000
FIN00055,COL0656,2024,45109000,3083000,882000,33472000,33936000,6441000,27495000
FIN00056,COL0656,2025,45385000,2910000,2013000,34155000,40786000,9300000,31486000
FIN00057,COL1874,2018,37023000,8187000,3464000,23556000,34696000,11537000,23159000
FIN00058,COL1874,2019,36705000,8256000,1132000,23868000,33007000,9896000,23111000
FIN00059,COL1874,2020,45075000,10768000,2429000,24047000,35161000,12112000,23049000
FIN00060,COL1874,2021,38969000,4573000,2044000,26412000,40700000,7572000,33128000
FIN00061,COL1874,2022,46526000,7716000,1684000,30950000,39487000,6124000,33363000
FIN00062,COL1874,2023,43636000,9627000,1944000,24749000,40689000,10029000,30660000
FIN00063,COL1874,2024,43453000,8458000,3653000,29306000,42322000,13418000,28904000
FIN00064,COL1874,2025,46197000,11346000,2652000,25833000,39058000,7719000,31339000
FIN00065,COL0993,2018,62568000,26057000,7387000,22683000,62939000,15006000,47933000
FIN00066,COL0993,2019,69957000,23688000,7070000,36798000,60482000,13428000,47054000
FIN00067,COL0993,2020,68729000,20988000,3180000,40938000,65888000,12920000,52968000
FIN00068,COL0993,2021,74002000,30770000,8143000,31446000,78036000,14442000,63594000
FIN00069,COL0993,2022,76454000,28723000,3616000,35804000,57647000,16628000,41019000
FIN00070,COL0993,2023,86295000,37387000,6615000,34660000,74447000,20684000,53763000
FIN00071,COL0993,2024,82977000,27540000,8187000,36697000,84321000,16836000,67485000
FIN00072,COL0993,2025,95535000,24584000,8904000,53669000,104442000,23106000,81336000
FIN00073,COL0010,2018,27230000,8750000,1181000,15846000,30362000,9285000,21077000
FIN00074,COL0010,2019,31893000,13702000,1495000,12882000,33245000,7955000,25290000
FIN00075,COL0010,2020,32926000,9116000,1425000,17185000,32848000,6030000,26818000
FIN00076,COL0010,2021,33048000,14577000,874000,16458000,34552000,6989000,27563000
FIN00077,COL0010,2022,37146000,12733000,1593000,19142000,33070000,5582000,27488000
FIN00078,COL0010,2023,32293000,11076000,2226000,17136000,25641000,4469000,21172000
FIN00079,COL0010,2024,40010000,11822000,1682000,23425000,37402000,8577000,28825000
FIN00080,COL0010,2025,37830000,14262000,2914000,17957000,37494000,5896000,31598000
FIN00081,COL1804,2018,62195000,3736000,4373000,48304000,67619000,17776000,49843000
FIN00082,COL1804,2019,65314000,3923000,3505000,47176000,52816000,15107000,37709000
FIN00083,COL1804,2020,73371000,6333000,1518000,50569000,60531000,13006000,47525000
FIN00084,COL1804,2021,71666000,3049000,3242000,54222000,82344000,19824000,62520000
FIN00085,COL1804,2022,76216000,8942000,1708000,60525000,76092000,25383000,50709000
FIN00086,COL1804,2023,80320000,8083000,1779000,54260000,64150000,9798000,54352000
FIN00087,COL1804,2024,68317000,2139000,2791000,49657000,52887000,18078000,34809000
FIN00088,COL1804,2025,96563000,2747000,5351000,82837000,89416000,22562000,66854000
FIN00089,COL0194,2018,292760000,89240000,23478000,161693000,253198000,60977000,192221000
FIN00090,COL0194,2019,285260000,93374000,18868000,142456000,315704000,66532000,249172000
FIN00091,COL0194,2020,330675000,84716000,16542000,180725000,320215000,110129000,210086000
FIN00092,COL0194,2021,346404000,97845000,33395000,175313000,304902000,62196000,242706000
FIN00093,COL0194,2022,331905000,86754000,8840000,203281000,329372000,72330000,257042000
FIN00094,COL0194,2023,356261000,148513000,18368000,170928000,341430000,118770000,222660000
FIN00095,COL0194,2024,401879000,133967000,30188000,184965000,333960000,90888000,243072000
FIN00096,COL0194,2025,374798000,100825000,33439000,224757000,430358000,87680000,342678000
FIN00097,COL1880,2018,39804000,2440000,1564000,29788000,38609000,6698000,31911000
FIN00098,COL1880,2019,43526000,1522000,4635000,30114000,43463000,7485000,35978000
FIN00099,COL1880,2020,44016000,2148000,2717000,32126000,42275000,11376000,30899000
FIN00100,COL1880,2021,39224000,3710000,4671000,25481000,34125000,8783000,25342000
FIN00101,COL1880,2022,45626000,2633000,2321000,37188000,40244000,13835000,26409000
FIN00102,COL1880,2023,44319000,2330000,5207000,34142000,50185000,7784000,42401000
FIN00103,COL1880,2024,48770000,2438000,3818000,34542000,48672000,11556000,37116000
FIN00104,COL1880,2025,54826000,3454000,3936000,35963000,55949000,13462000,42487000
FIN00105,COL0257,2018,47694000,2907000,1790000,37824000,53482000,9672000,43810000
FIN00106,COL0257,2019,50996000,3068000,2526000,42216000,50229000,14482000,35747000
FIN00107,COL0257,2020,50931000,2866000,1604000,35543000,44527000,8243000,36284000
FIN00108,COL0257,2021,55064000,2992000,3144000,41676000,62692000,17317000,45375000
FIN00109,COL0257,2022,62398000,2545000,3444000,46958000,48300000,12702000,35598000
FIN00110,COL0257,2023,57332000,4766000,2725000,44276000,43245000,6511000,36734000
FIN00111,COL0257,2024,65765000,7346000,2163000,43300000,49730000,7753000,41977000
FIN00112,COL0257,2025,63183000,4846000,3425000,51020000,60386000,10794000,49592000
FIN00113,COL0608,2018,45012000,3234000,569000,31146000,35130000,11929000,23201000
FIN00114,COL0608,2019,50041000,3156000,851000,40511000,51233000,13616000,37617000
FIN00115,COL0608,2020,48278000,2295000,483000,39846000,52803000,17929000,34874000
FIN00116,COL0608,2021,48532000,3999000,485000,34974000,44086000,13350000,30736000
FIN00117,COL0608,2022,47974000,2103000,480000,35491000,47245000,8726000,38519000
FIN00118,COL0608,2023,57269000,3754000,646000,42316000,63267000,21885000,41382000
FIN00119,COL0608,2024,57000000,4987000,785000,42657000,51838000,15155000,36683000
FIN00120,COL0608,2025,59626000,1714000,596000,47331000,44902000,14659000,30243000
FIN00121,COL0978,2018,141895000,15204000,2849000,109013000,160979000,37742000,123237000
FIN00122,COL0978,2019,156700000,9204000,3762000,117703000,144827000,29809000,115018000
FIN00123,COL0978,2020,162226000,7167000,2254000,120602000,157026000,48284000,108742000
FIN00124,COL0978,2021,164224000,16339000,2826000,119468000,137388000,31741000,105647000
FIN00125,COL0978,2022,176049000,8754000,4274000,128931000,192484000,54870000,137614000
FIN00126,COL0978,2023,207886000,16547000,4825000,176814000,200374000,46252000,154122000
FIN00127,COL0978,2024,168658000,16034000,5116000,113329000,183963000,54672000,129291000
FIN00128,COL0978,2025,179974000,16526000,2583000,121132000,186144000,53783000,132361000
FIN00129,COL0602,2018,551755000,60214000,16611000,443000000,591521000,178456000,413065000
FIN00130,COL0602,2019,631198000,18175000,29441000,533025000,574131000,126986000,447145000
FIN00131,COL0602,2020,647091000,53581000,46685000,504511000,727781000,134842000,592939000
FIN00132,COL0602,2021,688527000,61345000,63531000,425587000,710226000,172241000,537985000
FIN00133,COL0602,2022,715139000,79098000,23119000,495423000,613843000,166832000,447011000
FIN00134,COL0602,2023,696960000,42143000,49233000,506354000,733748000,132983000,600765000
FIN00135,COL0602,2024,771310000,63977000,73750000,546725000,648720000,161906000,486814000
FIN00136,COL0602,2025,821040000,71441000,55950000,650042000,652521000,197545000,454976000
FIN00137,COL1243,2018,28451000,5342000,2196000,19759000,29089000,4579000,24510000
FIN00138,COL1243,2019,28847000,4380000,2698000,18143000,30219000,10565000,19654000
FIN00139,COL1243,2020,27218000,4875000,1393000,19692000,25232000,5502000,19730000
FIN00140,COL1243,2021,30769000,6949000,2214000,18403000,31404000,6004000,25400000
FIN00141,COL1243,2022,33612000,7285000,2074000,19108000,38012000,11975000,26037000
FIN00142,COL1243,2023,29984000,3735000,2506000,18929000,25610000,8777000,16833000
FIN00143,COL1243,2024,29771000,3390000,2165000,18826000,30500000,7542000,22958000
FIN00144,COL1243,2025,35136000,3545000,2701000,22437000,35360000,10241000,25119000
FIN00145,COL0037,2018,25438000,1121000,1102000,17959000,23399000,7915000,15484000
FIN00146,COL0037,2019,24370000,2874000,1286000,16799000,20289000,5844000,14445000
FIN00147,COL0037,2020,25955000,632000,1436000,19368000,20614000,4366000,16248000
FIN00148,COL0037,2021,27398000,1767000,1113000,19808000,26659000,4242000,22417000
FIN00149,COL0037,2022,31645000,2169000,1539000,22806000,33088000,6713000,26375000
FIN00150,COL0037,2023,33532000,2308000,1686000,24055000,29968000,5040000,24928000
FIN00151,COL0037,2024,30390000,2828000,1412000,23028000,23742000,7110000,16632000
FIN00152,COL0037,2025,28076000,969000,886000,24711000,26958000,8872000,18086000
FIN00153,COL0072,2018,257765000,13155000,3674000,198983000,260065000,57539000,202526000
FIN00154,COL0072,2019,235683000,26390000,4140000,164268000,182204000,31238000,150966000
FIN00155,COL0072,2020,295659000,35476000,3267000,195285000,247341000,58025000,189316000
FIN00156,COL0072,2021,311524000,25004000,4485000,219530000,261992000,46546000,215446000
FIN00157,COL0072,2022,286116000,33734000,5081000,209187000,239568000,53783000,185785000
FIN00158,COL0072,2023,279284000,28865000,3538000,192229000,217506000,35031000,182475000
FIN00159,COL0072,2024,343617000,9027000,3436000,311682000,281942000,83159000,198783000
FIN00160,COL0072,2025,277210000,27836000,4194000,211713000,259894000,67194000,192700000
FIN00161,COL1531,2018,352451000,68326000,12892000,225198000,350206000,58235000,291971000
FIN00162,COL1531,2019,384771000,57612000,28620000,257640000,353396000,79064000,274332000
FIN00163,COL1531,2020,354632000,81491000,22973000,219335000,386281000,75130000,311151000
FIN00164,COL1531,2021,417482000,50949000,28568000,290980000,470615000,104477000,366138000
FIN00165,COL1531,2022,386888000,53840000,16266000,298949000,321554000,96456000,225098000
FIN00166,COL1531,2023,427534000,84417000,16702000,288567000,441916000,86350000,355566000
FIN00167,COL1531,2024,434062000,88769000,34798000,289334000,423968000,135800000,288168000
FIN00168,COL1531,2025,493588000,59301000,30965000,343407000,535750000,181950000,353800000
FIN00169,COL0205,2018,176704000,11662000,2702000,139427000,200945000,37844000,163101000
FIN00170,COL0205,2019,168146000,9641000,2401000,129702000,129286000,20472000,108814000
FIN00171,COL0205,2020,210707000,13900000,2107000,151305000,234604000,39306000,195298000
FIN00172,COL0205,2021,195248000,6145000,3109000,152689000,175097000,55732000,119365000
FIN00173,COL0205,2022,222982000,4719000,2230000,172364000,213009000,54305000,158704000
FIN00174,COL0205,2023,205910000,20932000,2121000,150153000,181395000,49087000,132308000
FIN00175,COL0205,2024,215061000,9515000,2218000,180714000,163127000,56727000,106400000
FIN00176,COL0205,2025,235491000,16203000,2355000,173912000,190771000,64141000,126630000
FIN00177,COL1360,2018,201538000,37939000,10586000,145279000,212537000,43303000,169234000
FIN00178,COL1360,2019,177345000,44190000,13096000,101666000,135253000,42934000,92319000
FIN00179,COL1360,2020,202278000,39789000,16991000,133654000,229992000,66372000,163620000
FIN00180,COL1360,2021,198944000,48480000,15225000,111191000,191246000,40592000,150654000
FIN00181,COL1360,2022,213085000,28065000,22102000,145885000,188058000,45826000,142232000
FIN00182,COL1360,2023,234101000,35191000,17209000,144511000,198868000,64683000,134185000
FIN00183,COL1360,2024,245345000,51288000,10532000,151754000,190239000,66255000,123984000
FIN00184,COL1360,2025,237589000,44586000,10102000,162731000,265155000,87641000,177514000
FIN00185,COL0700,2018,405031000,269084000,13133000,111562000,432256000,85417000,346839000
FIN00186,COL0700,2019,401382000,226542000,39023000,111139000,359261000,115194000,244067000
FIN00187,COL0700,2020,468087000,324449000,23443000,107075000,476841000,155799000,321042000
FIN00188,COL0700,2021,474720000,345995000,40679000,83584000,384677000,73501000,311176000
FIN00189,COL0700,2022,519664000,327906000,28429000,147726000,582955000,155858000,427097000
FIN00190,COL0700,2023,484432000,290864000,32889000,141682000,550473000,90663000,459810000
FIN00191,COL0700,2024,519906000,346769000,24861000,121690000,487229000,167661000,319568000
FIN00192,COL0700,2025,572352000,420330000,50306000,82781000,469382000,154683000,314699000
FIN00193,COL0852,2018,251640000,10994000,5336000,178727000,233816000,76824000,156992000
FIN00194,COL0852,2019,253213000,7585000,8737000,180359000,202977000,32420000,170557000
FIN00195,COL0852,2020,272934000,21166000,17233000,176138000,234246000,65237000,169009000
FIN00196,COL0852,2021,251370000,5721000,9877000,217747000,191251000,47290000,143961000
FIN00197,COL0852,2022,306376000,11474000,21997000,248139000,240468000,65542000,174926000
FIN00198,COL0852,2023,338122000,20272000,25837000,270013000,257073000,54854000,202219000
FIN00199,COL0852,2024,301719000,18560000,18890000,242331000,245198000,37692000,207506000
FIN00200,COL0852,2025,295993000,30801000,12275000,207985000,262736000,75150000,187586000
FIN00201,COL0100,2018,474691000,315667000,16045000,124926000,510474000,125328000,385146000
FIN00202,COL0100,2019,455238000,309711000,24114000,108212000,443274000,98527000,344747000
FIN00203,COL0100,2020,447478000,268748000,23935000,119186000,480448000,165933000,314515000
FIN00204,COL0100,2021,478842000,301751000,37706000,130657000,478771000,83519000,395252000
FIN00205,COL0100,2022,475463000,335427000,16901000,107277000,496877000,164253000,332624000
FIN00206,COL0100,2023,590965000,417114000,30559000,117523000,610971000,145601000,465370000
FIN00207,COL0100,2024,541367000,396535000,40095000,86702000,451953000,139185000,312768000
FIN00208,COL0100,2025,512733000,283586000,35074000,181018000,522826000,115093000,407733000
FIN00209,COL1493,2018,476433000,297825000,28311000,138584000,363177000,55985000,307192000
FIN00210,COL1493,2019,438030000,271956000,17330000,124220000,377351000,122973000,254378000
FIN00211,COL1493,2020,521566000,369355000,25370000,118821000,551650000,188032000,363618000
FIN00212,COL1493,2021,455260000,258445000,9213000,173423000,386922000,82783000,304139000
FIN00213,COL1493,2022,566235000,335445000,13096000,197325000,617501000,183460000,434041000
FIN00214,COL1493,2023,515470000,328775000,23757000,126759000,579635000,166373000,413262000
FIN00215,COL1493,2024,538281000,394312000,15074000,104475000,511933000,112797000,399136000
FIN00216,COL1493,2025,590702000,371808000,26494000,169010000,600236000,137655000,462581000
FIN00217,COL1580,2018,73812000,43569000,3191000,20372000,59340000,15965000,43375000
FIN00218,COL1580,2019,78699000,54751000,1352000,20988000,61056000,10506000,50550000
FIN00219,COL1580,2020,88662000,58081000,1340000,23240000,85663000,23698000,61965000
FIN00220,COL1580,2021,89740000,58868000,4737000,24605000,70081000,24115000,45966000
FIN00221,COL1580,2022,96623000,57471000,1764000,33302000,73055000,14889000,58166000
FIN00222,COL1580,2023,88160000,49332000,4455000,32324000,75543000,16253000,59290000
FIN00223,COL1580,2024,81246000,49270000,2428000,24586000,93217000,27877000,65340000
FIN00224,COL1580,2025,86817000,57126000,2798000,20983000,91538000,29872000,61666000
FIN00225,COL0526,2018,99400000,4365000,6220000,84173000,102130000,30230000,71900000
FIN00226,COL0526,2019,109237000,9432000,3442000,84237000,83398000,24459000,58939000
FIN00227,COL0526,2020,105016000,9292000,6110000,79183000,97896000,25995000,71901000
FIN00228,COL0526,2021,111278000,7462000,5639000,84357000,100368000,31616000,68752000
FIN00229,COL0526,2022,125414000,6963000,3738000,108425000,107425000,30285000,77140000
FIN00230,COL0526,2023,111976000,11168000,8378000,86403000,118264000,23943000,94321000
FIN00231,COL0526,2024,137090000,7509000,9488000,103777000,157621000,25719000,131902000
FIN00232,COL0526,2025,127302000,5154000,4797000,96598000,129781000,23424000,106357000
FIN00233,COL0775,2018,137545000,57928000,10166000,64736000,120873000,26876000,93997000
FIN00234,COL0775,2019,131220000,43566000,10195000,63906000,117561000,33223000,84338000
FIN00235,COL0775,2020,131180000,50169000,5985000,60628000,121798000,20993000,100805000
FIN00236,COL0775,2021,150057000,42752000,9574000,73414000,120377000,29824000,90553000
FIN00237,COL0775,2022,153361000,54394000,13054000,68780000,149141000,22395000,126746000
FIN00238,COL0775,2023,148066000,46094000,9750000,86078000,126189000,25627000,100562000
FIN00239,COL0775,2024,155452000,54203000,4922000,74717000,176181000,36662000,139519000
FIN00240,COL0775,2025,185961000,73172000,9889000,78034000,195489000,67240000,128249000
FIN00241,COL1614,2018,100847000,30025000,8948000,48008000,100587000,34757000,65830000
FIN00242,COL1614,2019,113528000,29821000,4568000,72970000,88776000,21227000,67549000
FIN00243,COL1614,2020,111641000,48804000,8175000,49651000,88545000,23261000,65284000
FIN00244,COL1614,2021,129252000,43587000,12876000,57157000,100304000,23022000,77282000
FIN00245,COL1614,2022,122683000,30904000,5206000,68397000,118594000,39747000,78847000
FIN00246,COL1614,2023,118664000,38862000,7060000,55867000,129244000,34147000,95097000
FIN00247,COL1614,2024,119045000,49955000,4901000,53973000,128521000,24415000,104106000
FIN00248,COL1614,2025,140301000,50519000,11378000,72032000,113095000,26169000,86926000
FIN00249,COL0063,2018,443495000,260797000,17503000,130046000,428218000,108768000,319450000
FIN00250,COL0063,2019,459855000,313985000,8720000,113691000,507827000,145346000,362481000
FIN00251,COL0063,2020,465073000,291157000,10735000,139996000,405538000,71517000,334021000
FIN00252,COL0063,2021,514262000,378749000,15268000,107255000,414759000,139397000,275362000
FIN00253,COL0063,2022,517416000,357733000,15479000,129185000,389823000,63747000,326076000
FIN00254,COL0063,2023,631932000,352026000,10484000,225727000,524643000,100665000,423978000
FIN00255,COL0063,2024,636438000,401720000,20261000,169587000,529062000,98420000,430642000
FIN00256,COL0063,2025,587252000,339079000,21375000,207035000,557220000,85165000,472055000
FIN00257,COL1452,2018,400838000,238162000,6336000,140664000,429206000,110259000,318947000
FIN00258,COL1452,2019,465511000,322628000,5932000,115467000,386677000,65080000,321597000
FIN00259,COL1452,2020,423837000,303769000,6609000,95133000,389858000,126172000,263686000
FIN00260,COL1452,2021,466234000,271362000,5452000,170787000,512805000,158683000,354122000
FIN00261,COL1452,2022,535176000,327481000,5352000,173964000,447317000,151690000,295627000
FIN00262,COL1452,2023,501332000,373410000,5013000,96016000,434366000,122042000,312324000
FIN00263,COL1452,2024,519484000,301189000,5195000,174026000,473016000,74624000,398392000
FIN00264,COL1452,2025,548955000,325033000,8148000,184456000,427731000,106070000,321661000
FIN00265,COL1962,2018,65162000,7252000,1565000,45414000,56768000,15145000,41623000
FIN00266,COL1962,2019,59699000,4003000,2958000,47624000,66367000,17638000,48729000
FIN00267,COL1962,2020,65353000,1965000,984000,49229000,52994000,11129000,41865000
FIN00268,COL1962,2021,63372000,4316000,1890000,47037000,50308000,15918000,34390000
FIN00269,COL1962,2022,76386000,5003000,3713000,52281000,62220000,14227000,47993000
FIN00270,COL1962,2023,60770000,4735000,2041000,48017000,55673000,17673000,38000000
FIN00271,COL1962,2024,71947000,6722000,2243000,55585000,56551000,8539000,48012000
FIN00272,COL1962,2025,85208000,4289000,2280000,60655000,72042000,13012000,59030000
FIN00273,COL1826,2018,70080000,3125000,948000,50060000,59743000,20305000,39438000
FIN00274,COL1826,2019,75737000,8998000,1411000,58490000,73004000,14450000,58554000
FIN00275,COL1826,2020,70090000,1778000,1183000,59764000,58481000,17471000,41010000
FIN00276,COL1826,2021,72638000,7562000,1451000,53114000,72616000,12484000,60132000
FIN00277,COL1826,2022,78613000,6791000,786000,56737000,83328000,21048000,62280000
FIN00278,COL1826,2023,97695000,2668000,983000,72378000,81669000,24874000,56795000
FIN00279,COL1826,2024,81079000,2303000,1329000,67253000,66738000,14248000,52490000
FIN00280,COL1826,2025,107575000,2498000,1810000,80508000,102687000,18836000,83851000
FIN00281,COL1616,2018,456928000,51400000,27947000,336697000,354921000,53440000,301481000
FIN00282,COL1616,2019,465146000,33749000,18513000,315364000,461146000,74949000,386197000
FIN00283,COL1616,2020,490352000,27735000,21910000,387906000,558286000,148814000,409472000
FIN00284,COL1616,2021,560836000,54518000,27915000,383613000,576243000,121353000,454890000
FIN00285,COL1616,2022,525086000,51905000,31928000,345477000,474851000,131986000,342865000
FIN00286,COL1616,2023,626979000,59439000,34870000,469304000,628865000,102886000,525979000
FIN00287,COL1616,2024,673691000,64049000,47730000,448418000,663620000,174082000,489538000
FIN00288,COL1616,2025,683149000,77418000,50124000,422284000,693700000,158832000,534868000
FIN00289,COL0277,2018,380358000,22023000,7311000,279299000,387499000,119489000,268010000
FIN00290,COL0277,2019,444209000,27834000,4442000,333705000,440447000,149839000,290608000
FIN00291,COL0277,2020,433869000,26501000,4339000,314027000,420055000,69990000,350065000
FIN00292,COL0277,2021,431879000,10044000,4335000,395995000,356264000,116823000,239441000
FIN00293,COL0277,2022,453169000,20018000,4532000,375226000,407969000,134346000,273623000
FIN00294,COL0277,2023,447112000,15689000,4471000,350233000,481245000,157075000,324170000
FIN00295,COL0277,2024,510066000,26447000,9254000,430794000,506309000,162702000,343607000
FIN00296,COL0277,2025,542078000,11333000,9650000,401633000,459872000,120970000,338902000
FIN00297,COL1005,2018,534598000,399293000,25690000,98722000,543389000,96183000,447206000
FIN00298,COL1005,2019,515532000,326438000,19664000,138294000,441573000,92362000,349211000
FIN00299,COL1005,2020,572672000,393576000,32758000,133422000,443176000,124497000,318679000
FIN00300,COL1005,2021,600095000,332212000,32636000,218218000,478649000,107904000,370745000
FIN00301,COL1005,2022,584872000,339494000,24751000,185719000,660491000,162807000,497684000
FIN00302,COL1005,2023,618425000,373709000,14499000,214931000,589481000,206048000,383433000
FIN00303,COL1005,2024,610622000,455786000,26396000,102539000,646741000,100349000,546392000
FIN00304,COL1005,2025,655608000,371640000,37862000,216053000,620990000,214190000,406800000
FIN00305,COL0627,2018,31851000,13272000,1188000,13211000,30671000,10083000,20588000
FIN00306,COL0627,2019,36024000,9450000,1040000,21809000,36837000,12212000,24625000
FIN00307,COL0627,2020,39267000,15919000,1225000,19660000,33728000,11071000,22657000
FIN00308,COL0627,2021,37763000,16450000,1251000,17781000,33787000,7228000,26559000
FIN00309,COL0627,2022,39624000,10797000,2245000,23247000,37663000,8725000,28938000
FIN00310,COL0627,2023,40301000,10429000,1110000,24652000,40887000,13068000,27819000
FIN00311,COL0627,2024,36827000,12091000,1741000,19065000,39567000,12673000,26894000
FIN00312,COL0627,2025,38363000,9681000,1494000,24187000,33462000,9049000,24413000
FIN00313,COL0957,2018,66363000,7138000,664000,50981000,71760000,22739000,49021000
FIN00314,COL0957,2019,70150000,2567000,702000,59831000,73443000,12747000,60696000
FIN00315,COL0957,2020,70577000,6985000,1241000,51751000,67043000,14573000,52470000
FIN00316,COL0957,2021,74742000,2567000,1198000,59104000,83778000,17405000,66373000
FIN00317,COL0957,2022,71134000,7999000,711000,46856000,69678000,13734000,55944000
FIN00318,COL0957,2023,68917000,6401000,1156000,54359000,75202000,13273000,61929000
FIN00319,COL0957,2024,77342000,3393000,773000,59018000,59042000,20309000,38733000
FIN00320,COL0957,2025,84226000,4106000,1239000,72973000,76118000,25062000,51056000
FIN00321,COL0352,2018,400220000,140803000,28246000,215169000,349673000,77609000,272064000
FIN00322,COL0352,2019,440509000,117058000,11783000,265994000,351850000,119904000,231946000
FIN00323,COL0352,2020,411024000,165559000,24051000,188351000,468941000,125699000,343242000
FIN00324,COL0352,2021,402048000,143761000,24151000,198254000,348841000,117648000,231193000
FIN00325,COL0352,2022,486837000,144132000,32494000,283562000,419986000,144803000,275183000
FIN00326,COL0352,2023,496785000,146352000,18867000,302440000,425856000,95767000,330089000
FIN00327,COL0352,2024,504909000,135267000,16878000,292110000,571462000,132468000,438994000
FIN00328,COL0352,2025,559768000,146069000,29584000,328921000,567118000,113623000,453495000
FIN00329,COL0671,2018,346162000,40473000,25209000,245010000,286032000,78126000,207906000
FIN00330,COL0671,2019,335522000,32195000,8249000,274269000,253860000,77551000,176309000
FIN00331,COL0671,2020,406034000,39520000,13022000,318535000,440627000,92199000,348428000
